,R-HSA-8953897,R-HSA-162582,R-HSA-1640170,R-HSA-8953854,R-HSA-392499,R-HSA-382551,R-HSA-1643685,R-HSA-73894,R-HSA-5357801,R-HSA-5205647,R-HSA-8963743,R-HSA-5653656,R-HSA-112316,R-HSA-1430728,R-HSA-1266738,R-HSA-1474165,R-HSA-397014,R-HSA-1852241,R-HSA-168256,R-HSA-1474244,R-HSA-109582,R-HSA-4839726,R-HSA-400253,R-HSA-69306,R-HSA-74160,R-HSA-1500931
00-029N9_LN,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.035,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.061,0.001
04-149E2_LN,-0.024,-0.028,-0.002,0.005,0.01,0.022,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.018,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.063,0.001
05-011G4_LUNG,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
05-214BB2_BONE,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
08-006H1_LN,-0.024,-0.027,0.001,0.006,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
10363,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.032,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.061,0.001
12688,-0.024,-0.027,-0.001,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.029,0.023,-0.022,0.01,-0.008,-0.01,-0.058,0.001
20630,-0.024,-0.028,-0.004,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.015,-0.019,-0.012,-0.008,0.012,-0.025,0.024,-0.022,0.01,-0.008,-0.011,-0.061,0.001
21011,-0.024,-0.028,0.0,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.018,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
21020,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
2746,-0.024,-0.027,-0.002,0.005,0.036,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
