,,coef
KTN1,mut_important,7.195641e-06
KTN1,cnv_del,0.0
KTN1,cnv_amp,0.0
SNRNP70,mut_important,0.0
SNRNP70,cnv_del,0.0
SNRNP70,cnv_amp,0.0
EBAG9,mut_important,0.0
EBAG9,cnv_del,2.3196164e-31
EBAG9,cnv_amp,5.796631e-30
UBE4A,mut_important,6.88572e-38
UBE4A,cnv_del,6.075069e-20
UBE4A,cnv_amp,0.0
KIT,mut_important,0.0
KIT,cnv_del,0.0
KIT,cnv_amp,0.0
DEPDC1,mut_important,0.0
DEPDC1,cnv_del,0.0
DEPDC1,cnv_amp,0.0
TPM2,mut_important,6.715076e-13
TPM2,cnv_del,4.464617e-38
TPM2,cnv_amp,2.5600634e-35
AAAS,mut_important,0.0
AAAS,cnv_del,0.0
AAAS,cnv_amp,0.0
ARID1B,mut_important,5.002458e-37
ARID1B,cnv_del,2.2580703e-07
ARID1B,cnv_amp,0.0
WDR64,mut_important,0.0
WDR64,cnv_del,0.0
WDR64,cnv_amp,0.0
TMEM169,mut_important,0.0
TMEM169,cnv_del,0.0
TMEM169,cnv_amp,0.0
IQCJ,mut_important,0.0
IQCJ,cnv_del,0.0
IQCJ,cnv_amp,0.0
KHNYN,mut_important,0.0
KHNYN,cnv_del,0.0
KHNYN,cnv_amp,0.0
MINK1,mut_important,0.0
MINK1,cnv_del,0.0
MINK1,cnv_amp,0.0
SLC6A18,mut_important,0.0
SLC6A18,cnv_del,1.8539578e-35
SLC6A18,cnv_amp,8.216841e-28
CNGA2,mut_important,0.0
CNGA2,cnv_del,0.0
CNGA2,cnv_amp,0.0
SCNN1D,mut_important,0.0
SCNN1D,cnv_del,0.0
SCNN1D,cnv_amp,0.0
LSM1,mut_important,0.0
LSM1,cnv_del,0.0
LSM1,cnv_amp,0.0
CSN3,mut_important,0.0
CSN3,cnv_del,0.0
CSN3,cnv_amp,0.0
GCNT4,mut_important,0.0
GCNT4,cnv_del,0.0
GCNT4,cnv_amp,0.0
TAF5L,mut_important,0.0
TAF5L,cnv_del,0.00011524414
TAF5L,cnv_amp,7.765002e-05
GUCA2B,mut_important,0.0
GUCA2B,cnv_del,0.0
GUCA2B,cnv_amp,0.0
GAS8,mut_important,0.0
GAS8,cnv_del,0.0
GAS8,cnv_amp,0.0
SEPHS2,mut_important,0.0
SEPHS2,cnv_del,0.0
SEPHS2,cnv_amp,0.0
SNW1,mut_important,1.7630741e-06
SNW1,cnv_del,0.0
SNW1,cnv_amp,0.0
DIRC2,mut_important,0.0
DIRC2,cnv_del,0.0
DIRC2,cnv_amp,0.0
ATP8B2,mut_important,1.4869972e-08
ATP8B2,cnv_del,0.0
ATP8B2,cnv_amp,1.0631652e-07
OR13C4,mut_important,7.0285085e-07
OR13C4,cnv_del,8.369251e-30
OR13C4,cnv_amp,1.2675805e-30
ZNF287,mut_important,0.0
ZNF287,cnv_del,0.0
ZNF287,cnv_amp,0.0
ZIK1,mut_important,0.0
ZIK1,cnv_del,0.0
ZIK1,cnv_amp,0.0
ZZZ3,mut_important,5.292988e-05
ZZZ3,cnv_del,8.853033e-37
ZZZ3,cnv_amp,2.2171922e-28
BACE1,mut_important,0.0
BACE1,cnv_del,1.2095136e-11
BACE1,cnv_amp,5.577541e-11
GALC,mut_important,1.2173956e-10
GALC,cnv_del,0.0
GALC,cnv_amp,0.0
SS18L2,mut_important,0.0
SS18L2,cnv_del,0.0
SS18L2,cnv_amp,0.0
PRDM2,mut_important,0.0
PRDM2,cnv_del,0.0
PRDM2,cnv_amp,0.0
OR10W1,mut_important,0.0
OR10W1,cnv_del,0.0
OR10W1,cnv_amp,1.1786853e-28
NAGPA,mut_important,0.0
NAGPA,cnv_del,0.0
NAGPA,cnv_amp,0.0
KCNV2,mut_important,0.0
KCNV2,cnv_del,7.018947e-20
KCNV2,cnv_amp,1.8625543e-18
TAS2R5,mut_important,0.0
TAS2R5,cnv_del,1.612551e-35
TAS2R5,cnv_amp,2.208466e-36
ZNF134,mut_important,0.0
ZNF134,cnv_del,0.0
ZNF134,cnv_amp,0.0
AASDHPPT,mut_important,0.0
AASDHPPT,cnv_del,0.0
AASDHPPT,cnv_amp,0.0
PFN1,mut_important,0.0
PFN1,cnv_del,0.0
PFN1,cnv_amp,0.0
CDC37L1,mut_important,0.0
CDC37L1,cnv_del,0.0
CDC37L1,cnv_amp,2.586292e-38
KCTD19,mut_important,0.0
KCTD19,cnv_del,0.0
KCTD19,cnv_amp,0.0
KRTAP4-1,mut_important,0.0
KRTAP4-1,cnv_del,0.0
KRTAP4-1,cnv_amp,0.0
WAS,mut_important,0.0
WAS,cnv_del,0.0
WAS,cnv_amp,0.0
BRD7,mut_important,0.0
BRD7,cnv_del,0.0
BRD7,cnv_amp,0.0
RPS6KA2,mut_important,9.204449e-16
RPS6KA2,cnv_del,4.350642e-35
RPS6KA2,cnv_amp,1.2673723e-34
