,coef
KTN1,7.1956406e-06
SNRNP70,0.0
EBAG9,0.0
UBE4A,6.0749876e-20
KIT,0.0
DEPDC1,0.0
TPM2,6.715072e-13
AAAS,0.0
ARID1B,2.2580701e-07
WDR64,0.0
TMEM169,0.0
IQCJ,0.0
KHNYN,0.0
MINK1,0.0
SLC6A18,0.0
CNGA2,0.0
SCNN1D,0.0
LSM1,0.0
CSN3,0.0
GCNT4,0.0
TAF5L,3.759413e-05
GUCA2B,0.0
GAS8,0.0
SEPHS2,0.0
SNW1,1.7630741e-06
DIRC2,0.0
ATP8B2,1.2118649e-07
OR13C4,7.0285085e-07
ZNF287,0.0
ZIK1,0.0
ZZZ3,5.292988e-05
BACE1,4.368033e-11
GALC,1.2173955e-10
SS18L2,0.0
PRDM2,0.0
OR10W1,0.0
NAGPA,0.0
KCNV2,1.7923654e-18
TAS2R5,0.0
ZNF134,0.0
AASDHPPT,0.0
PFN1,0.0
CDC37L1,0.0
KCTD19,0.0
KRTAP4-1,0.0
WAS,0.0
BRD7,0.0
RPS6KA2,9.204442e-16
GTF2F2,0.0
CFHR5,5.128518e-07
EPAS1,9.971287e-10
CLEC17A,0.0
CSNK1G2,0.0
TNRC6A,0.0
MAPKAPK5,0.0
HINT3,0.0
OR6P1,9.6288214e-11
FKRP,0.0
ZNF233,0.0
BCL7A,0.0
ARPC5,0.0
KRTAP10-12,0.0
KIAA0232,0.0
MICAL1,0.0
RAG2,0.0
SLC30A4,0.0
NOL9,3.0900812e-10
CD164,0.0
AMY2A,8.838667e-07
SLK,0.0
SLC32A1,0.0
TNR,1.091157e-14
MYBPC2,0.0
REG4,0.0
PODXL2,0.0
SERHL2,0.0
ARRB1,0.0
ZNF443,0.0
ENO3,0.0
RAD18,4.765361e-08
DHRS3,0.0
TFAP4,0.0
UBR7,0.0
RELL2,0.0
RSBN1L,0.0
DRD3,1.2745503e-11
CHST7,0.0
MUSK,1.136876e-08
TLK2,0.0
POLDIP3,0.0
POLL,1.6798876e-06
FBLN7,0.0
SPEN,0.0
CUX2,0.0
SNX30,0.0
DIABLO,0.0
APOBEC3B,0.0
NFXL1,0.0
STOM,1.4217163e-06
MARK1,0.0
BLMH,0.0
ATRX,0.0
MPG,0.0
WDPCP,0.0
ENDOU,0.0
CACNA1E,2.1542016e-13
IFIT5,0.0
PNPLA1,0.0
MTCP1,0.0
RBMXL1,0.0
RELT,0.0
ULBP3,0.0
ERCC4,0.0
KRTAP10-9,0.0
FAM217A,0.0
SLMAP,0.0
TP53I3,0.0
CIC,0.0
RPAP1,0.0
EPHB4,4.1521207e-11
GOLGA3,0.0
HSPBP1,0.0
CCDC138,0.0
BSPRY,0.0
SCRN1,0.0
MRRF,7.351783e-09
TSEN15,0.0
NME9,0.0
UPF2,0.0
IFNA14,7.947652e-11
ZBTB45,0.0
NICN1,2.6702335e-06
LYG2,0.0
ZNF649,0.0
FOXJ3,0.0
MRPS27,1.0835746e-09
C1D,1.1305595e-15
VAPB,0.0
LRRCC1,0.0
AIF1L,0.0
RMND5B,0.0
BTN3A2,0.00989963
SSBP2,0.0
TRUB1,0.0
MLF1,0.0
ZNF335,0.0
NACC1,0.0
ELF2,0.0
LMBR1L,0.0
PARD6A,1.8458487e-15
LDHAL6A,0.0
STIP1,1.4408098e-14
IFIH1,3.4016565e-09
FHAD1,0.0
TOP1MT,0.0
HEATR5A,0.0
ANKRD13C,0.0
IL17RC,0.0
EXOSC1,9.831404e-12
STXBP5,0.0
PLA2G12A,0.0
GDF3,0.0
GMIP,0.0
CHMP6,0.0
NLRP9,0.0
PZP,0.0
ATP6V0E2,0.0
KCNMB3,0.0
CPNE4,0.0
ATP6V0B,1.3378505e-09
SFPQ,4.201767e-09
KCNE4,1.6728468e-07
ZNF449,0.0
SLC11A2,0.0
TRRAP,9.502816e-10
CYBRD1,0.0
ISM1,0.0
SEMA4B,0.0
PRKCB,0.0
NSUN5,0.0
PEG3,0.0
FAM102B,0.0
IDO2,1.2936848e-11
STX1A,5.3301663e-10
SGSH,0.0
NKIRAS2,0.0
WIPI2,1.0395452e-13
RBBP7,0.0
TAF4B,0.0
STX16,0.0
STATH,0.0
CACNB1,0.0
RHOBTB1,1.6598914e-08
METTL6,0.0
SYPL1,0.0
FAM186B,0.0
FAM47A,0.0
PRG3,6.8774694e-11
ZNF347,0.0
DCD,0.0
LIPE,3.6518298e-08
PAX8,0.0
NDUFS7,0.0
RNF7,0.0
ZNF77,0.0
ASB12,0.0
ALG11,0.0
DAG1,3.5495656e-18
TSPAN8,0.0
SPP2,1.5409072e-13
SEZ6L2,0.0
MCCC1,0.0
WFIKKN2,0.0
TMEM120A,0.0
RHOT1,2.263426e-09
DTNA,0.0
SEMA7A,1.0599136e-08
FAM83G,0.0
CRIM1,0.0
STON2,0.0
ZIM3,0.0
COX18,0.0
ATAT1,0.0
CARD6,0.0
APOBEC2,9.00286e-12
EMP2,0.0
RTBDN,0.0
SNUPN,0.0
CHRNA6,1.3208589e-18
TNFRSF10D,0.0
FAM161A,0.0
TTR,0.0
NAF1,0.0
TGFBI,1.1463926e-11
PLD3,0.0
EIF3A,4.543879e-13
SREBF2,6.597588e-27
CANX,8.144929e-12
MOV10,6.96962e-12
TARS2,9.425209e-08
KANSL3,0.0
HEXB,5.3774856e-13
RP1,0.0
IDH3G,0.0
DRGX,0.0
MASP2,1.4422831e-09
XRCC5,3.9611805e-06
FABP9,2.1974083e-08
UGT2A1,0.0
TMEM181,0.0
CAMK2N2,0.0
FCHSD1,0.0
LETMD1,0.0
PTH,0.0
SMARCE1,0.0
CHAT,1.2456852e-08
MIP,0.0
EXOC6B,0.0
METTL7A,0.0
HLF,0.0
GNA11,2.409374e-20
FAM50B,0.0
GLUD2,0.0
GARS,1.6399973e-06
ZNF697,0.0
VARS,2.0701547e-10
TUT1,0.0
JMJD8,0.0
SPHAR,0.0
TTC21B,3.8268452e-17
ZNF471,0.0
KLHL26,0.0
OR6Q1,0.0
ACTR5,0.0
DOPEY1,0.0
ACAD10,0.0
EIF3E,6.8477823e-07
CDK9,1.9440698e-09
RAB10,0.0
NONO,0.0
ITCH,0.0
FBXO10,1.1747838e-17
PHC1,4.336468e-16
HHAT,0.0
FAM49B,1.719588e-06
ROBO2,7.6353683e-07
CRX,0.0
TRIM38,0.0
DPAGT1,0.0
USP16,2.67621e-12
CSNK1E,0.0
NOTUM,1.6888864e-05
TGFBRAP1,0.0
DNM3,0.0007356871
CTDSPL,0.0
PTAR1,0.0
DCX,9.73887e-09
PARVB,0.0
AARS,0.0
LDLRAD3,0.0
ASB17,1.2559542e-09
AP1S3,2.0062646e-14
XXYLT1,0.0
FASTKD1,0.0
EPHX1,0.0
XPO7,0.0
DDAH2,0.0
SLC17A7,0.0
TMEM42,0.0
PLSCR5,0.0
HRAS,0.0005578703
STT3B,0.0
KRBA2,0.0
TMED7,1.1093159e-10
GPR119,0.0
SLN,0.0
MAGED2,0.0
TBC1D21,0.0
PATL1,5.6638383e-14
MYOD1,1.1819892e-10
PITPNB,0.0
TMEM41B,0.0
CAMLG,0.0
NPVF,0.0
SIX4,0.0
NEDD1,0.0
CTNND1,3.7506962e-07
MYO7B,0.0
COG8,2.6641002e-05
FAM180B,0.0
OR10R2,1.3747775e-15
SLC4A1AP,0.0
DCAF17,0.0
N4BP2L1,0.0
PIK3CB,5.9416675e-07
OR52E2,2.1942828e-11
BTBD7,0.0
DOPEY2,0.0
CDC25A,2.787678e-07
FDCSP,0.0
NCAPD2,0.0
DHX16,4.276648e-08
GRM5,3.2742691e-18
LIN28B,0.0
SMURF2,4.031664e-11
TMEM92,0.0
KRT25,0.0
STAG2,0.0
SLC28A3,5.1193116e-10
GLI3,1.3709946e-07
OAF,0.0
IQCF5,0.0
TMEM2,0.0
FUT6,0.0
LCE3B,1.2629369e-14
FKBP14,0.0
MYH1,0.0
ADRA2B,0.0
TMEM183A,0.0
MED12,2.1947619e-16
TTLL7,8.8050883e-10
TCF3,0.0
TWIST2,0.0
GFM2,0.0
DEFB135,0.0
UCK1,4.1798518e-07
HOXB6,0.0
HNRNPA1,3.8858794e-10
SLC9B2,0.0
SLC9A4,1.0783523e-12
AK8,7.397467e-12
CHRAC1,0.0
MTMR10,5.468475e-09
OR4A15,5.002043e-09
MLKL,0.0
CA5A,0.0
PRODH2,0.0
MAP2K2,0.0
NOMO3,0.0
AMDHD1,0.0
ASB18,0.0
GRID2,0.0
CD44,2.3066724e-17
DDX25,0.0
SYNRG,0.0
TFDP1,0.0
NOL6,1.0934442e-09
ARF1,0.00016513877
DNM1,0.0
DEFB136,6.128771e-21
KRTAP13-2,0.0
DCC,0.0
CFL1,2.533489e-10
HNRNPUL2,0.0
OAT,0.0
GATA3,0.0
ATP6AP1,0.0
CARS,1.2778897e-11
RASD2,0.0
MOCS2,9.779578e-12
TMEM216,0.0
ERCC5,2.1824418e-07
APH1B,1.5566133e-11
JARID2,1.3159769e-15
AGPS,0.0
SGTB,0.0
BHLHB9,0.0
RAPGEF3,2.9033137e-10
ECEL1,0.0
EHD3,0.0
SYS1,0.0
ANGEL2,0.0
ARL13B,0.0
SESN3,3.863258e-09
HEPH,0.0
USP6NL,8.2487345e-19
LCLAT1,2.7259377e-14
DNMT3A,6.092454e-10
FBXO9,4.1554854e-12
STEAP3,0.0
AHR,0.0
FAM98C,0.0
FCRL5,0.0
USP39,0.0
ZNF93,0.0
PIWIL2,1.078143e-13
ACCS,0.0
RPS28,0.0
ARRB2,0.0
TXNRD1,0.0
SATB1,0.0
CYB5RL,9.7961355e-09
POLR2C,5.1600976e-12
PDK1,0.0
CCDC148,0.0
UBXN8,0.0
CAMK2B,2.5058312e-19
DNASE1,0.0
ARMC5,0.0
NUP153,8.827227e-19
SYNJ1,0.0
MTA2,0.0
KRTAP12-2,0.0
PDCD7,6.123829e-23
KLHL21,9.347108e-12
LY6G5B,0.0
SRSF12,0.0
SF1,1.7953408e-21
TAF13,6.250564e-11
GIPC1,0.0
PLEK2,0.0
ZNF479,0.0
DYNC1I2,7.6699385e-09
ECM2,0.0
RRAGC,0.0
SLC22A13,1.05663936e-17
HOXA3,6.4924077e-12
BHLHA15,0.0
FGFR3,0.0
CELF4,0.0
RNF168,1.0094817e-12
TMEM69,0.0
FUNDC2,0.0
MATN4,6.242216e-08
HIPK4,0.0
TMEM14C,0.0
ANXA2,4.3186717e-12
RANBP6,0.0
PDCD4,6.364273e-16
SHISA4,0.0
ARHGEF10,1.2478091e-07
OR9Q1,3.6752472e-13
CCDC136,0.0
FAM122B,0.0
LRRC47,0.0
SDR9C7,0.0
ARHGAP26,0.0
MITF,4.3656654e-19
PLEKHA6,1.2531576e-08
TUBG2,0.0
USPL1,0.0
H1FX,0.0
PMFBP1,0.0
TRIM16L,0.0
NTSR2,4.280062e-12
PHACTR1,0.0
EPCAM,0.0
PAX6,4.7453796e-09
PNLIPRP1,0.0
TTC27,0.0
COMMD1,1.518768e-07
BRDT,0.0
KLF9,0.0
MBTPS1,7.207373e-05
HIST3H2A,0.00027925015
CHRDL1,0.0
ACACA,2.6856446e-15
CYP4F11,0.0
DLX2,0.0
TEX10,0.0
CHPT1,0.0
ACYP1,0.0
ZNF346,0.0
HNF1A,0.0
KRT4,0.0
EPN2,7.9215345e-10
MTM1,0.0
PIGB,1.3032134e-15
CEP72,0.0
GBE1,4.025065e-05
RPE,0.0
TSPAN12,0.0
KIAA2013,0.0
KITLG,0.0
OR6C2,0.0
CEP97,1.535296e-14
DMRT1,0.0
UBR3,0.0
RABL2A,0.0
LHPP,0.0
SSNA1,1.18857155e-08
PARP2,1.6902125e-19
BLVRA,5.3584203e-12
NUP35,0.0
FAM13B,3.2249239e-13
ZRANB1,4.807513e-10
TRAPPC2L,0.0
PGBD1,0.0
PGBD2,0.0
ZNF804B,0.0
FNTB,0.0
NID1,1.2618206e-10
PSMC2,1.1933832e-13
ZC3H6,0.0
ZGPAT,0.0
CDCP1,0.0
CCDC73,0.0
TMOD1,2.4603255e-09
SLC1A3,3.765617e-09
ST5,2.3263525e-05
NKRF,0.0
SLC22A6,3.6500998e-07
RPF2,0.0
RNF4,9.781538e-10
CHRNA3,0.0
TOMM20,0.00037507442
LMO1,0.0
TMED10,0.0
CNNM2,0.0
AP1M2,3.773732e-13
STK11,6.0605725e-09
FKBP15,0.0
NCOA5,0.0
GNAI2,0.00092878664
MAP2K5,0.0
TRIM8,0.0
IBSP,5.5006854e-08
SHF,0.0
GPR139,0.0
ZMYND11,0.0
DUSP27,0.0
ZC3H11A,3.3805736e-16
SLC25A33,0.0
ZC3H14,0.0
BDH2,6.728687e-15
SHPRH,1.6321222e-10
ZNF74,0.0
BAX,9.510457e-06
RAB24,7.187475e-08
ZFYVE9,5.365273e-07
DZIP1,0.0
BRCA1,0.0015076001
KRT37,0.0
UBE2U,2.403674e-13
MMP20,6.351938e-20
SOWAHB,0.0
GSTA3,0.0
LDHD,0.0
INPPL1,6.8100245e-17
SYBU,0.0
LANCL1,0.0
HOXA5,0.0
DKK4,0.0
OR10K1,4.540993e-15
CD209,0.00021490958
TERF1,4.8797025e-11
GLB1L2,0.0
SLC10A5,0.0
BMF,5.1143095e-15
CXCR4,2.9116562e-09
APIP,0.0
DIS3,0.0
EFCAB3,0.0
SS18L1,0.0
FAR1,0.0
OBSCN,4.0326998e-07
PAPSS1,2.1861288e-16
ZC3H10,0.0
IL4R,6.6925326e-11
GPR50,0.0
GNPDA2,0.0
RASGEF1B,0.0
TCN2,0.0
ACVR1B,7.232587e-05
FZD7,2.0926603e-07
IPO8,0.0
PLD4,0.0
SLC25A3,0.0
PTGR2,0.0
SUPT6H,0.0
APLP1,0.0
