ind,Signaling by NODAL,ABC-family proteins mediated transport,Translation,Fibronectin matrix formation,Post-translational protein modification,Meiosis,Processing of Capped Intronless Pre-mRNA,Death Receptor Signalling,Elastic fibre formation,Metabolism of porphyrins,Transcriptional regulation of pluripotent stem cells,DNA Damage Bypass,Signaling by Rho GTPases,Deadenylation-dependent mRNA decay,Response to metal ions,Integrin cell surface interactions,RNA Polymerase III Transcription,Membrane Trafficking,Ion channel transport,Transmission across Electrical Synapses ,Metabolism of nucleotides,Signaling by Receptor Tyrosine Kinases,Cell junction organization,Signaling by Nuclear Receptors,M/G1 Transition,Mitochondrial biogenesis,Activation of HOX genes during differentiation,Peroxisomal protein import,Disorders of transmembrane transporters,Transcriptional regulation of white adipocyte differentiation,Regulated Necrosis,Potassium Channels,Abacavir transport and metabolism,Keratinization,Metabolism of vitamins and cofactors,Pink/Parkin Mediated Mitophagy,Protein-protein interactions at synapses,Base Excision Repair,Transcription from mitochondrial promoters,Integrin signaling,Mismatch Repair,tRNA processing,mRNA Capping,Digestion,Nephrin family interactions,Diseases of signal transduction,Diseases of metabolism,Innate Immune System,DNA Double-Strand Break Repair,Signal regulatory protein family interactions,Striated Muscle Contraction,Signaling by Hedgehog,Platelet Adhesion to exposed collagen,Myogenesis,DNA Damage Reversal,Miscellaneous transport and binding events,Inositol phosphate metabolism,RNA Polymerase I Transcription,Signaling by WNT,Regulation of beta-cell development,Collagen formation,Binding and Uptake of Ligands by Scavenger Receptors,Platelet homeostasis,Processing of Capped Intron-Containing Pre-mRNA,Cell Cycle Checkpoints,mTOR signalling,Factors involved in megakaryocyte development and platelet production,Mitochondrial iron-sulfur cluster biogenesis,Cellular responses to stress,Mitochondrial calcium ion transport,Pyrophosphate hydrolysis,Laminin interactions,Integration of energy metabolism,Macroautophagy,Axon guidance,Mitochondrial protein import,NR1D1 (REV-ERBA) represses gene expression,Signaling by Hippo,Nonsense-Mediated Decay (NMD),Protein folding,Amyloid fiber formation,Intracellular oxygen transport,Fanconi Anemia Pathway,Metabolism of non-coding RNA,rRNA processing,Aquaporin-mediated transport,Protein repair,Transmission across Chemical Synapses,Biological oxidations,Unfolded Protein Response (UPR),Chromosome Maintenance,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",Regulation of mRNA stability by proteins that bind AU-rich elements,Signaling by Non-Receptor Tyrosine Kinases,Apoptosis,Smooth Muscle Contraction,Metabolism of nitric oxide,Dissolution of Fibrin Clot,The citric acid (TCA) cycle and respiratory electron transport,Fertilization,Signaling by Leptin,Neurodegenerative Diseases,Intracellular signaling by second messengers,Cytosolic iron-sulfur cluster assembly,Cell surface interactions at the vascular wall,Cytokine Signaling in Immune system,Intestinal absorption,Epigenetic regulation of gene expression,Metabolism of amino acids and derivatives,"Plasma lipoprotein assembly, remodeling, and clearance",ECM proteoglycans,Diseases of Mismatch Repair (MMR),Formation of Fibrin Clot (Clotting Cascade),Infectious disease,Reversible hydration of carbon dioxide,"Cell Cycle, Mitotic",Degradation of the extracellular matrix,Signaling by GPCR,Chromatin modifying enzymes,Non-integrin membrane-ECM interactions,Synthesis of DNA,Receptor Mediated Mitophagy,Adaptive Immune System,Metabolism of lipids,Cardiac conduction,Iron uptake and transport,Invadopodia formation,RNA Polymerase II Transcription,Metabolism of carbohydrates,RORA activates gene expression,Signaling by TGF-beta family members,"Platelet activation, signaling and aggregation",Diseases of Immune System,O2/CO2 exchange in erythrocytes,Nucleotide Excision Repair,SLC-mediated transmembrane transport,MAPK family signaling cascades,Diseases of glycosylation,LGI-ADAM interactions,Cilium Assembly,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Gene Silencing by RNA,Signaling by NOTCH,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,Surfactant metabolism,mRNA Editing,Peptide hormone metabolism
00-029N9_LN,0.0,-0.0,1.02796015e-07,0.0,4.6334625e-07,-0.0,-0.0,-3.8444236e-07,0.0,-0.0,0.0,0.0,-6.65596e-10,0.0,-0.0,0.0,-7.4445516e-08,-4.1130115e-06,0.0,0.0,4.856436e-11,-1.1036127e-06,0.0,-2.3510166e-08,-0.0,0.0,-0.0,-0.0,-8.363488e-11,0.0,0.0,0.0,0.0,-0.0,-1.0693769e-06,0.0,3.6498488e-07,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.1819217e-07,4.3051892e-11,-1.1950748e-09,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-6.971667e-13,-0.0,-0.0,-6.932561e-10,0.0,-1.0226608e-10,1.14060164e-07,0.0,-1.156292e-08,0.0,-0.0,-1.4036515e-06,0.0,0.0,-0.0,0.0,-2.478851e-08,-0.0,0.0,-2.7437024e-09,-0.0,-0.0,0.0,0.0,8.398645e-09,0.0,-0.0,0.0,0.0,1.6770331e-10,0.0,-0.0,-1.2379984e-08,1.5934182e-09,0.0,0.0,0.0,0.0,0.0,4.652996e-11,-3.9795806e-11,0.0,0.0,0.0,2.1161882e-10,0.0,0.0,1.511087e-09,-0.0,0.0,9.5591616e-08,-0.0,-2.1687992e-11,-0.0,-0.0,-3.7810667e-05,-0.0,-0.0,6.50821e-05,0.0,5.560539e-08,-6.148905e-08,-8.7424676e-05,3.312889e-10,-0.0,-0.0,-0.0,4.135571e-07,7.0167816e-06,-0.0,-0.0,0.0,-2.0485736e-06,-2.6649136e-09,0.0,0.0,7.0775313e-12,0.0,0.0,-0.0,0.0,3.2892394e-10,7.182265e-10,0.0,1.7029032e-06,-0.0,-0.0,-1.2153133e-07,-0.0,-0.0,-0.0,-0.0
04-149E2_LN,0.0,-0.0,-0.00017301072,0.0,-8.6216325e-08,-5.93079e-10,-0.0,-7.6993994e-05,0.0,-0.0,0.0,0.0,4.5754978e-06,0.0,-0.0,0.0,-6.31673e-08,1.5885757e-05,-1.5281926e-10,0.0,0.0,-1.9184096e-08,0.0,2.087263e-08,-0.0,0.0,-2.4513605e-08,-0.0,-8.357585e-11,0.0,0.0,-8.211894e-12,0.0,-7.422008e-05,-1.0856161e-06,0.0,-6.9794663e-07,0.0,-0.0,0.0,0.0,0.0,4.45193e-09,-0.0,-6.488619e-09,1.6869404e-06,-8.3354164e-11,1.3392621e-08,8.616869e-10,-0.0,1.3106374e-07,0.0,-0.0,0.0,-0.0,-6.966246e-13,-0.0,6.543042e-08,-5.9180866e-06,0.0,-1.7371943e-09,1.13968184e-07,0.0,2.9865246e-06,-9.8396534e-11,-0.0,0.0,0.0,-1.7693488e-06,-8.11665e-10,0.0,0.0,-0.0,0.0,-3.8995733e-08,1.483692e-10,-0.0,0.0,-2.8151037e-10,0.0,-5.0607113e-08,-0.0,2.3417393e-10,0.0,7.149754e-09,0.0,-0.0,3.487824e-11,-1.8452925e-08,0.0,0.0,0.0,0.0,-4.2912335e-10,-5.114335e-10,7.2946706e-09,3.0750635e-11,0.0,0.0,-0.0,0.0,0.0,-1.1324291e-08,-0.0,0.0,2.3341723e-10,-0.0,-9.56869e-06,-3.3516179e-09,-0.0,0.0,-0.0,-0.0,4.3877817e-06,0.0,-3.0203557e-05,-0.0,-3.910804e-06,4.323552e-05,-0.0,-0.0,-0.0,-1.862094e-07,2.9950556e-06,2.0354713e-09,-0.0,0.0,-0.00030293528,-7.8621855e-07,0.0,0.0,0.0,0.0,0.0,2.7711147e-07,-6.3833403e-07,-4.1524578e-05,-1.9033206e-06,0.0,-1.2358457e-07,-0.0,1.4471472e-07,-2.763535e-07,-0.0,-0.0,-0.0,-0.0
05-011G4_LUNG,0.0,-0.0,1.0816397e-07,0.0,-3.5422744e-07,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,1.7061831e-08,0.0,-0.0,0.0,-1.332483e-06,5.1211316e-07,0.0,0.0,6.7903225e-11,-1.8652345e-10,0.0,2.1144233e-09,-0.0,0.0,-0.0,-0.0,-8.352675e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,3.34758e-12,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1.6446108e-07,-8.3305196e-11,-3.5200537e-07,4.5328977e-11,-0.0,0.0,0.0,-0.0,0.0,-0.0,-6.962745e-13,3.015771e-07,-5.1921316e-09,4.2903955e-07,0.0,0.0,0.0,0.0,0.0,-1.770253e-09,-0.0,-4.3087525e-07,0.0,-4.4436874e-08,1.2913887e-09,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.7347935e-08,0.0,-0.0,-1.1702768e-10,0.0,-0.0,0.0,-0.0,1.09650684e-10,-1.8443723e-08,0.0,0.0,0.0,0.0,0.0,4.6470418e-11,1.9430829e-10,0.0,0.0,-3.545621e-08,-0.0,0.0,0.0,-7.545794e-09,-0.0,0.0,-7.615549e-09,-0.0,-4.3645493e-08,-7.2073994e-06,-2.6167436e-12,0.0,-0.0,-0.0,-3.3083394e-10,0.0,3.1220718e-06,-0.0,-1.1856193e-07,1.2994719e-06,-0.0,3.4201847e-05,-0.0,-2.0748537e-07,4.6967943e-06,-0.0,3.2137015e-11,0.0,-9.0962067e-07,2.4873908e-11,0.0,0.0,1.41362685e-11,0.0,0.0,-0.0,-1.7037847e-07,3.285042e-10,6.705711e-08,0.0,-1.4087319e-06,-0.0,-0.0,-1.1015908e-09,-0.0,-0.0,-0.0,-0.0
05-214BB2_BONE,0.0,-0.0,0.0,0.0,-2.6803488e-07,-0.0,-0.0,1.537768e-10,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.8918948e-10,0.0,0.0,-0.0,0.0,-0.0,-0.0,-8.472062e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-6.6550404e-10,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-4.6459205e-11,-8.4495896e-11,2.6037702e-07,-1.5402257e-09,-0.0,0.0,0.0,-0.0,0.0,-0.0,-7.0622674e-13,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1223238e-06,-0.0,0.0,0.0,1.0245114e-06,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.3736421e-08,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1312314e-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.4541932e-08,-0.0,0.0,7.811689e-07,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,6.711253e-10,0.0,1.9257365e-11,-0.0,-2.1093621e-08,-2.1914299e-07,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,4.6035083e-07,2.5229256e-11,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-1.0430526e-06,0.0,-0.0,-0.0,-0.0,-2.0331115e-06,-0.0,-0.0,-0.0,-0.0
08-006H1_LN,0.0,-0.0,2.4293204e-06,0.0,2.0604097e-05,1.7793438e-10,-0.0,7.585103e-11,0.0,-0.0,0.0,0.0,-1.5520193e-09,-4.830226e-07,-0.0,0.0,0.0,2.792825e-06,0.0,0.0,0.0,-1.8663694e-10,0.0,2.0149618e-11,-0.0,0.0,-0.0,-0.0,-8.3573905e-11,0.0,0.0,0.0,0.0,3.4089964e-05,-4.6083496e-08,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2145047e-09,-1.5121438e-07,-4.116262e-08,-0.0,-0.0,0.0,-1.4881783e-07,-0.0,0.0,-1.463256e-07,-6.9666766e-13,3.0173715e-07,-0.0,0.0,0.0,0.0,0.0,0.0,-5.7380774e-05,7.9903e-08,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,3.6837766e-10,0.0,7.742081e-05,-0.0,-0.0,0.0,0.0,-2.0468885e-11,0.0,-0.0,0.0,0.0,2.4206348e-10,-5.5226768e-11,-0.0,-5.6962726e-11,-4.5656694e-08,-9.325949e-12,0.0,0.0,0.0,-1.6941006e-09,4.6496654e-11,-3.7032212e-08,0.0,0.0,0.0,-0.0,0.0,0.0,-7.550386e-09,-0.0,0.0,5.504543e-06,-0.0,-8.880191e-10,-0.0,-0.0,-1.1582495e-08,-0.0,-0.0,-3.3102074e-10,0.0,-0.0003460374,-0.0,7.090337e-07,3.3105174e-10,-0.0,-0.0,-0.0,9.913563e-09,6.5356375e-07,-0.0,-0.0,0.0,-3.8653522e-07,2.488711e-11,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,2.0505797e-11,0.0,5.24577e-07,2.394253e-08,-0.0,3.7672673e-06,-0.0,-0.0,-0.0,-6.9383155e-08
10363,0.0,-0.0,4.0132568e-07,0.0,9.290644e-07,-0.0,-0.0,3.8583632e-08,-1.8471108e-07,-0.0,0.0,-1.0093378e-06,4.9169516e-06,0.0,-0.0,-2.572639e-09,0.0,-6.257611e-09,0.0,0.0,0.0,-1.8670174e-10,0.0,0.0,5.69931e-12,0.0,-0.0,-0.0,-8.359518e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-1.741361e-07,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-4.5842035e-11,-8.337345e-11,2.2562935e-08,-2.461657e-07,-0.0,0.0,0.0,-0.0,0.0,-0.0,-6.9694e-13,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,3.230733e-06,-2.0944142e-06,-0.0,0.0,0.0,-7.5923947e-07,1.2647266e-08,0.0,-1.5129089e-08,-0.0,0.0,-6.171324e-08,9.163383e-09,-0.0,0.0,0.0,-1.35566e-08,0.0,-0.0,-1.171387e-10,0.0,-2.794133e-10,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1163559e-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.4350713e-08,-0.0,0.0,5.5760046e-07,-0.0,-0.0,6.999707e-08,-0.0,-2.3159233e-05,-0.0,-0.0,1.4148117e-06,0.0,1.0902665e-07,-0.0,-1.457081e-06,-1.3247247e-08,-0.0,8.926929e-06,-0.0,-7.4867216e-08,-0.0,-0.0,-0.0,0.0,2.6360694e-06,-7.8593706e-07,0.0,2.0031395e-10,0.0,0.0,0.0,-0.000110254936,1.5213463e-09,-0.0,2.0511016e-11,0.0,-0.0,-0.0,-0.0,-2.006377e-06,-0.0,-0.0,-0.0,-0.0
12688,0.0,-0.0,0.0,0.0,-2.642769e-07,1.2366604e-07,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0425422e-09,0.0,0.0,0.0,-2.3142281e-09,0.0,0.0,2.5068284e-10,0.0,-3.8720167e-08,-0.0,-8.3581454e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,3.647319e-07,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-2.72257e-06,-8.3359764e-11,-6.046268e-10,-5.220384e-08,-0.0,0.0,4.477792e-09,-0.0,0.0,-0.0,-6.966773e-13,-0.0,-0.0,-1.6164677e-09,0.0,0.0,0.0,0.0,-5.4481053e-10,-3.6392186e-05,-0.0,0.0,0.0,9.899385e-07,-0.0,0.0,0.0,-0.0,0.0,4.653806e-09,-0.0,-0.0,0.0,0.0,-1.35506815e-08,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4918928e-07,1.1159352e-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.4345298e-08,-0.0,0.0,7.690518e-07,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-4.0321967e-07,0.0,-0.00014640154,-0.0,-0.0,0.0,-0.0,0.00021371747,-0.0,0.00021491472,-0.0,-0.0,-0.0,0.0,0.0005132025,2.4888114e-11,0.0,0.0,0.0,0.0,0.0,3.5716144e-07,0.0,-0.0,-1.0290277e-06,0.0,9.173192e-10,-0.0,-0.0,-2.0056202e-06,-0.0,-0.0,-0.0,-0.0
20630,0.0,-0.0,1.2046921e-06,0.0,-5.345312e-11,1.7786808e-10,-0.0,3.8554937e-08,0.0,-0.0,0.0,0.0,-1.4383726e-06,0.0,-0.0,0.0,5.954606e-07,-4.5055307e-07,-9.652527e-09,0.0,0.0,-2.1464059e-05,0.0,0.0,-0.0,3.5658578e-09,-0.0,-0.0,-8.3567576e-11,2.1963482e-08,0.0,0.0,0.0,-0.0,-4.077055e-07,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,7.1700765e-07,-8.3345914e-11,-4.3378895e-07,-3.8990535e-09,-0.0,0.0,0.0,-0.0,0.0,-0.0,-6.9641054e-13,-0.0,-0.0,-1.6851267e-08,0.0,-1.2258612e-09,0.0,0.0,0.0,0.0,-1.1210193e-08,0.0,0.0,0.0,-0.0,0.0,-9.862839e-09,-0.0,8.1861124e-08,-1.02777244e-08,-0.0,-0.0,0.0,3.0931254e-08,0.0,6.261088e-11,-0.0,5.3140944e-08,0.0,-1.3569232e-08,0.0,-0.0,0.0,-1.4652253e-12,0.0,-1.6757586e-09,0.0,0.0,-3.858239e-06,4.6479494e-11,0.0,0.0,0.0,-3.6520373e-09,-0.0,0.0,0.0,0.0,-0.0,0.0,-2.9952073e-08,-0.0,4.330379e-10,1.2695064e-08,-0.0,-1.5117389e-05,-0.0,-0.0,-2.2342208e-06,0.0,0.00010840472,-0.0,-1.462441e-06,-2.6805298e-08,-0.0,-0.0,-0.0,-6.385148e-05,3.7551392e-05,-0.0,-0.0,0.0,0.00010552128,2.487924e-11,0.0,-2.141765e-08,0.0,0.0,0.0,-0.0,0.0,-0.0,2.0504244e-11,0.0,-1.7238998e-08,-0.0,-4.875008e-08,4.802821e-10,-0.0,-0.0,-0.0,-0.0
21011,0.0,-0.0,0.0,0.0,-4.611535e-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-1.8599283e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-6.2917155e-05,0.0,0.0,-0.0,6.1348224e-09,-4.381597e-05,-0.0,-8.356583e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-3.0477232e-10,0.0,-0.0,-2.4110567e-09,0.0,0.0,0.0,-0.0,0.0,-4.582594e-11,-8.334417e-11,-2.264865e-06,-0.0,-4.843186e-10,0.0,0.0,-0.0,0.0,-0.0,-6.966002e-13,-0.0,-5.1930082e-09,3.9483293e-08,0.0,0.0,0.0,0.0,-2.0614e-08,-2.0934133e-06,-0.0,0.0,0.0,1.0038453e-06,1.2919928e-09,0.0,0.0,-0.0,0.0,-2.5034254e-07,-0.0,-0.0,0.0,0.0,-1.3549181e-08,0.0,-0.0,-1.1708244e-10,0.0,-2.792784e-10,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1158118e-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.41548595e-08,-0.0,0.0,5.573579e-07,-0.0,-4.3652864e-08,-0.0,-0.0,0.0,-0.0,-0.0,-2.9788987e-09,0.0,-0.0003070402,-0.0,-0.0,3.3101974e-10,-0.0,-0.0,-0.0,1.3606299e-09,-1.7812606e-11,-0.0,-0.0,0.0,2.167011e-06,3.742758e-09,0.0,0.0,0.0,0.0,0.0,-0.0,-2.6409036e-11,-0.0,2.0503816e-11,0.0,-0.0,-0.0,-0.0,-2.0053812e-06,-0.0,-0.0,-0.0,-0.0
21020,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,5.956186e-07,3.9961026e-07,0.0,0.0,0.0,-1.8661692e-10,0.0,0.0,-0.0,0.0,-0.0,-0.0,-8.356862e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-4.5827467e-11,-8.3346954e-11,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-6.966236e-13,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.649371e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-3.3099978e-10,0.0,1.899558e-11,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,2.4886194e-11,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,2.05045e-11,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
