ind,Cellular responses to external stimuli,Signal Transduction,Cell Cycle,Metabolism of RNA,Metabolism of proteins,Transport of small molecules,Disease,DNA Repair,Programmed Cell Death,Mitophagy,Digestion and absorption,Vesicle-mediated transport,Neuronal System,Metabolism,Developmental Biology,Reproduction,Muscle contraction,Organelle biogenesis and maintenance,Immune System,Extracellular matrix organization,Hemostasis,Chromatin organization,Circadian Clock,DNA Replication,Gene expression (Transcription),Cell-Cell communication
00-029N9_LN,-0.0,-8.9057205e-05,5.5584977e-08,-1.1402765e-08,5.745159e-07,-0.0,6.560119e-05,1.0479242e-09,5.7746297e-11,0.0,-0.0,-3.9991314e-06,3.526071e-07,5.9463473e-06,-3.0620926e-09,1.6789055e-10,-0.0,1.7029604e-06,5.078983e-07,-3.7897134e-05,-1.4035104e-06,3.0598873e-10,0.0,0.0,-2.1229346e-06,-0.0
04-149E2_LN,-1.7694629e-06,-0.00012405742,-3.020392e-05,2.9978012e-06,-0.00017314742,-6.3927246e-07,4.170886e-06,2.7905566e-07,-4.9046367e-10,0.0,-0.0,1.5999494e-05,-6.9790474e-07,1.1014404e-06,-7.428358e-05,-3.3552125e-10,1.4047198e-07,-1.2349983e-07,-1.7263068e-07,-1.7611425e-09,1.182682e-10,4.3235465e-05,0.0,0.0,-0.0003123559,-6.396683e-09
05-011G4_LUNG,-4.441379e-08,3.217351e-07,3.1203092e-06,-6.122674e-11,-2.6342178e-07,-1.6908758e-07,-9.741777e-08,1.046583e-09,5.7672398e-11,0.0,-0.0,5.120217e-07,1.0962618e-10,-2.262859e-06,-0.0,0.0,2.7475708e-10,-1.4087132e-06,-5.6730335e-07,-1.354039e-10,-4.308693e-07,1.2993992e-06,0.0,3.420175e-05,-2.2908164e-06,-0.0
05-214BB2_BONE,1.0246031e-06,-2.070917e-06,-2.122344e-06,-6.2101886e-11,-2.8173872e-07,-0.0,-1.0428829e-06,-5.307712e-10,1.1406864e-09,0.0,-0.0,-0.0,-6.671588e-10,-0.0,-0.0,0.0,-0.0,-0.0,1.0415267e-06,-1.373393e-10,1.1989794e-10,-2.1930039e-07,0.0,0.0,4.5973582e-07,-0.0
08-006H1_LN,-0.0,4.3164996e-06,-0.00034595747,-5.7863595e-05,2.2987968e-05,-7.4398876e-11,-1.530272e-07,-1.450336e-07,5.770496e-11,0.0,-0.0,2.792678e-06,-3.6562694e-11,8.639328e-07,0.00011151081,1.1184691e-10,-3.6838234e-08,5.24603e-07,5.473223e-06,-1.151583e-08,1.1827506e-10,3.057697e-10,0.0,0.0,-3.8824737e-07,-0.0
10363,-7.5925266e-07,1.4779673e-06,-1.985367e-06,3.2304376e-06,1.3259552e-06,1.42157415e-08,1.4146657e-06,-0.000111684436,1.1256867e-09,0.0,-0.0,-6.4565575e-09,-0.0,-7.159751e-07,-6.1987215e-08,0.0,-0.0,-0.0,5.0523397e-07,-2.3361472e-05,1.183213e-10,-1.3306182e-08,0.0,8.926895e-06,2.6356454e-06,-0.0
12688,9.900269e-07,-1.8709375e-06,-0.00018274122,-5.8199046e-10,-2.7780058e-07,-0.0,-4.1550243e-06,3.0577905e-07,1.1252624e-09,0.0,-0.0,8.72179e-10,3.6471795e-07,-0.0,-3.4424364e-08,7.1135624e-08,-0.0,9.655405e-10,0.00021568305,-1.3548224e-10,1.1827671e-10,0.0,0.0,0.00021371774,0.0005132021,-0.0
20630,8.160757e-08,-2.8232567e-05,0.00010840311,1.7330551e-08,1.2047122e-06,-9.742656e-09,-1.5170859e-06,5.0245802e-08,5.7683663e-11,0.0,-0.0,-4.5074384e-07,-0.0,3.7152742e-05,1.1088047e-08,1.1180563e-10,-0.0,-1.3673252e-08,-6.4315354e-05,-1.5128518e-05,1.1823141e-10,-2.6897803e-08,0.0,0.0,0.000106068954,-0.0
21011,1.0038968e-06,-6.508515e-05,-0.0003091336,-2.094934e-08,-1.82095e-08,1.2646586e-09,-3.0299487e-09,1.0470728e-09,1.1251379e-09,0.0,-0.0,-0.0,-3.1075284e-10,3.7367185e-09,-4.406634e-05,0.0,-0.0,6.114413e-09,-1.7061247e-06,-1.3546725e-10,1.1826362e-10,3.0574013e-10,0.0,0.0,2.117863e-06,-4.920335e-10
21020,-0.0,0.0,-0.0,-6.125743e-11,0.0,-0.0,-5.050083e-10,1.0471077e-09,5.770131e-11,0.0,-0.0,3.994271e-07,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.3547177e-10,1.1826758e-10,0.0,0.0,0.0,5.946056e-07,-0.0
2746,-3.4944899e-06,-5.6674827e-07,-2.3444436e-05,-4.058761e-08,0.0010172067,-1.3690067e-07,2.2238019e-06,-8.691972e-08,-1.7712256e-06,0.0,-0.0,3.9075e-07,-1.8415707e-07,1.0577793e-06,-2.3478244e-06,1.6777862e-10,6.8731437e-10,-1.6656161e-08,-1.4207201e-05,-6.05627e-08,1.1828089e-10,8.613957e-07,0.0,0.0,-9.02608e-07,-0.0
AAPC-IP_LG-037-Tumor-SM-3NC6D,2.496582e-10,4.2165862e-05,-1.8615266e-07,-6.126171e-11,-2.623296e-07,-5.9519495e-10,-0.0002946192,1.0471809e-09,5.7705344e-11,0.0,-0.0,6.4331454e-07,2.4186383e-08,-2.3757309e-08,-9.6398224e-05,0.0,-0.0,-0.0,1.0673027e-05,-1.3548125e-10,5.4619784e-07,0.0,0.0,0.0,5.0762566e-08,-0.0
AAPC-IP_LG-061-Tumor-SM-3NC6X,-0.0,2.2469028e-05,9.3822644e-11,4.900712e-10,-1.7467471e-05,2.3062747e-09,7.006654e-06,0.00015257513,5.7702697e-11,8.4775784e-05,-0.0,0.00018266904,-0.0,4.4487303e-11,4.004488e-06,1.1184252e-10,-9.896451e-09,3.8543935e-06,-1.245778e-06,-1.8803935e-07,-8.405479e-07,-2.7212435e-08,0.0,0.0,1.62879e-07,-0.0
AAPC-IP_LG-067-Tumor-SM-3NC6Z,7.487674e-09,-0.000904089,-1.6145166e-05,2.0884462e-08,-2.0321277e-06,2.2313635e-09,-0.00011366548,-3.1406735e-09,1.0672534e-09,0.0,-0.0,-2.4414073e-09,-0.0,-4.3310843e-06,-1.529537e-09,1.11816695e-10,-0.0,-0.0,-0.0010712809,-1.3544375e-10,-4.4222922e-08,-2.748708e-05,0.0,1.6770202e-05,0.0005153149,-0.0
AAPC-STID0000008820-Tumor-SM-2XU16,-2.4967098e-10,-4.55361e-07,1.0321493e-09,4.411069e-09,1.3622211e-05,2.6703302e-07,1.8253211e-06,2.7856439e-07,5.7708296e-11,0.0,-0.0,4.8844164e-09,5.484721e-11,2.7552326e-06,-2.541662e-05,0.0,-6.873202e-10,-0.0,3.537169e-08,5.988984e-06,1.6654091e-07,-1.4720909e-05,0.0,0.0,-3.511164e-06,-0.0
AAPC-STID0000008920-Tumor-SM-2XU17,-0.0,-1.3258067e-06,9.121261e-08,7.37082e-08,-1.1815234e-05,3.2591505e-08,1.2823345e-05,0.00035153358,5.7713456e-11,0.0,-1.0811652e-06,-2.417479e-06,-3.876216e-09,-1.050096e-08,0.0014985239,1.6779506e-10,-8.441047e-07,-4.1025327e-05,4.886727e-07,2.1693597e-06,-2.3007885e-07,-1.1753988e-06,0.0,-1.3467189e-08,-4.861338e-05,-0.0
AAPC-STID0000009880-Tumor-SM-2XU19,-3.4596226e-06,-0.0010960557,8.48413e-05,6.298988e-07,0.0010656745,3.3502158e-05,1.8753346e-05,0.00015594979,5.0338596e-08,0.0,-0.0,1.8254334e-05,-0.0,1.9613812e-05,-6.025208e-05,-7.827887e-10,-3.7656253e-07,0.0001217869,-0.0012885807,5.415673e-05,1.5880324e-06,-7.898304e-06,-0.000103232094,7.478935e-06,-1.992759e-06,-0.0
AAPC-STID0000013388-Tumor-SM-2XU1Q,-0.0,0.0,-0.0,-6.121797e-11,1.3089986e-07,-0.0,-5.04683e-10,1.05166535e-07,5.7664137e-11,0.0,-0.0,-0.0,-0.0,-0.0,-3.7751574e-06,0.0,-0.0,-0.0,2.8262562e-07,6.6482324e-05,1.7487598e-06,0.0,0.0,0.0,0.0,-0.0
AAPC-STID0000020508-Tumor-SM-2XU22,-0.0,-8.716305e-05,-1.0391803e-05,6.234704e-05,1.802221e-05,-2.3058337e-09,7.811577e-05,-3.121273e-05,7.499917e-10,0.0,-5.104675e-07,9.809843e-05,-4.1489097e-09,-1.4425765e-05,-1.9999493e-07,-3.91374e-10,3.1415225e-06,1.1519301e-07,-0.0011422517,-6.772457e-10,-4.000915e-06,3.703241e-06,0.0,0.0,-0.000362322,4.270812e-07
AAPC-STID0000021563-Tumor-SM-2XTYU,-1.0484041e-08,-1.4533088e-06,0.00010842726,-1.2610633e-06,-9.991164e-08,2.3060276e-09,-5.049664e-10,-3.1410625e-09,5.7696518e-11,0.0,-0.0,-1.3254995e-08,-1.8278672e-11,2.643762e-05,1.8402609e-06,1.11830545e-10,-0.0,-0.0,-0.0010738021,-5.824803e-09,1.0288424e-08,-2.6903798e-08,0.0,0.0,-3.4185312e-05,-0.0
AAPC-STID0000021598-Tumor-SM-2XTZN,-1.0754881e-08,-2.9828734e-06,-7.2056565e-07,-6.1373434e-11,3.741215e-07,6.260944e-09,-6.623078e-07,-0.00011538896,7.48647e-09,0.0,-4.0221715e-11,2.8447982e-06,-1.8314808e-11,7.00024e-07,1.8304876e-06,-2.9077398e-08,1.4046185e-08,1.7101762e-06,5.154452e-07,-9.761175e-06,1.1849155e-10,-1.4691864e-05,0.0,8.93974e-06,0.00011390042,3.19772e-10
AAPC-STID0000021602-Tumor-SM-2XTZR,2.497047e-10,-6.5953005e-05,0.00010842781,4.4116644e-09,-1.2765769e-06,2.6706905e-07,8.464592e-06,-0.00010962307,5.7716085e-11,0.0,-0.0,-4.726311e-07,5.4854614e-11,3.6820915e-05,-2.4923105e-05,0.0,-6.8741296e-10,-0.0,-4.940869e-07,-9.746303e-06,-7.4421183e-07,-1.7437584e-05,0.0,8.925127e-06,-1.0494742e-05,-0.0
MO_1130,1.9681024e-06,-1.9261777e-06,-8.4492217e-07,-3.4006024e-07,2.1031796e-07,1.3972807e-06,1.6685113e-05,8.145299e-06,6.051912e-10,0.0,-0.0,7.9849013e-07,-7.486558e-10,1.6225671e-05,3.170922e-07,-3.0721812e-09,-0.0,-0.0,5.2663893e-08,-1.3532138e-10,1.1813628e-10,0.0,0.0,-4.1745852e-06,-1.418616e-05,-0.0
MO_1241,-3.5961147e-08,6.2504546e-07,-1.0217626e-05,-6.127937e-11,1.9768775e-05,-0.0,1.7429028e-07,6.288249e-05,5.772198e-11,0.0,-0.0,-0.00019998386,-0.0,-0.0,4.044086e-07,0.0,3.1811223e-06,1.16782736e-07,-0.0,-1.5855875e-08,-9.346485e-09,0.0,0.0,-2.7109152e-06,-3.2675964e-06,-4.022952e-08
MO_1244,1.0103339e-06,-2.6954428e-06,-0.00030974954,5.97061e-09,-5.8209163e-05,-0.0,-8.1228774e-07,3.2618053e-05,1.1248007e-09,0.0,-0.0,-0.0,-0.0,2.4459277e-09,-6.4997114e-09,0.0,-0.0,-0.0,7.687549e-07,-1.3542664e-10,1.1822818e-10,0.0,0.0,0.0,0.00055036676,-0.0
MO_1316,-3.59574e-08,6.2498026e-07,-0.0,1.6849763e-06,-5.519278e-07,-0.0,-0.0002552859,0.00011877635,5.7715957e-11,0.0,-0.0,-1.081693e-08,-1.2212804e-06,-0.0,9.908316e-07,0.0,-0.0,-0.0,-0.0,-1.3550618e-10,1.1829761e-10,1.02452375e-08,0.0,0.0,-9.726446e-06,-0.0
MO_1447,-3.2461454e-08,6.817776e-05,1.4778429e-05,-6.8653134e-07,-3.1007391e-06,-1.3892881e-07,-6.7374935e-06,1.9648678e-06,0.0,0.0,-0.0,-0.0,-6.1436864e-09,2.1754206e-05,0.0017074203,-3.356038e-10,-4.506933e-06,-1.6457282e-07,4.9526816e-06,-5.081468e-08,0.0,-7.74859e-06,0.0,0.0,0.00011657533,-0.0
P02-2035,-0.0,-1.2239404e-09,-0.0,-6.125742e-11,0.0,-0.0,-5.0500826e-10,1.0471076e-09,5.7701302e-11,0.0,-0.0,-0.0,-0.0,-0.0,-2.5701536e-07,0.0,-0.0,-0.0,-0.0,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,0.0,-0.0
P04-1243,1.00979e-06,-1.623977e-06,-2.0916607e-06,-6.120406e-11,7.3020993e-07,-0.0,5.5502523e-09,1.0461955e-09,1.1241953e-09,0.0,-0.0,-0.0,-0.0,9.548207e-07,-1.1463905e-08,0.0,-0.0,-0.0,7.155333e-07,-1.3535376e-10,-2.9017667e-06,0.0,0.0,0.0,1.0280613e-05,-0.0
