,degree,fanout,fanin
KTN1,3.0,3.0,1.0
SNRNP70,1.0,1.0,1.0
EBAG9,1.0,1.0,1.0
UBE4A,1.0,1.0,1.0
KIT,4.0,4.0,1.0
DEPDC1,0.0,0.0,1.0
TPM2,2.0,2.0,1.0
AAAS,18.0,18.0,1.0
ARID1B,2.0,2.0,1.0
WDR64,0.0,0.0,1.0
TMEM169,0.0,0.0,1.0
IQCJ,0.0,0.0,1.0
KHNYN,0.0,0.0,1.0
MINK1,1.0,1.0,1.0
SLC6A18,2.0,2.0,1.0
CNGA2,1.0,1.0,1.0
SCNN1D,0.0,0.0,1.0
LSM1,1.0,1.0,1.0
CSN3,0.0,0.0,1.0
GCNT4,0.0,0.0,1.0
TAF5L,1.0,1.0,1.0
GUCA2B,0.0,0.0,1.0
GAS8,0.0,0.0,1.0
SEPHS2,1.0,1.0,1.0
SNW1,9.0,9.0,1.0
DIRC2,0.0,0.0,1.0
ATP8B2,1.0,1.0,1.0
OR13C4,1.0,1.0,1.0
ZNF287,0.0,0.0,1.0
ZIK1,0.0,0.0,1.0
ZZZ3,1.0,1.0,1.0
BACE1,1.0,1.0,1.0
GALC,1.0,1.0,1.0
SS18L2,0.0,0.0,1.0
PRDM2,0.0,0.0,1.0
OR10W1,1.0,1.0,1.0
NAGPA,0.0,0.0,1.0
KCNV2,1.0,1.0,1.0
TAS2R5,1.0,1.0,1.0
ZNF134,0.0,0.0,1.0
AASDHPPT,0.0,0.0,1.0
PFN1,2.0,2.0,1.0
CDC37L1,1.0,1.0,1.0
KCTD19,0.0,0.0,1.0
KRTAP4-1,0.0,0.0,1.0
WAS,3.0,3.0,1.0
BRD7,1.0,1.0,1.0
RPS6KA2,8.0,8.0,1.0
GTF2F2,16.0,16.0,1.0
CFHR5,1.0,1.0,1.0
EPAS1,5.0,5.0,1.0
CLEC17A,0.0,0.0,1.0
CSNK1G2,2.0,2.0,1.0
TNRC6A,12.0,12.0,1.0
MAPKAPK5,3.0,3.0,1.0
HINT3,0.0,0.0,1.0
OR6P1,1.0,1.0,1.0
FKRP,0.0,0.0,1.0
ZNF233,0.0,0.0,1.0
BCL7A,0.0,0.0,1.0
ARPC5,4.0,4.0,1.0
KRTAP10-12,0.0,0.0,1.0
KIAA0232,0.0,0.0,1.0
MICAL1,0.0,0.0,1.0
RAG2,2.0,2.0,1.0
SLC30A4,0.0,0.0,1.0
NOL9,1.0,1.0,1.0
CD164,0.0,0.0,1.0
AMY2A,1.0,1.0,1.0
SLK,0.0,0.0,1.0
SLC32A1,0.0,0.0,1.0
TNR,1.0,1.0,1.0
MYBPC2,1.0,1.0,1.0
REG4,0.0,0.0,1.0
PODXL2,0.0,0.0,1.0
SERHL2,0.0,0.0,1.0
ARRB1,13.0,13.0,1.0
ZNF443,0.0,0.0,1.0
ENO3,1.0,1.0,1.0
RAD18,2.0,2.0,1.0
DHRS3,1.0,1.0,1.0
TFAP4,0.0,0.0,1.0
UBR7,0.0,0.0,1.0
RELL2,0.0,0.0,1.0
RSBN1L,0.0,0.0,1.0
DRD3,1.0,1.0,1.0
CHST7,1.0,1.0,1.0
MUSK,1.0,1.0,1.0
TLK2,0.0,0.0,1.0
POLDIP3,3.0,3.0,1.0
POLL,1.0,1.0,1.0
FBLN7,0.0,0.0,1.0
SPEN,0.0,0.0,1.0
CUX2,0.0,0.0,1.0
SNX30,0.0,0.0,1.0
