,fanin,fanout,degree
R-HSA-110362,6.0,1.0,7.0
R-HSA-5651801,14.0,1.0,15.0
R-HSA-73930,1.0,1.0,2.0
R-HSA-111461,5.0,1.0,6.0
R-HSA-264870,10.0,1.0,11.0
R-HSA-351906,6.0,1.0,7.0
R-HSA-352238,2.0,1.0,3.0
R-HSA-111469,5.0,1.0,6.0
R-HSA-111885,48.0,1.0,49.0
R-HSA-111933,12.0,1.0,13.0
R-HSA-112399,33.0,1.0,34.0
R-HSA-110056,1.0,1.0,2.0
R-HSA-112411,2.0,1.0,3.0
R-HSA-113510,13.0,1.0,14.0
R-HSA-111446,2.0,1.0,3.0
R-HSA-111447,11.0,1.0,12.0
R-HSA-111448,3.0,1.0,4.0
R-HSA-139910,2.0,1.0,3.0
R-HSA-139915,5.0,1.0,6.0
R-HSA-1169091,45.0,1.0,46.0
R-HSA-1169092,4.0,1.0,5.0
R-HSA-2025928,7.0,1.0,8.0
R-HSA-1169408,53.0,1.0,54.0
R-HSA-1222387,0.0,1.0,1.0
R-HSA-1222449,0.0,1.0,1.0
R-HSA-1222538,0.0,1.0,1.0
R-HSA-1222541,0.0,1.0,1.0
R-HSA-1234158,6.0,1.0,7.0
R-HSA-1234162,2.0,1.0,3.0
R-HSA-1234176,36.0,1.0,37.0
R-HSA-1236973,3.0,1.0,4.0
R-HSA-1236974,44.0,1.0,45.0
R-HSA-1236977,5.0,1.0,6.0
R-HSA-1236978,27.0,1.0,28.0
R-HSA-1296041,14.0,1.0,15.0
R-HSA-141333,0.0,1.0,1.0
R-HSA-141334,0.0,1.0,1.0
R-HSA-211227,6.0,1.0,7.0
R-HSA-3371378,8.0,1.0,9.0
R-HSA-69416,7.0,1.0,8.0
R-HSA-141430,12.0,1.0,13.0
R-HSA-141444,47.0,1.0,48.0
R-HSA-1461957,18.0,1.0,19.0
R-HSA-1462054,3.0,1.0,4.0
R-HSA-1482788,14.0,1.0,15.0
R-HSA-1482798,6.0,1.0,7.0
R-HSA-1482801,9.0,1.0,10.0
R-HSA-1482839,12.0,1.0,13.0
R-HSA-1482883,3.0,1.0,4.0
R-HSA-1482922,9.0,1.0,10.0
R-HSA-1482925,8.0,1.0,9.0
R-HSA-1483076,0.0,1.0,1.0
R-HSA-1483101,0.0,1.0,1.0
R-HSA-1483115,5.0,1.0,6.0
R-HSA-1483148,5.0,1.0,6.0
R-HSA-1483152,0.0,1.0,1.0
R-HSA-1483166,20.0,1.0,21.0
R-HSA-1483171,0.0,1.0,1.0
R-HSA-1483191,16.0,1.0,17.0
R-HSA-1483196,1.0,2.0,3.0
R-HSA-1483213,8.0,1.0,9.0
R-HSA-1483226,5.0,1.0,6.0
R-HSA-1483248,5.0,1.0,6.0
R-HSA-1660499,43.0,1.0,44.0
R-HSA-1660502,0.0,1.0,1.0
R-HSA-1660508,0.0,1.0,1.0
R-HSA-1660510,0.0,1.0,1.0
R-HSA-1660514,12.0,1.0,13.0
R-HSA-1660516,13.0,1.0,14.0
R-HSA-1660517,9.0,1.0,10.0
R-HSA-1660524,0.0,1.0,1.0
R-HSA-1660537,0.0,1.0,1.0
R-HSA-6814848,3.0,1.0,4.0
R-HSA-8847453,3.0,1.0,4.0
R-HSA-1362277,10.0,1.0,11.0
R-HSA-1362300,5.0,1.0,6.0
R-HSA-159424,4.0,1.0,5.0
R-HSA-173599,1.0,1.0,2.0
