,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
KTN1,7.1956406e-06,3.0,7.1956406e-06,-0.021866653,-0.22707544
SNRNP70,0.0,1.0,0.0,-0.056590393,0.06805289
EBAG9,0.0,1.0,0.0,-0.056590393,0.06805289
UBE4A,6.0749876e-20,1.0,6.0749876e-20,-0.056590393,0.06805289
KIT,0.0,4.0,0.0,-0.056590393,-0.41195324
DEPDC1,0.0,0.0,0.0,-0.056590393,0.22805494
TPM2,6.715072e-13,2.0,6.715072e-13,-0.056590386,-0.09194915
AAAS,0.0,18.0,0.0,-0.056590393,-2.6519818
ARID1B,2.2580701e-07,2.0,2.2580701e-07,-0.055500723,-0.09116852
WDR64,0.0,0.0,0.0,-0.056590393,0.22805494
TMEM169,0.0,0.0,0.0,-0.056590393,0.22805494
IQCJ,0.0,0.0,0.0,-0.056590393,0.22805494
KHNYN,0.0,0.0,0.0,-0.056590393,0.22805494
MINK1,0.0,1.0,0.0,-0.056590393,0.06805289
SLC6A18,0.0,2.0,0.0,-0.056590393,-0.09194915
CNGA2,0.0,1.0,0.0,-0.056590393,0.06805289
SCNN1D,0.0,0.0,0.0,-0.056590393,0.22805494
LSM1,0.0,1.0,0.0,-0.056590393,0.06805289
CSN3,0.0,0.0,0.0,-0.056590393,0.22805494
GCNT4,0.0,0.0,0.0,-0.056590393,0.22805494
TAF5L,3.759413e-05,1.0,3.759413e-05,0.12482622,0.19801791
GUCA2B,0.0,0.0,0.0,-0.056590393,0.22805494
GAS8,0.0,0.0,0.0,-0.056590393,0.22805494
SEPHS2,0.0,1.0,0.0,-0.056590393,0.06805289
SNW1,1.7630741e-06,9.0,1.7630741e-06,-0.048082393,-1.2058685
DIRC2,0.0,0.0,0.0,-0.056590393,0.22805494
ATP8B2,1.2118649e-07,1.0,1.2118649e-07,-0.056005586,0.06847184
OR13C4,7.0285085e-07,1.0,7.0285085e-07,-0.05319867,0.070482686
ZNF287,0.0,0.0,0.0,-0.056590393,0.22805494
ZIK1,0.0,0.0,0.0,-0.056590393,0.22805494
ZZZ3,5.292988e-05,1.0,5.292988e-05,0.1988314,0.25103447
BACE1,4.368033e-11,1.0,4.368033e-11,-0.05659018,0.06805304
GALC,1.2173955e-10,1.0,1.2173955e-10,-0.056589805,0.06805331
SS18L2,0.0,0.0,0.0,-0.056590393,0.22805494
PRDM2,0.0,0.0,0.0,-0.056590393,0.22805494
OR10W1,0.0,1.0,0.0,-0.056590393,0.06805289
NAGPA,0.0,0.0,0.0,-0.056590393,0.22805494
KCNV2,1.7923654e-18,1.0,1.7923654e-18,-0.056590393,0.06805289
TAS2R5,0.0,1.0,0.0,-0.056590393,0.06805289
ZNF134,0.0,0.0,0.0,-0.056590393,0.22805494
AASDHPPT,0.0,0.0,0.0,-0.056590393,0.22805494
PFN1,0.0,2.0,0.0,-0.056590393,-0.09194915
CDC37L1,0.0,1.0,0.0,-0.056590393,0.06805289
KCTD19,0.0,0.0,0.0,-0.056590393,0.22805494
KRTAP4-1,0.0,0.0,0.0,-0.056590393,0.22805494
WAS,0.0,3.0,0.0,-0.056590393,-0.2519512
BRD7,0.0,1.0,0.0,-0.056590393,0.06805289
RPS6KA2,9.204442e-16,8.0,9.204442e-16,-0.056590393,-1.0519614
GTF2F2,0.0,16.0,0.0,-0.056590393,-2.3319776
CFHR5,5.128518e-07,1.0,5.128518e-07,-0.054115545,0.06982584
EPAS1,9.971287e-10,5.0,9.971287e-10,-0.05658558,-0.5719518
CLEC17A,0.0,0.0,0.0,-0.056590393,0.22805494
CSNK1G2,0.0,2.0,0.0,-0.056590393,-0.09194915
TNRC6A,0.0,12.0,0.0,-0.056590393,-1.6919694
MAPKAPK5,0.0,3.0,0.0,-0.056590393,-0.2519512
HINT3,0.0,0.0,0.0,-0.056590393,0.22805494
OR6P1,9.6288214e-11,1.0,9.6288214e-11,-0.056589928,0.06805322
FKRP,0.0,0.0,0.0,-0.056590393,0.22805494
ZNF233,0.0,0.0,0.0,-0.056590393,0.22805494
BCL7A,0.0,0.0,0.0,-0.056590393,0.22805494
ARPC5,0.0,4.0,0.0,-0.056590393,-0.41195324
KRTAP10-12,0.0,0.0,0.0,-0.056590393,0.22805494
KIAA0232,0.0,0.0,0.0,-0.056590393,0.22805494
MICAL1,0.0,0.0,0.0,-0.056590393,0.22805494
RAG2,0.0,2.0,0.0,-0.056590393,-0.09194915
SLC30A4,0.0,0.0,0.0,-0.056590393,0.22805494
NOL9,3.0900812e-10,1.0,3.0900812e-10,-0.0565889,0.06805395
CD164,0.0,0.0,0.0,-0.056590393,0.22805494
AMY2A,8.838667e-07,1.0,8.838667e-07,-0.052325148,0.07110847
SLK,0.0,0.0,0.0,-0.056590393,0.22805494
SLC32A1,0.0,0.0,0.0,-0.056590393,0.22805494
TNR,1.091157e-14,1.0,1.091157e-14,-0.056590393,0.06805289
MYBPC2,0.0,1.0,0.0,-0.056590393,0.06805289
REG4,0.0,0.0,0.0,-0.056590393,0.22805494
PODXL2,0.0,0.0,0.0,-0.056590393,0.22805494
SERHL2,0.0,0.0,0.0,-0.056590393,0.22805494
ARRB1,0.0,13.0,0.0,-0.056590393,-1.8519715
ZNF443,0.0,0.0,0.0,-0.056590393,0.22805494
ENO3,0.0,1.0,0.0,-0.056590393,0.06805289
RAD18,4.765361e-08,2.0,4.765361e-08,-0.05636043,-0.0917844
DHRS3,0.0,1.0,0.0,-0.056590393,0.06805289
TFAP4,0.0,0.0,0.0,-0.056590393,0.22805494
UBR7,0.0,0.0,0.0,-0.056590393,0.22805494
RELL2,0.0,0.0,0.0,-0.056590393,0.22805494
RSBN1L,0.0,0.0,0.0,-0.056590393,0.22805494
