,,root
KTN1,mut_important,0.1430328
KTN1,cnv_del,0.5131836
KTN1,cnv_amp,-0.2056969
SNRNP70,mut_important,1.526596e-10
SNRNP70,cnv_del,1.8773493e-32
SNRNP70,cnv_amp,5.760167e-33
EBAG9,mut_important,-4.1157807e-16
EBAG9,cnv_del,-5.8659416e-25
EBAG9,cnv_amp,3.383709e-24
UBE4A,mut_important,-7.7495756e-29
UBE4A,cnv_del,6.816594e-11
UBE4A,cnv_amp,-2.2091988e-32
KIT,mut_important,-0.013083083
KIT,cnv_del,0.014984996
KIT,cnv_amp,-0.03739382
DEPDC1,mut_important,-0.06977458
DEPDC1,cnv_del,0.27269208
DEPDC1,cnv_amp,0.29868966
TPM2,mut_important,-6.4343243e-07
TPM2,cnv_del,-2.1407067e-32
TPM2,cnv_amp,-8.1838255e-30
AAAS,mut_important,0.00016382393
AAAS,cnv_del,3.7309695e-31
AAAS,cnv_amp,2.2600898e-32
ARID1B,mut_important,3.0697098e-33
ARID1B,cnv_del,0.00416199
ARID1B,cnv_amp,-0.03800804
WDR64,mut_important,1.0336367e-07
WDR64,cnv_del,2.6315683e-07
WDR64,cnv_amp,-1.3445538e-07
TMEM169,mut_important,0.059878126
TMEM169,cnv_del,0.11859882
TMEM169,cnv_amp,-0.08202359
IQCJ,mut_important,0.0014162003
IQCJ,cnv_del,0.0412772
IQCJ,cnv_amp,0.03512136
KHNYN,mut_important,5.4457805e-06
KHNYN,cnv_del,0.0003185868
KHNYN,cnv_amp,0.00028248894
MINK1,mut_important,-6.181723e-11
MINK1,cnv_del,-9.320512e-33
MINK1,cnv_amp,9.5460295e-33
SLC6A18,mut_important,-2.9132136e-05
SLC6A18,cnv_del,1.9500055e-32
SLC6A18,cnv_amp,-1.0388354e-24
CNGA2,mut_important,7.463084e-33
CNGA2,cnv_del,0.039300874
CNGA2,cnv_amp,-0.22914556
SCNN1D,mut_important,4.1215832e-13
SCNN1D,cnv_del,-1.2751003e-32
SCNN1D,cnv_amp,8.151921e-34
LSM1,mut_important,-2.092065e-09
LSM1,cnv_del,7.9005644e-33
LSM1,cnv_amp,-5.87438e-33
CSN3,mut_important,-0.2276336
CSN3,cnv_del,2.4283011e-32
CSN3,cnv_amp,2.5814958e-33
GCNT4,mut_important,-1.2311623e-08
GCNT4,cnv_del,1.8614511e-23
GCNT4,cnv_amp,-2.1518243e-32
TAF5L,mut_important,0.018100731
TAF5L,cnv_del,-0.2116863
TAF5L,cnv_amp,0.28944615
GUCA2B,mut_important,-5.29865e-07
GUCA2B,cnv_del,-8.8712866e-32
GUCA2B,cnv_amp,7.528815e-27
GAS8,mut_important,0.28381217
GAS8,cnv_del,-0.16263731
GAS8,cnv_amp,0.25427622
SEPHS2,mut_important,0.11983996
SEPHS2,cnv_del,0.032697212
SEPHS2,cnv_amp,0.07262726
SNW1,mut_important,-0.01786736
SNW1,cnv_del,-0.017751422
SNW1,cnv_amp,-0.08313363
DIRC2,mut_important,0.6115151
DIRC2,cnv_del,-0.3559555
DIRC2,cnv_amp,0.07763281
ATP8B2,mut_important,0.29006797
ATP8B2,cnv_del,-0.4315478
ATP8B2,cnv_amp,0.38461778
OR13C4,mut_important,0.28501987
OR13C4,cnv_del,3.3216432e-24
OR13C4,cnv_amp,-1.2576558e-25
ZNF287,mut_important,4.4687757e-05
ZNF287,cnv_del,-1.9087232e-32
ZNF287,cnv_amp,4.8587825e-33
ZIK1,mut_important,-0.4276394
ZIK1,cnv_del,-0.28348905
ZIK1,cnv_amp,0.45388716
ZZZ3,mut_important,-0.5804376
ZZZ3,cnv_del,2.1641946e-33
ZZZ3,cnv_amp,2.1795414e-24
BACE1,mut_important,-4.888101e-07
BACE1,cnv_del,9.972935e-08
BACE1,cnv_amp,-4.601507e-07
GALC,mut_important,8.2804836e-05
GALC,cnv_del,-3.4868674e-05
GALC,cnv_amp,3.7387614e-05
SS18L2,mut_important,1.0456135e-11
SS18L2,cnv_del,6.0364505e-30
SS18L2,cnv_amp,6.414661e-33
PRDM2,mut_important,-2.6092684e-05
PRDM2,cnv_del,-3.6178227e-31
PRDM2,cnv_amp,-2.0991972e-32
OR10W1,mut_important,-0.00032914942
OR10W1,cnv_del,3.4059965e-28
OR10W1,cnv_amp,-6.53463e-23
NAGPA,mut_important,-5.2377384e-30
NAGPA,cnv_del,0.0013344529
NAGPA,cnv_amp,-0.00033291936
KCNV2,mut_important,1.3719162e-32
KCNV2,cnv_del,1.524063e-12
KCNV2,cnv_amp,-4.0418602e-11
TAS2R5,mut_important,-2.6279286e-08
TAS2R5,cnv_del,9.039824e-32
TAS2R5,cnv_amp,2.4853734e-33
ZNF134,mut_important,0.030495718
ZNF134,cnv_del,-0.122923866
ZNF134,cnv_amp,0.3576952
AASDHPPT,mut_important,-0.00014813856
AASDHPPT,cnv_del,-0.0015669179
AASDHPPT,cnv_amp,0.0036628589
PFN1,mut_important,2.7978186e-12
PFN1,cnv_del,8.924328e-32
PFN1,cnv_amp,9.3251573e-32
CDC37L1,mut_important,-0.0033901613
CDC37L1,cnv_del,1.06158674e-32
CDC37L1,cnv_amp,1.8963048e-32
KCTD19,mut_important,0.24442615
KCTD19,cnv_del,-0.2973864
KCTD19,cnv_amp,-0.14237145
KRTAP4-1,mut_important,-0.3461029
KRTAP4-1,cnv_del,0.23335758
KRTAP4-1,cnv_amp,0.19672978
WAS,mut_important,-9.699862e-07
WAS,cnv_del,4.9579633e-33
WAS,cnv_amp,-1.6401959e-32
BRD7,mut_important,0.017605904
BRD7,cnv_del,0.04915
BRD7,cnv_amp,-0.02095887
