,root
R-HSA-8953897,-0.26922873
R-HSA-162582,1.3199766
R-HSA-1640170,-0.40472788
R-HSA-8953854,-0.26425588
R-HSA-392499,0.18483725
R-HSA-382551,-0.16046296
R-HSA-1643685,-0.5446336
R-HSA-73894,-1.1292686
R-HSA-5357801,0.12445764
R-HSA-5205647,0.92443526
R-HSA-8963743,-0.043295704
R-HSA-5653656,-0.75243324
R-HSA-112316,-0.039429076
R-HSA-1430728,-0.09595366
R-HSA-1266738,-0.82494646
R-HSA-1474165,0.2412306
R-HSA-397014,-1.1858573
R-HSA-1852241,-0.3470736
R-HSA-168256,-0.28358737
R-HSA-1474244,-0.29220304
R-HSA-109582,0.2550948
R-HSA-4839726,0.6594819
R-HSA-400253,0.69305164
R-HSA-69306,0.59879714
R-HSA-74160,0.60155827
R-HSA-1500931,-0.9178958
