,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,0.0,2.0,0.0,-0.12952673,0.07398506,2
A tetrasaccharide linker sequence is required for GAG synthesis,2.6636617e-05,14.0,2.6636617e-05,-0.07224714,-0.13471611,2
A1CF,2.0966397e-21,1.0,2.0966397e-21,-0.056590393,0.06805289,1
AAAS,0.0,18.0,0.0,-0.056590393,-2.6519818,1
AACS,0.0,1.0,0.0,-0.056590393,0.06805289,1
AADAC,0.0,0.0,0.0,-0.056590393,0.22805494,1
AADACL2,0.0,0.0,0.0,-0.056590393,0.22805494,1
AAGAB,0.0,0.0,0.0,-0.056590393,0.22805494,1
AAMP,0.0,0.0,0.0,-0.056590393,0.22805494,1
AANAT,0.0,1.0,0.0,-0.056590393,0.06805289,1
AARS,0.0,1.0,0.0,-0.056590393,0.06805289,1
AARSD1,0.0,0.0,0.0,-0.056590393,0.22805494,1
AASDH,0.0,0.0,0.0,-0.056590393,0.22805494,1
AASDHPPT,0.0,0.0,0.0,-0.056590393,0.22805494,1
AASS,4.3425675e-07,1.0,4.3425675e-07,-0.054494817,0.06955414,1
AATF,0.0,1.0,0.0,-0.056590393,0.06805289,1
ABC transporter disorders,1.2285831e-07,16.0,1.2285831e-07,-0.18619195,-2.2818573,4
ABC transporters in lipid homeostasis,8.376591e-06,2.0,8.376591e-06,-0.17777298,-0.03292521,2
ABC-family proteins mediated transport,8.376553e-06,3.0,8.376553e-06,-0.27392957,0.099822246,5
ABCA13,5.8613075e-13,1.0,5.8613075e-13,-0.056590386,0.068052895,1
ABCA2,9.329982e-15,1.0,9.329982e-15,-0.056590393,0.06805289,1
ABCA3,0.0,2.0,0.0,-0.056590393,-0.09194915,1
ABCA7,1.2834654e-05,1.0,1.2834654e-05,0.0053453255,0.11242301,1
ABCA8,0.0,0.0,0.0,-0.056590393,0.22805494,1
ABCB10,1.15780315e-14,1.0,1.15780315e-14,-0.056590393,0.06805289,1
ABCB4,9.433781e-17,1.0,9.433781e-17,-0.056590393,0.06805289,1
ABCB5,0.0,0.0,0.0,-0.056590393,0.22805494,1
ABCB6,0.0,1.0,0.0,-0.056590393,0.06805289,1
ABCB7,8.298338e-15,1.0,8.298338e-15,-0.056590393,0.06805289,1
ABCB8,1.9349901e-16,1.0,1.9349901e-16,-0.056590393,0.06805289,1
