,coef
R-HSA-8981373,0.0
R-HSA-217271,4.169987e-08
R-HSA-2871837,0.015489749
R-HSA-140342,7.383983e-05
R-HSA-5621480,4.1559952e-07
R-HSA-5610785,8.796818e-05
R-HSA-180336,4.014998e-06
R-HSA-392170,3.7458492e-05
R-HSA-5657560,0.0
R-HSA-381676,2.123456e-06
R-HSA-5579010,0.0
R-HSA-5619068,0.0
R-HSA-2142700,1.3002553e-11
R-HSA-1296052,2.7872027e-06
R-HSA-168142,0.0
R-HSA-74217,3.9246255e-09
R-HSA-376172,1.1831581e-05
R-HSA-983170,1.3909039e-07
R-HSA-909733,0.022991633
R-HSA-83936,1.7013258e-08
R-HSA-4341670,0.0
R-HSA-983695,6.871668e-06
R-HSA-549132,4.3163972e-08
R-HSA-8981607,0.0
R-HSA-804914,2.4307934e-07
R-HSA-1236975,0.036683057
R-HSA-71737,2.9497999e-08
R-HSA-9013507,1.4613205e-07
R-HSA-6803544,8.328892e-06
R-HSA-5339716,1.5842909e-06
R-HSA-5619044,0.0
R-HSA-5661182,0.0
R-HSA-1222499,0.0
R-HSA-193681,1.1646277e-06
R-HSA-8876198,1.1358153e-05
R-HSA-6783783,4.0605577e-05
R-HSA-8876725,4.3727944e-08
R-HSA-5619099,8.030007e-11
R-HSA-2473224,1.08067624e-07
R-HSA-3560801,6.6638e-06
R-HSA-390471,0.00020838273
R-HSA-389977,3.1005555e-07
R-HSA-418886,1.3645978e-06
R-HSA-2586552,1.8991988e-08
R-HSA-6809371,5.6260695e-05
R-HSA-425381,5.228867e-07
R-HSA-447041,7.313562e-07
R-HSA-69109,4.7903213e-06
R-HSA-622312,5.4925393e-05
R-HSA-163765,1.0881962e-06
R-HSA-5579012,0.0
R-HSA-5619076,0.0
R-HSA-5635838,4.7949466e-06
R-HSA-6782861,1.7514718e-07
R-HSA-198693,3.4642386e-07
R-HSA-73772,1.2861692e-06
R-HSA-211163,3.704602e-06
R-HSA-211897,1.558933e-06
R-HSA-3656534,2.3300222e-06
R-HSA-9010642,7.5652025e-08
R-HSA-162587,6.7238493e-06
R-HSA-1855170,0.0
R-HSA-442660,7.0772444e-08
R-HSA-5688890,8.648383e-09
R-HSA-198323,9.9439255e-08
R-HSA-8852405,0.0
R-HSA-1632852,2.1834703e-05
R-HSA-8964038,1.9798558e-06
R-HSA-5619114,0.0
R-HSA-2691230,2.3300372e-06
R-HSA-2219530,2.7385878e-09
R-HSA-373080,1.2502633e-06
R-HSA-201451,4.6676396e-06
R-HSA-264876,1.4861214e-05
R-HSA-933542,0.012366588
R-HSA-1247673,1.4723241e-05
R-HSA-977347,3.9796664e-06
R-HSA-5362768,1.0627259e-05
R-HSA-373753,1.6678989e-06
R-HSA-1300644,2.1815866e-08
R-HSA-389542,6.514128e-07
R-HSA-2428924,7.5620133e-06
R-HSA-351200,0.0
R-HSA-5619071,0.0
R-HSA-189483,2.002365e-05
R-HSA-162909,3.8661356e-06
R-HSA-4420097,0.000107509986
R-HSA-73728,1.3239384e-07
R-HSA-5682113,0.0
R-HSA-388844,2.234825e-05
R-HSA-352230,4.8467757e-07
R-HSA-75157,5.6106933e-06
R-HSA-381771,1.6135803e-06
R-HSA-674695,2.0182693e-05
R-HSA-450520,9.54151e-07
R-HSA-6809583,0.0
R-HSA-5602680,3.8191854e-09
R-HSA-69275,1.399568e-05
R-HSA-4641257,0.00019579785
R-HSA-416700,5.251155e-06
R-HSA-5658471,0.0
R-HSA-209905,0.0
R-HSA-5619109,0.0
R-HSA-5602566,0.0
R-HSA-1306955,2.5791556e-07
R-HSA-5579026,4.3216303e-07
R-HSA-5083629,1.4434098e-08
R-HSA-4793954,0.0
R-HSA-1483255,3.8579947e-05
R-HSA-380972,9.047721e-06
R-HSA-933541,0.0100637525
R-HSA-418889,6.6193104e-05
R-HSA-68952,2.169955e-06
R-HSA-5626978,4.964832e-07
R-HSA-1266695,9.5691794e-05
R-HSA-5339717,5.6841045e-06
R-HSA-913709,4.2342063e-07
R-HSA-8963889,6.1158545e-08
R-HSA-76061,1.3739247e-08
R-HSA-166187,0.0
R-HSA-8851805,4.536584e-07
R-HSA-425986,1.06075395e-05
R-HSA-8951664,0.00011142072
R-HSA-2871796,4.31353e-05
R-HSA-77387,5.3240994e-05
R-HSA-1222556,2.3415905e-06
R-HSA-426486,6.178942e-07
R-HSA-1855192,0.0
R-HSA-5627083,1.2800903e-08
R-HSA-70688,0.0
R-HSA-8964011,7.978577e-10
R-HSA-373756,0.0
R-HSA-203615,6.0470193e-05
R-HSA-964975,0.00018563996
R-HSA-2022377,2.874587e-07
R-HSA-3214842,4.3835178e-05
R-HSA-196819,4.3932218e-05
R-HSA-6802955,1.8259436e-05
R-HSA-8964058,1.20868335e-05
R-HSA-9034015,9.304723e-06
R-HSA-445095,3.1515626e-09
R-HSA-3656253,3.2215128e-06
R-HSA-77111,7.523586e-10
R-HSA-114452,0.0002275144
R-HSA-5619047,0.0
R-HSA-1912420,5.509243e-09
R-HSA-73843,1.1254975e-08
R-HSA-8963678,0.0
R-HSA-936837,0.00022902117
R-HSA-2978092,3.5184944e-09
R-HSA-111471,0.00017806883
R-HSA-69236,3.0669685e-06
R-HSA-194068,5.4922944e-10
R-HSA-5619089,0.0
R-HSA-5576886,0.00018622211
R-HSA-70921,8.900683e-06
