,coef
R-HSA-9006936,9.291677e-06
R-HSA-372790,6.8041372e-06
R-HSA-72312,0.0003014707
R-HSA-5696398,7.1862723e-06
R-HSA-9006927,1.9169318e-05
R-HSA-391251,0.00021779654
R-HSA-157118,0.00018032154
R-HSA-429914,0.0037522463
R-HSA-2564830,1.748779e-07
R-HSA-446728,1.9998508e-06
R-HSA-381426,0.00019948978
R-HSA-72086,2.5180922e-05
R-HSA-74158,9.638343e-06
R-HSA-112315,7.644049e-05
R-HSA-1296071,2.5024058e-06
R-HSA-5693532,8.696745e-05
R-HSA-1368082,6.8301853e-09
R-HSA-168249,0.16363344
R-HSA-983231,4.5252142e-07
R-HSA-5663205,6.8019625e-07
R-HSA-174824,4.2459684e-05
R-HSA-3000178,0.000102846665
R-HSA-5660526,2.8528016e-08
R-HSA-983712,0.0002329206
R-HSA-428359,0.00015549129
R-HSA-75067,2.1216778e-07
R-HSA-1187000,1.0354739e-07
R-HSA-2161522,2.4229305e-06
R-HSA-211859,0.00025918212
R-HSA-1368071,5.2238622e-08
R-HSA-8935690,3.1576492e-06
R-HSA-1428517,3.2251814e-06
R-HSA-165159,9.567135e-06
R-HSA-195721,0.0017014461
R-HSA-6783310,0.00021895386
R-HSA-9006921,1.076807e-05
R-HSA-189445,2.1911937e-05
R-HSA-72306,3.9266633e-05
R-HSA-109581,0.0010640785
R-HSA-422475,0.043396667
R-HSA-373753,1.667334e-06
R-HSA-425407,0.0002485944
R-HSA-212165,0.0002873016
R-HSA-3000157,2.265273e-07
R-HSA-3781865,0.00012562852
R-HSA-73887,7.993927e-05
R-HSA-1475029,2.0185696e-05
R-HSA-140877,6.0086142e-05
R-HSA-9033241,6.442061e-07
R-HSA-381340,1.4285295e-05
R-HSA-1474290,6.3263046e-06
R-HSA-5676934,4.974333e-07
R-HSA-556833,0.00032490832
R-HSA-8863678,7.449418e-08
R-HSA-202131,5.9646824e-05
R-HSA-5663202,0.00060967566
R-HSA-2980736,2.8765233e-05
R-HSA-163685,1.5030054e-05
R-HSA-450531,3.925889e-07
R-HSA-68874,0.00047129966
R-HSA-72766,0.00031354182
R-HSA-5682910,1.3255038e-08
R-HSA-1483249,2.513231e-05
R-HSA-5617833,7.4243464e-05
R-HSA-5619507,1.8090946e-05
R-HSA-2586552,1.9086793e-08
R-HSA-452723,5.4730588e-08
R-HSA-73884,0.00017400928
R-HSA-1500620,2.5023144e-05
R-HSA-382556,2.4864676e-05
R-HSA-3247509,2.4342726e-05
R-HSA-525793,6.2829116e-07
R-HSA-1474228,6.6181155e-06
R-HSA-3000171,6.593524e-05
R-HSA-1181150,0.0
R-HSA-5205685,0.0007209224
R-HSA-1280215,0.0071739
R-HSA-72203,0.00036630902
R-HSA-69239,1.5720165e-06
R-HSA-6794362,3.6093603e-05
R-HSA-8934903,2.8359668e-06
R-HSA-8941237,0.0
R-HSA-5683826,6.45438e-05
R-HSA-71387,0.00027213804
R-HSA-73864,5.975314e-05
R-HSA-194441,3.041438e-05
R-HSA-15869,1.3268613e-06
R-HSA-71291,7.850929e-05
R-HSA-6805567,5.6253164e-05
R-HSA-186712,3.7229147e-06
R-HSA-202733,2.0994487e-06
R-HSA-211000,8.811736e-05
R-HSA-75892,9.969199e-06
R-HSA-9006931,4.2780764e-05
R-HSA-194315,0.00013722364
R-HSA-9006925,2.686456e-05
R-HSA-1592230,6.603592e-05
R-HSA-73886,2.88631e-05
R-HSA-73893,0.003505419
R-HSA-418346,1.5673198e-06
R-HSA-1480926,1.50412025e-05
R-HSA-1268020,0.0012395207
R-HSA-71737,3.015776e-08
R-HSA-112307,5.892967e-07
R-HSA-75072,5.4552797e-06
R-HSA-5576891,0.000121110024
R-HSA-196854,0.0021197693
R-HSA-5223345,3.934608e-06
R-HSA-927802,5.9230697e-06
R-HSA-73857,0.00013707372
R-HSA-8963676,0.0
R-HSA-1566977,0.0
R-HSA-9006934,0.003322305
R-HSA-445355,2.0462601e-05
R-HSA-75205,0.0
R-HSA-5260271,7.5407747e-06
R-HSA-75944,1.0690532e-06
R-HSA-1368108,3.0976933e-06
R-HSA-390522,0.00019313174
R-HSA-8949215,2.2085773e-05
R-HSA-1566948,1.0530688e-06
R-HSA-917937,0.0
R-HSA-1362409,7.5351572e-06
R-HSA-1632852,2.183433e-05
R-HSA-445717,0.0012134772
R-HSA-391160,0.00046870863
R-HSA-8981607,0.0
R-HSA-76002,0.00016054747
R-HSA-5358508,6.7257597e-06
R-HSA-381119,2.979679e-05
R-HSA-5358351,0.00039773312
R-HSA-73942,7.6108755e-09
R-HSA-1280218,0.028735422
R-HSA-977225,4.8539416e-05
R-HSA-2028269,7.629829e-05
R-HSA-69278,0.015793977
R-HSA-5683057,0.00071467116
R-HSA-2173782,4.602743e-06
R-HSA-216083,4.3218756e-06
R-HSA-5423599,2.1057012e-06
R-HSA-5619115,3.9071903e-05
R-HSA-199991,0.00020829905
R-HSA-5668914,3.0294214e-07
R-HSA-69620,0.00015646804
R-HSA-597592,0.038996074
R-HSA-5218859,0.000729065
R-HSA-2262752,0.00034642845
