ind,Cell Cycle,Extracellular matrix organization,DNA Replication,Cellular responses to external stimuli,Hemostasis,Neuronal System,Digestion and absorption,Mitophagy,DNA Repair,Metabolism of proteins,Metabolism,Muscle contraction,Signal Transduction,Cell-Cell communication,Reproduction,Gene expression (Transcription),Circadian Clock,Immune System,Chromatin organization,Disease,Programmed Cell Death,Organelle biogenesis and maintenance,Transport of small molecules,Developmental Biology,Metabolism of RNA,Vesicle-mediated transport
GSM1594221,-0.00037856688,1.051936e-06,-1.1171732e-05,-7.5854637e-06,3.1283048e-06,2.651822e-06,7.569576e-08,1.7735605e-05,8.040598e-05,-0.00090092083,-6.17632e-05,1.1602536e-05,-9.694821e-06,1.1033821e-05,-2.8009468e-09,-5.1345983e-06,7.7138225e-08,0.0045013223,-4.42439e-07,-1.0622325e-05,8.68728e-06,2.2896438e-07,4.05804e-05,0.0011575131,9.373805e-05,5.086287e-06
GSM1594225,-0.00027490983,9.317118e-07,-1.0319972e-05,-7.677416e-06,2.988751e-06,2.7417689e-06,7.2949526e-08,1.7747861e-05,7.650379e-05,-0.00095303904,-6.0394035e-05,6.384826e-06,-4.7694684e-06,1.1091398e-05,3.8309803e-08,-7.665266e-06,7.34121e-08,0.004401409,-4.3057221e-07,-9.88637e-06,6.693398e-06,5.6183313e-07,3.8933824e-05,0.0011111707,8.822589e-05,5.4894667e-06
GSM1594250,-0.00032490396,6.4700566e-07,-9.813032e-06,-7.53665e-06,2.912421e-06,2.8866273e-06,7.294308e-08,1.7477165e-05,7.347064e-05,-0.00097293936,-5.9826576e-05,3.199012e-06,-1.2604329e-05,1.1513322e-05,-1.4286823e-08,-5.5926275e-06,7.838227e-08,0.00446272,-5.8528843e-07,-9.738863e-06,7.737044e-06,7.887756e-07,3.8639013e-05,0.0012327294,9.336244e-05,5.1101315e-06
GSM1594377,-0.0003376868,7.073302e-07,-1.2016666e-05,-7.790281e-06,2.1907867e-06,2.6720506e-06,7.84673e-08,1.7494916e-05,7.855789e-05,-0.00092137884,-5.9630172e-05,8.127743e-06,-9.49002e-06,1.1187724e-05,2.7149552e-08,-6.8643676e-06,7.2179006e-08,0.004459518,-6.013069e-07,-1.1022086e-05,7.3464626e-06,-8.766306e-10,3.5940357e-05,0.00089435646,9.061215e-05,4.9040414e-06
GSM1594438,-0.00044287334,1.4966969e-06,-1.1272148e-05,-7.774087e-06,2.885547e-06,2.494963e-06,7.4330345e-08,1.7208593e-05,7.001596e-05,-0.00093871413,-6.0395585e-05,1.0621364e-05,-2.0052496e-05,1.0976992e-05,3.849346e-08,-6.3228213e-06,7.466081e-08,0.0045241034,-6.3498294e-07,-1.07987735e-05,8.030828e-06,3.6508175e-07,4.2809603e-05,0.0010795539,9.094203e-05,4.659909e-06
GSM1594483,-0.00034928578,9.497219e-07,-1.1541447e-05,-7.683484e-06,2.7917845e-06,2.517519e-06,7.435747e-08,1.6796675e-05,6.937741e-05,-0.0009182946,-5.8667534e-05,1.7696217e-05,-2.0329484e-05,1.1130911e-05,-1.3648997e-08,-7.82204e-06,7.468805e-08,0.0043016714,-5.518427e-07,-1.2403758e-05,7.0571346e-06,-3.2422147e-07,3.47428e-05,0.00075306906,8.740869e-05,4.7301082e-06
GSM1594501,-0.00048939075,9.774429e-07,-1.0509855e-05,-7.5177886e-06,3.0158235e-06,2.5867678e-06,7.5721395e-08,1.6890266e-05,7.462945e-05,-0.00074734207,-6.047094e-05,-6.3513914e-07,-6.664837e-06,1.1594e-05,1.3969161e-08,-5.267577e-06,6.9696824e-08,0.0043295464,-5.3785453e-07,-1.06254665e-05,9.505455e-06,5.6526227e-07,3.9605366e-05,0.0008924075,9.449865e-05,5.020406e-06
GSM1594536,-0.0003913218,7.44133e-07,-1.135002e-05,-7.3696556e-06,2.3630862e-06,2.6028717e-06,7.2972156e-08,1.8335923e-05,8.415414e-05,-0.00078913075,-6.147003e-05,1.4085896e-05,-8.444167e-06,1.0466259e-05,-1.1591252e-08,-5.8773167e-06,6.845624e-08,0.0043973364,-5.8750646e-07,-7.840299e-06,7.0577685e-06,7.1763355e-07,3.0243065e-05,0.0006668483,9.953833e-05,5.5070777e-06
GSM1594576,-0.00035758366,6.4713225e-07,-1.1442752e-05,-7.904039e-06,2.5277047e-06,2.6996247e-06,7.295735e-08,1.7065693e-05,8.2757506e-05,-0.0009732406,-6.0047314e-05,9.969932e-06,-3.0822928e-06,1.0651067e-05,2.0356155e-09,-4.7946182e-06,7.7153196e-08,0.0044730036,-5.8937167e-07,-8.289172e-06,3.4936254e-06,8.752739e-07,3.8758124e-05,0.0009938157,9.427779e-05,4.9163036e-06
GSM1594579,-0.00038394716,1.0653229e-06,-1.1459061e-05,-8.056965e-06,3.2511348e-06,2.6147825e-06,7.846179e-08,1.7610806e-05,7.6122036e-05,-0.0009292546,-6.1137136e-05,1.5785732e-05,-3.5988123e-06,1.1188871e-05,2.9545987e-08,-5.896606e-06,8.2128956e-08,0.004368032,-5.5959276e-07,-1.30923045e-05,8.4205885e-06,4.8452347e-07,3.8780254e-05,0.0010971905,9.512554e-05,4.913289e-06
GSM1594585,-0.00023505131,1.1810633e-06,-1.1506358e-05,-8.086613e-06,2.6372109e-06,2.5462084e-06,7.5697e-08,1.7428652e-05,7.777808e-05,-0.00093250396,-6.064874e-05,2.5115885e-06,-5.593507e-06,1.1538994e-05,2.8171138e-08,-4.9766572e-06,7.838367e-08,0.004380763,-6.50773e-07,-8.216658e-06,3.291061e-06,2.9842545e-07,3.60891e-05,0.0011532748,9.135096e-05,5.230304e-06
GSM1594596,-0.00045814452,7.351903e-07,-1.1637717e-05,-7.4890913e-06,2.2297002e-06,2.6175921e-06,7.0205466e-08,1.8122491e-05,8.273048e-05,-0.00093107036,-6.068046e-05,1.3647814e-05,2.3301552e-06,1.0983508e-05,3.3457235e-09,-4.856223e-06,7.839896e-08,0.0043973457,-4.742838e-07,-1.09629955e-05,7.939717e-06,1.2425863e-07,3.9939878e-05,0.001091362,0.00010171768,5.394661e-06
GSM1594659,-0.00023295803,1.0420512e-06,-9.188202e-06,-7.948627e-06,2.5875154e-06,2.5238796e-06,8.123093e-08,1.7081396e-05,7.0430266e-05,-0.0008624228,-6.0610506e-05,3.0568979e-06,-1.3472634e-05,1.1293897e-05,5.22096e-09,-7.249812e-06,6.4720496e-08,0.0043234527,-6.073381e-07,-1.2769179e-05,1.1988954e-05,2.4789898e-07,3.7358426e-05,0.0007261305,8.410069e-05,4.7697745e-06
GSM1594778,-0.0003826798,1.3085263e-06,-1.0480338e-05,-7.6221086e-06,3.1781192e-06,2.6236216e-06,7.431048e-08,1.6496719e-05,6.921196e-05,-0.0009248871,-5.715313e-05,1.4599612e-05,-2.401484e-05,1.0886646e-05,1.7750615e-08,-5.806556e-06,7.215282e-08,0.00462756,-6.367969e-07,-9.479526e-06,4.0359237e-06,3.2817906e-07,3.684245e-05,0.001222116,9.2097536e-05,4.9195496e-06
GSM1594886,-0.00039283565,8.8477e-07,-1.2332537e-05,-7.763535e-06,3.0040426e-06,2.5420347e-06,7.295039e-08,1.7184353e-05,7.565583e-05,-0.0008682154,-6.22972e-05,3.0604492e-06,-9.743692e-06,1.1428637e-05,6.045806e-11,-7.4071954e-06,7.839012e-08,0.004454134,-5.615363e-07,-1.1625777e-05,9.221102e-06,-1.5119715e-08,3.943901e-05,0.0010801391,9.6709264e-05,5.002101e-06
GSM1594943,-0.0004769407,1.1312732e-06,-1.02519525e-05,-7.890996e-06,3.3623303e-06,2.6229864e-06,7.845609e-08,1.6280814e-05,5.8436395e-05,-0.0008526445,-6.266604e-05,1.0034671e-05,-1.2995095e-05,1.1779502e-05,3.7443698e-08,-7.346991e-06,7.465727e-08,0.0045514037,-6.2106324e-07,-1.00937095e-05,1.2929788e-05,1.2862715e-07,4.2039333e-05,0.0010596304,9.35127e-05,4.972126e-06
