,fanin,fanout,degree
R-HSA-1640170,4.0,1.0,5.0
R-HSA-1474244,9.0,1.0,10.0
R-HSA-69306,2.0,1.0,3.0
R-HSA-8953897,3.0,1.0,4.0
R-HSA-109582,7.0,1.0,8.0
R-HSA-112316,4.0,1.0,5.0
R-HSA-8963743,2.0,1.0,3.0
R-HSA-5205647,2.0,1.0,3.0
R-HSA-73894,7.0,1.0,8.0
R-HSA-392499,11.0,1.0,12.0
R-HSA-1430728,16.0,1.0,17.0
R-HSA-397014,3.0,1.0,4.0
R-HSA-162582,16.0,1.0,17.0
R-HSA-1500931,3.0,1.0,4.0
R-HSA-1474165,2.0,1.0,3.0
R-HSA-74160,6.0,1.0,7.0
R-HSA-400253,3.0,1.0,4.0
R-HSA-168256,3.0,1.0,4.0
R-HSA-4839726,1.0,1.0,2.0
R-HSA-1643685,8.0,1.0,9.0
R-HSA-5357801,2.0,1.0,3.0
R-HSA-1852241,2.0,1.0,3.0
R-HSA-382551,10.0,1.0,11.0
R-HSA-1266738,9.0,1.0,10.0
R-HSA-8953854,11.0,1.0,12.0
R-HSA-5653656,2.0,1.0,3.0
