,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
TBX19,0.0,0.0,0.0,-0.10343876,0.23665415
CDCP1,0.0,0.0,0.0,-0.10343876,0.23665415
NMD3,0.0,0.0,0.0,-0.10343876,0.23665415
PLCB1,1.5373943e-06,7.0,1.5373943e-06,-0.10248309,-1.0029925
KCNV2,2.013526e-09,1.0,2.013526e-09,-0.103437506,0.059458163
SMC2,2.1793758e-05,2.0,2.1793758e-05,-0.08989138,-0.10736267
SLC4A5,5.2685306e-07,1.0,5.2685306e-07,-0.10311125,0.059708066
RAP2B,8.811885e-06,1.0,8.811885e-06,-0.097961135,0.06365298
TRMT61B,2.0617985e-05,1.0,2.0617985e-05,-0.09062227,0.06927445
CYP4F3,1.6004307e-05,4.0,1.6004307e-05,-0.093490206,-0.46451324
MEF2D,9.3072383e-10,1.0,9.3072383e-10,-0.103438176,0.05945765
H2AFV,8.148834e-05,21.0,8.148834e-05,-0.05278422,-3.4456813
TRABD,0.0,0.0,0.0,-0.10343876,0.23665415
RBM43,0.0,0.0,0.0,-0.10343876,0.23665415
SAMD4B,0.0,0.0,0.0,-0.10343876,0.23665415
FCGRT,0.0,0.0,0.0,-0.10343876,0.23665415
SPOP,0.0,0.0,0.0,-0.10343876,0.23665415
FHIT,0.0,0.0,0.0,-0.10343876,0.23665415
BCL11B,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF84,0.0,0.0,0.0,-0.10343876,0.23665415
DTWD2,0.0,0.0,0.0,-0.10343876,0.23665415
TRAPPC1,0.00016875527,3.0,0.00016875527,0.001462385,-0.214584
IDE,0.0005656071,1.0,0.0005656071,0.24815221,0.32877073
THAP11,0.0,0.0,0.0,-0.10343876,0.23665415
DSTN,0.0,0.0,0.0,-0.10343876,0.23665415
PRICKLE1,2.757297e-08,1.0,2.757297e-08,-0.10342161,0.059470337
ATRIP,8.530775e-06,6.0,8.530775e-06,-0.09813588,-0.82246566
IL12RB2,3.8349938e-07,2.0,3.8349938e-07,-0.10320036,-0.11755717
CCDC24,0.0,0.0,0.0,-0.10343876,0.23665415
UPF2,1.9366864e-06,2.0,1.9366864e-06,-0.10223488,-0.116817616
DALRD3,0.0,0.0,0.0,-0.10343876,0.23665415
SUN2,1.7057933e-05,1.0,1.7057933e-05,-0.092835255,0.06757933
TXNL4B,0.0,0.0,0.0,-0.10343876,0.23665415
MBIP,5.3901404e-06,1.0,5.3901404e-06,-0.10008815,0.062023725
SECISBP2L,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF324B,0.0,0.0,0.0,-0.10343876,0.23665415
CAMK2B,3.2168598e-06,3.0,3.2168598e-06,-0.101439096,-0.29340503
AZU1,4.0661114e-05,1.0,4.0661114e-05,-0.078163125,0.07881798
SKIL,1.2440915e-07,1.0,1.2440915e-07,-0.10336142,0.059516445
DMAP1,4.3298876e-08,1.0,4.3298876e-08,-0.103411846,0.05947782
LRIG2,0.0,0.0,0.0,-0.10343876,0.23665415
PPP2R1A,0.0007450063,40.0,1.8625158e-05,-0.09186104,-6.49649
ZNF281,0.0,0.0,0.0,-0.10343876,0.23665415
RNASEK,0.0,0.0,0.0,-0.10343876,0.23665415
MOGAT3,1.2036153e-06,1.0,1.2036153e-06,-0.10269056,0.060030308
EID2,0.0,0.0,0.0,-0.10343876,0.23665415
SOX30,0.0,0.0,0.0,-0.10343876,0.23665415
ESCO1,9.617955e-08,1.0,9.617955e-08,-0.103378974,0.059503
HARBI1,0.0,0.0,0.0,-0.10343876,0.23665415
KATNBL1,0.0,0.0,0.0,-0.10343876,0.23665415
HGD,8.132877e-07,1.0,8.132877e-07,-0.1029332,0.059844453
VPS54,1.7738399e-05,1.0,1.7738399e-05,-0.09241226,0.06790333
CABP7,0.0,0.0,0.0,-0.10343876,0.23665415
TTC14,0.0,0.0,0.0,-0.10343876,0.23665415
BLCAP,0.0,0.0,0.0,-0.10343876,0.23665415
ABL1,1.83855e-05,8.0,1.83855e-05,-0.092010014,-1.1721672
VEZF1,0.0,0.0,0.0,-0.10343876,0.23665415
ITGA6,1.0392018e-05,5.0,1.0392018e-05,-0.0969789,-0.6443825
BCAT1,0.0,0.0,0.0,-0.10343876,0.23665415
EIF5A,6.6623954e-08,1.0,6.6623954e-08,-0.10339735,0.05948893
ERCC2,2.9552345e-06,21.0,2.9552345e-06,-0.101601735,-3.4830747
DPH6,2.45065e-07,1.0,2.45065e-07,-0.103286415,0.0595739
ATG13,1.3165872e-08,1.0,1.3165872e-08,-0.10343057,0.05946348
ABHD14A,0.0,0.0,0.0,-0.10343876,0.23665415
DIP2A,0.0,0.0,0.0,-0.10343876,0.23665415
RNMT,3.6966212e-05,3.0,3.6966212e-05,-0.08045993,-0.2773353
XBP1,1.8093724e-05,1.0,1.8093724e-05,-0.09219139,0.06807252
FARSB,1.2435416e-05,1.0,1.2435416e-05,-0.09570869,0.06537832
SATB1,0.0004322636,1.0,0.0004322636,0.16526362,0.2652793
SETD6,8.5933834e-08,1.0,8.5933834e-08,-0.10338534,0.05949812
CCDC84,0.0,0.0,0.0,-0.10343876,0.23665415
TMEM174,0.0,0.0,0.0,-0.10343876,0.23665415
NKIRAS1,0.0,0.0,0.0,-0.10343876,0.23665415
SPIRE1,0.0,0.0,0.0,-0.10343876,0.23665415
RABL3,0.0,0.0,0.0,-0.10343876,0.23665415
APH1B,2.6715757e-05,10.0,2.6715757e-05,-0.086831786,-1.5225947
GEN1,8.2337107e-07,1.0,8.2337107e-07,-0.10292693,0.059849255
LGALS3,8.359683e-05,4.0,8.359683e-05,-0.051473547,-0.4323291
TUBGCP6,0.00029226765,2.0,0.00029226765,0.078239776,0.021423329
ZNF350,8.280031e-05,1.0,8.280031e-05,-0.05196868,0.09888253
EXOSC10,6.0922895e-07,1.0,6.0922895e-07,-0.103060044,0.05974729
UBQLN1,8.061498e-09,1.0,8.061498e-09,-0.10343374,0.059461042
EMB,6.898198e-11,1.0,6.898198e-11,-0.10343871,0.059457246
MLH1,1.35941e-05,6.0,1.35941e-05,-0.094988436,-0.8200547
WDR75,1.7034552e-06,2.0,1.7034552e-06,-0.10237985,-0.11692866
ZNF415,0.0,0.0,0.0,-0.10343876,0.23665415
CELA3B,0.0,0.0,0.0,-0.10343876,0.23665415
ERMP1,0.0,0.0,0.0,-0.10343876,0.23665415
CDK5R1,1.0417917e-05,4.0,1.0417917e-05,-0.0969628,-0.46717322
GCSH,2.3548571e-08,1.0,2.3548571e-08,-0.10342412,0.05946842
PCYOX1L,7.939214e-08,1.0,7.939214e-08,-0.103389405,0.059495013
BEND5,0.0,0.0,0.0,-0.10343876,0.23665415
TSNAX,1.1317356e-09,1.0,1.1317356e-09,-0.10343805,0.05945775
TUFT1,0.0,0.0,0.0,-0.10343876,0.23665415
GIMAP5,0.0,0.0,0.0,-0.10343876,0.23665415
GEMIN2,2.7837202e-06,1.0,2.7837202e-06,-0.101708345,0.06078268
DEFB116,2.840822e-08,1.0,2.840822e-08,-0.1034211,0.05947073
JAM3,9.4284115e-07,1.0,9.4284115e-07,-0.102852665,0.059906144
CEP57,3.213062e-05,5.0,3.213062e-05,-0.083465815,-0.6340317
UCHL1,2.6686928e-05,1.0,2.6686928e-05,-0.086849704,0.07216418
VPS53,5.503805e-06,1.0,5.503805e-06,-0.100017495,0.062077846
ZBTB9,0.0,0.0,0.0,-0.10343876,0.23665415
MARCKSL1,0.0,0.0,0.0,-0.10343876,0.23665415
RRP15,0.0,0.0,0.0,-0.10343876,0.23665415
PLOD3,0.0,0.0,0.0,-0.10343876,0.23665415
FAM210A,0.0,0.0,0.0,-0.10343876,0.23665415
FLVCR2,0.0,0.0,0.0,-0.10343876,0.23665415
ACVR2A,3.984194e-07,2.0,3.984194e-07,-0.10319109,-0.11755006
FRMD4B,0.0,0.0,0.0,-0.10343876,0.23665415
CAMKMT,3.100258e-08,1.0,3.100258e-08,-0.10341949,0.059471965
MTX2,4.3436674e-05,2.0,4.3436674e-05,-0.07643778,-0.09705741
PPP1R9B,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF181,0.0,0.0,0.0,-0.10343876,0.23665415
PFN1,1.9127795e-06,2.0,1.9127795e-06,-0.10224974,-0.116829
RPL15,9.979945e-05,12.0,9.979945e-05,-0.041401725,-1.8421898
PPM1K,0.0,0.0,0.0,-0.10343876,0.23665415
SCP2,3.0293372e-11,4.0,3.0293372e-11,-0.103438735,-0.4721337
PABPC4,0.0,0.0,0.0,-0.10343876,0.23665415
ANKMY1,0.0,0.0,0.0,-0.10343876,0.23665415
COMMD6,1.1508132e-05,1.0,1.1508132e-05,-0.096285105,0.0649368
POLR2B,3.1195196e-07,23.0,3.1195196e-07,-0.10324484,-3.8387272
PSEN2,1.2731594e-05,10.0,1.2731594e-05,-0.09552459,-1.5292532
SMARCE1,3.2582108e-08,2.0,3.2582108e-08,-0.1034185,-0.11772425
RAF1,0.000110605564,11.0,0.000110605564,-0.03468446,-1.6598476
RBM12,0.0,0.0,0.0,-0.10343876,0.23665415
PALD1,0.0,0.0,0.0,-0.10343876,0.23665415
KDM8,9.482205e-06,1.0,9.482205e-06,-0.097544454,0.06397215
ARGLU1,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF425,0.0,0.0,0.0,-0.10343876,0.23665415
SEPSECS,3.7479195e-10,1.0,3.7479195e-10,-0.10343852,0.059457384
FANCG,2.9373814e-05,1.0,2.9373814e-05,-0.08517949,0.07344353
MCM7,2.2781185e-05,4.0,2.2781185e-05,-0.08927759,-0.46128643
CREB3,6.4704153e-09,1.0,6.4704153e-09,-0.10343473,0.059460294
MEGF9,0.0,0.0,0.0,-0.10343876,0.23665415
RRAS2,0.0,0.0,0.0,-0.10343876,0.23665415
GABARAPL1,8.453155e-07,1.0,8.453155e-07,-0.10291329,0.059859708
BLOC1S5,0.0,0.0,0.0,-0.10343876,0.23665415
GAMT,6.4909873e-06,1.0,6.4909873e-06,-0.09940385,0.062547885
IVD,0.0,0.0,0.0,-0.10343876,0.23665415
C1RL,0.0,0.0,0.0,-0.10343876,0.23665415
MED7,3.996541e-07,1.0,3.996541e-07,-0.103190325,0.0596475
CDK20,0.0,0.0,0.0,-0.10343876,0.23665415
SH3YL1,0.0,0.0,0.0,-0.10343876,0.23665415
DTWD1,0.0,0.0,0.0,-0.10343876,0.23665415
SFT2D2,0.0,0.0,0.0,-0.10343876,0.23665415
RPLP0,3.0303327e-05,13.0,3.0303327e-05,-0.08460169,-2.0524774
PLSCR4,0.0,0.0,0.0,-0.10343876,0.23665415
SLC20A1,0.0,0.0,0.0,-0.10343876,0.23665415
CSTB,9.061643e-05,1.0,9.061643e-05,-0.047110047,0.10260417
ZNF518A,0.0,0.0,0.0,-0.10343876,0.23665415
RNF167,0.0,0.0,0.0,-0.10343876,0.23665415
SMAD4,0.0073465654,9.0,0.0073465654,4.4633107,2.1399448
NR2C2,5.5007163e-08,1.0,5.5007163e-08,-0.10340456,0.059483398
WLS,2.4572522e-08,1.0,2.4572522e-08,-0.103423476,0.05946891
TMEM14C,0.0,0.0,0.0,-0.10343876,0.23665415
CDKL1,0.0,0.0,0.0,-0.10343876,0.23665415
ARF4,6.3799926e-05,3.0,6.3799926e-05,-0.06377964,-0.26455843
DCTN4,7.1023726e-07,3.0,7.1023726e-07,-0.10299726,-0.29459855
CCNY,0.0,0.0,0.0,-0.10343876,0.23665415
SYDE2,1.2813922e-09,1.0,1.2813922e-09,-0.10343796,0.059457816
ARHGAP25,7.5399624e-11,1.0,7.5399624e-11,-0.10343871,0.059457246
COBL,0.0,0.0,0.0,-0.10343876,0.23665415
CEP170,0.0,0.0,0.0,-0.10343876,0.23665415
PTPRU,0.0,0.0,0.0,-0.10343876,0.23665415
DCPS,0.0014244899,1.0,0.0014244899,0.7820483,0.7377274
TOMM34,0.0,0.0,0.0,-0.10343876,0.23665415
PTK6,3.34272e-07,11.0,3.34272e-07,-0.10323097,-1.7123531
PPP2R2D,5.960921e-10,1.0,5.960921e-10,-0.103438385,0.059457492
MTRF1L,2.026129e-11,1.0,2.026129e-11,-0.10343874,0.059457213
PEX14,6.5469607e-07,1.0,6.5469607e-07,-0.103031784,0.059768934
TRAPPC12,1.4415504e-08,1.0,1.4415504e-08,-0.10342979,0.05946407
RTKN2,0.0,0.0,0.0,-0.10343876,0.23665415
PRR4,0.0,0.0,0.0,-0.10343876,0.23665415
RGPD5,0.0,0.0,0.0,-0.10343876,0.23665415
HRAS,4.787387e-05,39.0,1.2275351e-06,-0.10267569,-6.6512327
DDIT4L,0.0,0.0,0.0,-0.10343876,0.23665415
NOP9,0.0,0.0,0.0,-0.10343876,0.23665415
LPCAT3,6.082276e-08,3.0,6.082276e-08,-0.103400946,-0.29490778
MAP1LC3B,7.258442e-05,4.0,7.258442e-05,-0.058319047,-0.43757266
