ind,Metabolism of RNA,Signal Transduction,Neuronal System,Organelle biogenesis and maintenance,DNA Repair,Chromatin organization,Hemostasis,Transport of small molecules,Cell-Cell communication,Metabolism of proteins,Circadian Clock,Immune System,Gene expression (Transcription),Developmental Biology,Muscle contraction,DNA Replication,Reproduction,Metabolism,Cellular responses to external stimuli,Programmed Cell Death,Extracellular matrix organization,Cell Cycle,Disease,Mitophagy,Digestion and absorption,Vesicle-mediated transport
GSM1594264,-4.5286466e-05,-5.1564344e-05,-3.6318477e-05,1.7150492e-06,-1.7117503e-06,-2.648792e-06,-5.9630433e-06,9.993729e-05,-5.763846e-12,7.805449e-05,-2.6691924e-07,-7.5771546e-05,7.600656e-06,-2.6084214e-08,-4.366147e-06,7.3960547e-07,1.00604675e-05,-1.6697054e-06,-2.7805973e-07,-7.0359442e-06,6.3291634e-05,-3.1318144e-05,-1.4591274e-06,1.4008762e-06,-2.1562255e-06,1.429407e-05
GSM1594347,-4.5977245e-05,-1.0947104e-05,-3.286022e-05,1.4144096e-06,-3.249916e-06,-2.854029e-06,-6.0486254e-06,0.00010644506,-2.9293734e-11,7.337511e-05,-2.4043956e-07,-8.815349e-05,7.534059e-06,-2.955347e-08,-4.087363e-06,7.642156e-07,1.2364323e-05,5.597353e-06,-2.2842657e-07,-6.4490487e-06,6.759124e-05,-2.9631192e-05,-1.845225e-06,8.127163e-07,-1.7176014e-06,3.0354504e-06
GSM1594358,-4.620506e-05,-3.6749785e-05,-3.355892e-05,1.4875426e-06,-2.590438e-06,-3.039334e-06,-5.0509143e-06,0.00010323382,-2.7442583e-11,8.004612e-05,-2.3154992e-07,-8.8337554e-05,7.6399065e-06,-1.1740148e-09,-4.2286374e-06,7.3776556e-07,1.0771307e-05,4.0289368e-07,1.4702597e-08,-6.4348765e-06,6.252805e-05,-2.6513631e-05,-1.1236469e-06,1.2336473e-06,-2.1906817e-06,7.0029446e-06
GSM1594483,-4.709637e-05,-4.968839e-05,-3.3339955e-05,1.6283544e-06,-4.329364e-06,-2.9403404e-06,-4.9235045e-06,9.830659e-05,-2.2625742e-11,8.470326e-05,-2.6172384e-07,-8.710867e-05,7.4678323e-06,-2.4110872e-08,-3.8754415e-06,7.690178e-07,1.0852796e-05,7.063283e-06,2.9234016e-07,-6.7157325e-06,6.345611e-05,-2.9395063e-05,-5.6673224e-07,8.4427774e-07,-1.9716772e-06,4.6157957e-06
GSM1594534,-4.4163033e-05,-4.081069e-05,-3.4220695e-05,1.7689422e-06,-2.9021558e-06,-2.8124596e-06,-5.2201012e-06,0.00010055499,-3.7905425e-11,7.5861986e-05,-2.6614262e-07,-8.789474e-05,7.4244526e-06,-3.0139006e-08,-4.1928247e-06,7.797649e-07,1.0724563e-05,-3.401847e-07,1.0540007e-07,-6.9174057e-06,6.1886094e-05,-2.902342e-05,-8.0840186e-07,1.0856202e-06,-2.4464496e-06,5.924831e-06
GSM1594581,-4.44508e-05,-4.4157514e-05,-3.6003974e-05,1.6106511e-06,-2.3420807e-06,-2.927331e-06,-5.3410567e-06,9.644607e-05,-1.5565329e-12,7.414374e-05,-2.7501062e-07,-7.990727e-05,7.4206e-06,2.6790994e-09,-4.1459252e-06,7.3514275e-07,1.0005875e-05,-2.158762e-07,-2.6076253e-07,-6.5178456e-06,6.125513e-05,-2.8350487e-05,-6.389795e-07,1.1173851e-06,-1.9829813e-06,5.2374226e-06
GSM1594582,-4.4894823e-05,-4.581403e-05,-3.677998e-05,1.7159738e-06,-2.0519678e-06,-2.9131427e-06,-5.579856e-06,9.884641e-05,-5.2113352e-11,8.430133e-05,-2.6527056e-07,-7.535928e-05,7.7843915e-06,-2.7178588e-09,-4.2497527e-06,7.3657634e-07,1.1114834e-05,1.3972096e-06,-3.9882568e-07,-6.475083e-06,6.22718e-05,-2.8989627e-05,-6.4564864e-07,1.7576484e-06,-2.2411539e-06,9.882589e-06
GSM1594583,-4.637501e-05,-6.1827865e-05,-3.5580186e-05,1.5876551e-06,-3.5225228e-06,-2.9745556e-06,-5.949059e-06,0.00010123396,-6.304338e-11,7.111745e-05,-2.5527766e-07,-8.483526e-05,7.3076067e-06,-1.4197664e-08,-3.991759e-06,7.0804964e-07,8.769832e-06,-4.063505e-06,-4.451316e-07,-6.3758284e-06,6.1281586e-05,-3.0097377e-05,-1.6035897e-06,1.9917231e-06,-2.1819558e-06,9.57716e-06
GSM1594586,-4.6949688e-05,-7.888801e-05,-3.6244473e-05,1.7152565e-06,-2.4898297e-06,-2.7810643e-06,-5.6405734e-06,9.8319535e-05,-2.5791052e-11,7.8783225e-05,-2.673278e-07,-8.203281e-05,7.680007e-06,9.467686e-09,-4.1687404e-06,7.430269e-07,1.01570595e-05,-1.3632255e-06,-2.9457675e-07,-6.645307e-06,6.118032e-05,-3.179767e-05,-1.8539822e-06,1.901616e-06,-2.083206e-06,1.292526e-05
GSM1594688,-4.5755096e-05,-7.633709e-05,-3.3572935e-05,1.6189351e-06,-3.5817218e-06,-2.2995011e-06,-5.9666913e-06,0.00011082389,-3.4308313e-11,7.4403986e-05,-2.6859777e-07,-8.343486e-05,7.693432e-06,-9.251134e-09,-4.1931785e-06,7.867554e-07,1.1720967e-05,7.3177296e-07,-1.171445e-07,-6.639809e-06,6.10094e-05,-2.8714652e-05,-2.1762876e-06,8.4944395e-07,-2.3832624e-06,6.513957e-06
