,coef
R-HSA-446193,0.0
R-HSA-5627117,0.00011575407
R-HSA-2408550,5.3814874e-06
R-HSA-380615,1.4028815e-08
R-HSA-5619053,0.0
R-HSA-162791,2.1640892e-05
R-HSA-5579021,0.0
R-HSA-156827,4.0979587e-05
R-HSA-140180,7.494574e-11
R-HSA-8937144,1.2563644e-06
R-HSA-1538133,7.849547e-05
R-HSA-429947,0.00012286392
R-HSA-389977,3.474308e-05
R-HSA-114608,3.56567e-06
R-HSA-936440,1.07153e-05
R-HSA-2029481,0.0003360287
R-HSA-1299344,0.0
R-HSA-3560792,0.0
R-HSA-111453,1.5014593e-06
R-HSA-350562,1.3713782e-07
R-HSA-5627123,5.278244e-09
R-HSA-8849932,8.374129e-09
R-HSA-77595,7.818663e-07
R-HSA-156588,0.0
R-HSA-1251932,8.4952444e-07
R-HSA-5340588,1.82442e-07
R-HSA-194840,1.0283474e-06
R-HSA-5603027,1.6236904e-06
R-HSA-4717374,0.0
R-HSA-8878171,9.5680814e-05
R-HSA-5609976,0.0
R-HSA-373756,0.0
R-HSA-880009,4.5930625e-07
R-HSA-1592389,6.151259e-06
R-HSA-5619077,0.0
R-HSA-5357786,5.9801714e-08
R-HSA-5619098,0.0
R-HSA-5579022,0.0
R-HSA-5602636,8.548616e-08
R-HSA-2029485,0.002007241
R-HSA-168164,4.6485584e-05
R-HSA-5655799,0.0
R-HSA-3238698,1.0706216e-10
R-HSA-112126,1.3985076e-06
R-HSA-5689603,0.0001868942
R-HSA-187037,1.068367e-05
R-HSA-912446,0.00060033484
R-HSA-156590,1.7736794e-06
R-HSA-8949613,3.1964266e-06
R-HSA-110320,9.236174e-09
R-HSA-212300,2.8209977e-05
R-HSA-4085023,0.0
R-HSA-421837,0.00055912836
R-HSA-5687583,0.0
R-HSA-977347,1.3811275e-07
R-HSA-5619072,0.0
R-HSA-9010642,3.9542043e-05
R-HSA-428890,0.00015155706
R-HSA-5655291,0.0
R-HSA-379401,2.842032e-09
R-HSA-210747,0.0
R-HSA-448424,2.1319622e-05
R-HSA-74751,4.6988175e-06
R-HSA-5619110,2.1137569e-06
R-HSA-210993,3.58342e-08
R-HSA-112409,7.229209e-09
R-HSA-5579030,0.0
R-HSA-1793185,0.0005589845
R-HSA-5619089,0.0
R-HSA-181438,0.0
R-HSA-156587,2.2469105e-06
R-HSA-5678420,0.0
R-HSA-113418,1.327012e-05
R-HSA-162699,4.6660578e-08
R-HSA-5619048,0.0
R-HSA-75158,5.1270526e-06
R-HSA-3560783,7.113289e-10
R-HSA-164378,6.425031e-05
R-HSA-75102,3.0242825e-07
R-HSA-2173793,0.00020902121
R-HSA-418597,7.4020863e-07
R-HSA-2022377,3.0308317e-06
R-HSA-877300,1.4795719e-08
R-HSA-168638,0.0014068059
R-HSA-176974,1.4202802e-05
R-HSA-5659735,0.0
R-HSA-5339717,1.5602809e-06
R-HSA-4086400,2.005851e-05
R-HSA-392170,1.9284919e-08
R-HSA-69275,0.0022619239
R-HSA-427652,9.023548e-10
R-HSA-5679001,0.0
R-HSA-5358493,1.12975695e-05
R-HSA-983189,3.0529475e-06
R-HSA-4570571,0.0
