ind,DNA Replication,DNA Repair,Disease,Cellular responses to external stimuli,Neuronal System,Digestion and absorption,Organelle biogenesis and maintenance,Developmental Biology,Hemostasis,Reproduction,Chromatin organization,Gene expression (Transcription),Transport of small molecules,Mitophagy,Programmed Cell Death,Extracellular matrix organization,Vesicle-mediated transport,Cell-Cell communication,Signal Transduction,Metabolism of proteins,Cell Cycle,Metabolism of RNA,Immune System,Metabolism,Muscle contraction,Circadian Clock
GSM1594221,-2.7160306e-06,5.9395003e-05,5.8961356e-05,-5.6291196e-07,8.6339355e-07,-6.2018795e-09,-6.3787356e-06,-0.00011704019,-2.3367981e-07,8.0286384e-07,-4.680354e-06,-5.1911273e-05,1.252546e-07,1.3525425e-05,-4.8373545e-07,-8.2914926e-07,-1.5990643e-05,3.6534977e-06,5.1021714e-05,-1.0594317e-05,7.280833e-05,-8.719273e-05,-8.493015e-06,-8.495068e-05,0.00013578957,-1.1384419e-06
GSM1594253,-2.7362662e-06,6.183907e-05,6.51246e-05,-5.676698e-07,9.0525214e-07,-5.8157132e-09,-6.276836e-06,-0.00011205134,-2.4839207e-07,8.024384e-07,-5.0059066e-06,-5.1910993e-05,1.3814595e-07,1.3084023e-05,-5.119704e-07,-1.0874999e-06,-2.0856418e-05,3.7396933e-06,5.1246443e-05,-1.2668581e-05,6.559265e-05,-9.442243e-05,-1.7517053e-05,-8.398548e-05,0.00012895356,-1.1357881e-06
GSM1594254,-2.635059e-06,6.297657e-05,0.00010302767,-5.4571086e-07,8.257746e-07,-4.9166893e-09,-6.4553765e-06,-0.00012543892,-2.2464809e-07,8.0289436e-07,-5.034363e-06,-5.174909e-05,1.2939739e-07,1.3826451e-05,-6.123279e-07,-1.4214908e-06,-1.9986916e-05,3.5495966e-06,5.09247e-05,8.453638e-06,6.845336e-05,-9.244787e-05,-3.2956465e-05,-9.076074e-05,0.00012174557,-1.2892801e-06
GSM1594268,-2.7001715e-06,5.895401e-05,0.000108349224,-5.8938394e-07,9.4781035e-07,-6.960681e-09,-6.705213e-06,-7.645584e-05,-2.7857195e-07,8.134278e-07,-4.4353988e-06,-5.052447e-05,1.4577144e-07,1.18955595e-05,-4.144355e-07,-1.3246064e-06,-2.7408072e-05,3.5628382e-06,4.983996e-05,-2.8539129e-05,6.89928e-05,-8.362136e-05,-5.5517507e-06,-8.356756e-05,0.00013732079,-1.0499942e-06
GSM1594346,-2.8471222e-06,5.9925605e-05,5.2860905e-05,-5.614379e-07,8.8087836e-07,-7.1884023e-09,-6.8611e-06,-9.311006e-05,-2.6694892e-07,8.5245665e-07,-4.7712538e-06,-5.3295997e-05,1.2861229e-07,1.2920175e-05,-4.839417e-07,-7.7735797e-07,-2.1790964e-05,3.832901e-06,5.0086073e-05,8.156503e-06,6.733477e-05,-7.87014e-05,-7.200093e-06,-7.540294e-05,0.0001429811,-1.187262e-06
GSM1594395,-2.9180103e-06,5.9162972e-05,8.166373e-05,-5.6196234e-07,8.7939617e-07,-6.6670203e-09,-6.7593696e-06,-0.00011548011,-2.4667526e-07,8.1980784e-07,-4.779848e-06,-5.2884898e-05,1.2812494e-07,1.3068372e-05,-5.35695e-07,-8.5990274e-07,-2.282207e-05,3.873939e-06,5.2051924e-05,-1.729836e-05,6.206752e-05,-8.985026e-05,-3.1187087e-06,-7.445318e-05,0.00013720914,-1.123054e-06
GSM1594554,-2.7978924e-06,6.1765815e-05,7.068844e-05,-5.7726487e-07,9.2601607e-07,-5.1047597e-09,-6.869171e-06,-9.1985516e-05,-2.6969195e-07,8.4152083e-07,-5.1601824e-06,-5.15553e-05,1.2718522e-07,1.21639605e-05,-5.4880684e-07,-1.0389082e-06,-1.9240775e-05,3.7211528e-06,4.873497e-05,-5.204154e-07,7.659363e-05,-8.469573e-05,-1.3946802e-05,-9.685161e-05,0.00013676923,-1.0901978e-06
GSM1594562,-2.4964818e-06,6.209063e-05,5.022912e-05,-5.915474e-07,8.999667e-07,-5.108877e-09,-6.2568106e-06,-7.938672e-05,-2.7488568e-07,7.7534827e-07,-5.416406e-06,-5.0507228e-05,1.3204401e-07,1.3278668e-05,-4.926288e-07,-1.1796104e-06,-1.5423771e-05,3.7352697e-06,4.8070637e-05,-3.0548443e-05,8.928642e-05,-9.742307e-05,-1.4995162e-05,-8.400293e-05,0.00014093767,-9.466662e-07
GSM1594587,-2.492211e-06,5.8546284e-05,0.00010981509,-5.7055735e-07,8.6494606e-07,-5.8464424e-09,-7.078791e-06,-0.00012707006,-2.4322534e-07,7.934493e-07,-4.696503e-06,-5.111219e-05,1.2953458e-07,1.3648146e-05,-5.052606e-07,-7.770935e-07,-1.7435552e-05,3.870276e-06,5.1700623e-05,1.03032535e-05,7.404151e-05,-8.33708e-05,3.3830233e-06,-9.075287e-05,0.00013161296,-1.1421494e-06
GSM1594590,-2.8280133e-06,6.221008e-05,7.39142e-05,-5.737843e-07,8.9191235e-07,-5.7265894e-09,-6.7327755e-06,-0.00011834859,-2.348466e-07,8.503613e-07,-4.9088617e-06,-5.321127e-05,1.4268501e-07,1.4354569e-05,-6.2223233e-07,-1.1008118e-06,-1.915858e-05,3.7279333e-06,5.3317443e-05,-8.005128e-06,6.477079e-05,-8.559899e-05,-3.3315497e-05,-8.704464e-05,0.0001319864,-1.2300349e-06
GSM1594639,-2.6246214e-06,5.2838797e-05,8.374237e-05,-5.830527e-07,9.0942837e-07,-5.4715965e-09,-6.867242e-06,-5.658188e-05,-2.8236508e-07,8.0905926e-07,-4.0887903e-06,-5.2287025e-05,1.15787884e-07,1.1287332e-05,-4.1668238e-07,-1.2014211e-06,-1.9114012e-05,3.3561648e-06,5.0044488e-05,-1.7567894e-05,8.041698e-05,-8.541557e-05,1.7291371e-05,-8.645236e-05,0.00013031521,-8.988001e-07
GSM1594808,-2.7644037e-06,5.752085e-05,8.7199565e-05,-5.556783e-07,9.26422e-07,-5.9800143e-09,-7.007119e-06,-0.00010165638,-2.5105783e-07,8.0664523e-07,-4.6755245e-06,-5.3464657e-05,1.1634941e-07,1.3640121e-05,-5.2414623e-07,-9.4230285e-07,-1.5334012e-05,3.9073157e-06,5.0910257e-05,-5.3986378e-06,7.777332e-05,-9.233938e-05,-1.6889075e-05,-7.809155e-05,0.00012703546,-1.1920679e-06
GSM1594858,-2.9679884e-06,5.7228088e-05,7.940299e-05,-5.6995856e-07,9.2028387e-07,-5.610358e-09,-6.726825e-06,-9.180869e-05,-2.4931148e-07,8.1051604e-07,-5.087508e-06,-4.9734314e-05,1.4206562e-07,1.2868077e-05,-3.215246e-07,-9.4382125e-07,-2.6004118e-05,3.6936137e-06,4.7458005e-05,-7.1115123e-06,6.636481e-05,-8.695849e-05,3.6783895e-06,-8.519098e-05,0.00012774007,-9.939567e-07
