,degree,fanout,fanin
ARL5B,0.0,0.0,1.0
UBE2D2,10.0,10.0,1.0
PLCXD1,0.0,0.0,1.0
IKZF5,0.0,0.0,1.0
PRKAB1,6.0,6.0,1.0
CT47A1,0.0,0.0,1.0
CETN2,8.0,8.0,1.0
DCTN6,3.0,3.0,1.0
DNM1L,0.0,0.0,1.0
COMMD3,2.0,2.0,1.0
TP53I3,1.0,1.0,1.0
CCNYL1,0.0,0.0,1.0
STT3A,0.0,0.0,1.0
PEG3,0.0,0.0,1.0
TYSND1,1.0,1.0,1.0
TP53BP2,3.0,3.0,1.0
MLLT11,0.0,0.0,1.0
HADHA,2.0,2.0,1.0
OCIAD1,0.0,0.0,1.0
MPP7,0.0,0.0,1.0
RNASEH2C,0.0,0.0,1.0
CCDC88C,1.0,1.0,1.0
GFM2,1.0,1.0,1.0
TCHP,0.0,0.0,1.0
TOB2,0.0,0.0,1.0
DIABLO,2.0,2.0,1.0
JUN,12.0,12.0,1.0
RNF113A,0.0,0.0,1.0
PHLDB1,0.0,0.0,1.0
GIT2,0.0,0.0,1.0
TOR1A,1.0,1.0,1.0
NRSN2,0.0,0.0,1.0
YOD1,1.0,1.0,1.0
GOLGA7B,0.0,0.0,1.0
DMXL2,0.0,0.0,1.0
RAVER1,0.0,0.0,1.0
BOLA1,0.0,0.0,1.0
RELL2,0.0,0.0,1.0
ERG,0.0,0.0,1.0
NACC1,0.0,0.0,1.0
POSTN,0.0,0.0,1.0
GNG5,19.0,19.0,1.0
TMCO1,0.0,0.0,1.0
HAX1,0.0,0.0,1.0
ANKRD54,0.0,0.0,1.0
MRPS28,3.0,3.0,1.0
SLC25A28,0.0,0.0,1.0
EZR,1.0,1.0,1.0
PSME3,46.0,46.0,1.0
AAAS,18.0,18.0,1.0
WDR81,0.0,0.0,1.0
ZBTB33,0.0,0.0,1.0
EXD2,0.0,0.0,1.0
CREBL2,0.0,0.0,1.0
XRCC5,3.0,3.0,1.0
ZHX1,0.0,0.0,1.0
BNIP3,0.0,0.0,1.0
TAPBPL,0.0,0.0,1.0
LEPR,1.0,1.0,1.0
CYLD,4.0,4.0,1.0
EPM2A,2.0,2.0,1.0
CARS2,1.0,1.0,1.0
NCAN,12.0,12.0,1.0
PHOSPHO2,0.0,0.0,1.0
SAV1,1.0,1.0,1.0
RPL3,12.0,12.0,1.0
MFSD9,0.0,0.0,1.0
ZNF414,0.0,0.0,1.0
TRIM13,1.0,1.0,1.0
DERL2,3.0,3.0,1.0
THUMPD2,0.0,0.0,1.0
VWA7,0.0,0.0,1.0
USP40,0.0,0.0,1.0
CABP7,0.0,0.0,1.0
HAPLN1,1.0,1.0,1.0
DTNA,0.0,0.0,1.0
MAGEL2,0.0,0.0,1.0
TRMT10C,2.0,2.0,1.0
WNK1,0.0,0.0,1.0
PLSCR3,0.0,0.0,1.0
EAF1,2.0,2.0,1.0
GHDC,1.0,1.0,1.0
RHOT1,2.0,2.0,1.0
SPSB1,2.0,2.0,1.0
CR2,1.0,1.0,1.0
