ind,Circadian Clock,Metabolism of proteins,Hemostasis,DNA Repair,Signal Transduction,Metabolism,Extracellular matrix organization,Cellular responses to external stimuli,Immune System,Transport of small molecules,Gene expression (Transcription),Vesicle-mediated transport,Neuronal System,Chromatin organization,Reproduction,Developmental Biology,Organelle biogenesis and maintenance,Programmed Cell Death,Metabolism of RNA,Cell Cycle,Mitophagy,Cell-Cell communication,DNA Replication,Muscle contraction,Digestion and absorption,Disease
GSM1594258,-4.7335828e-07,-0.00041487016,0.00024183701,0.00058222935,-0.00036288725,9.953212e-05,-5.6633595e-05,0.00012083443,-3.890383e-05,-0.00039533633,1.485843e-06,-0.00020858174,-9.394173e-08,-1.9232737e-05,1.8345575e-06,-1.0964013e-05,5.6380395e-05,-6.174623e-05,2.8741191e-05,-0.00020808908,-1.5549595e-05,-1.00465e-05,-8.288291e-05,0.00031908732,-0.0001104873,0.00010802159
GSM1594578,-5.580364e-07,-0.00040709876,0.00023086305,0.0005971372,-0.00037759115,9.717576e-05,-5.4143497e-05,0.000110794404,-3.8635568e-05,-0.00038385042,1.3388529e-06,-0.00016870003,9.9104476e-08,-1.8515098e-05,1.10988e-06,-1.1735708e-05,6.328671e-05,-6.18307e-05,3.1579268e-05,-0.00019603147,-1.0874572e-05,-9.924277e-06,-0.000110295,0.0003327862,-9.8147146e-05,0.00010194652
GSM1594595,-4.6875564e-07,-0.0003972732,0.00022866401,0.00062878587,-0.00038757155,8.997966e-05,-5.718732e-05,0.000116854484,-3.897088e-05,-0.000378411,1.4740981e-06,-0.00021631,-1.5119824e-07,-1.8868877e-05,1.7559432e-06,-1.1397265e-05,5.8847927e-05,-6.09877e-05,2.8536082e-05,-0.0001995882,-1.5337188e-05,-9.953608e-06,-7.8214616e-05,0.00032577838,-0.00010863562,0.00010317001
GSM1594601,-4.376666e-07,-0.00040871016,0.00023703271,0.00062880514,-0.00036700803,8.940301e-05,-5.591637e-05,0.00012009678,-3.7929174e-05,-0.00038454324,1.4600015e-06,-0.00021120856,-8.380739e-08,-1.7518796e-05,1.4368082e-06,-1.1574008e-05,5.71915e-05,-6.0145143e-05,2.6142388e-05,-0.00019669255,-1.4585978e-05,-9.910036e-06,-7.133964e-05,0.0003254737,-0.0001187903,0.00010687851
GSM1594621,-4.9254027e-07,-0.00040340747,0.00018751158,0.0006174367,-0.0003136802,9.9462486e-05,-5.557435e-05,0.00012803845,-3.815824e-05,-0.00040292862,1.3985665e-06,-0.00018454622,1.0793034e-07,-1.830301e-05,2.008161e-06,-1.2135777e-05,5.8812562e-05,-5.69964e-05,2.4985431e-05,-0.000196601,-1.5140886e-05,-9.827658e-06,-7.884682e-05,0.0003288665,-0.000107205786,9.60512e-05
GSM1594633,-3.9733425e-07,-0.00042572,0.00020189917,0.00056234933,-0.00029892876,0.00010164177,-6.126453e-05,0.00012365992,-3.7545196e-05,-0.00038639465,1.2935e-06,-0.00018007692,1.4116888e-07,-1.9047384e-05,2.2274166e-06,-1.0076289e-05,5.605469e-05,-6.2837775e-05,2.7358077e-05,-0.00018478409,-1.4094538e-05,-1.0145555e-05,-6.046982e-05,0.0003481899,-0.00011524181,0.00010026425
GSM1594657,-4.6281338e-07,-0.00040577745,0.00018394193,0.0005647847,-0.000399977,0.00010227064,-5.4537668e-05,0.000120287994,-3.9912695e-05,-0.00038591714,1.4444782e-06,-0.00023995394,1.7742035e-07,-2.1522494e-05,1.909166e-06,-1.0896046e-05,5.965275e-05,-6.205906e-05,3.238477e-05,-0.00021371765,-1.6715441e-05,-9.962188e-06,-7.484435e-05,0.00033892653,-0.00010392076,0.00010480433
GSM1594786,-5.883917e-07,-0.00042657208,0.00021794412,0.0006132404,-0.00035918778,9.184555e-05,-5.858431e-05,0.00011794189,-3.9333274e-05,-0.00039239382,1.4550918e-06,-0.00020631158,-1.6885711e-07,-1.7276356e-05,2.3432474e-06,-1.1349722e-05,5.802846e-05,-5.736163e-05,3.0965442e-05,-0.00020604515,-1.5653075e-05,-9.635802e-06,-7.3499876e-05,0.00032739528,-0.00010668388,9.271476e-05
GSM1594878,-4.3238464e-07,-0.00042790448,0.00022740038,0.0005871711,-0.0003746493,9.958781e-05,-5.537331e-05,0.00011648872,-3.8112958e-05,-0.0003994714,1.3504402e-06,-0.00021041461,1.6110536e-07,-1.7330434e-05,2.030695e-06,-1.0894388e-05,5.6989145e-05,-6.196897e-05,3.1104137e-05,-0.00021163894,-1.4315616e-05,-9.981771e-06,-8.7316796e-05,0.00033351677,-0.000112918846,0.0001023426
GSM1594988,-4.304371e-07,-0.00044659266,0.00017135518,0.0005803122,-0.00034975665,0.00010761763,-5.565217e-05,0.00011965289,-3.4689587e-05,-0.00042736327,1.4049494e-06,-0.00020571484,-4.3436945e-08,-2.01986e-05,3.1538273e-06,-9.952616e-06,5.991209e-05,-6.266847e-05,2.9939267e-05,-0.00020315028,-1.4835606e-05,-1.0186291e-05,-7.936129e-05,0.0003241614,-0.00011696005,9.5614654e-05
