,,coef
TBL1XR1,gene_expression,0.00012360212
RBFA,gene_expression,0.0
ZNF354A,gene_expression,0.0
ALG1,gene_expression,0.0
KLHDC1,gene_expression,0.0
ANP32A,gene_expression,6.074294e-06
CETN2,gene_expression,3.6237284e-06
FAR1,gene_expression,4.969368e-07
SLC35E1,gene_expression,0.0
DOCK9,gene_expression,0.0
IDO2,gene_expression,1.8800613e-07
SLC35B1,gene_expression,0.0
TAGLN2,gene_expression,1.9828154e-05
HAPLN1,gene_expression,5.443445e-07
LYL1,gene_expression,0.0
DNAJC2,gene_expression,4.559864e-07
CBS,gene_expression,5.859253e-06
GFOD1,gene_expression,0.0
PARN,gene_expression,3.9348117e-07
PTPRO,gene_expression,0.0
RB1CC1,gene_expression,4.946632e-09
U2AF1L4,gene_expression,1.3135799e-05
IPO11,gene_expression,0.0
RPL26,gene_expression,1.1456727e-06
WDR83OS,gene_expression,0.0
EXTL3,gene_expression,4.5083615e-07
FBXO33,gene_expression,0.0
ALDH16A1,gene_expression,0.0
DCAF5,gene_expression,1.8412864e-08
RPS6KA4,gene_expression,4.464076e-06
ASAP2,gene_expression,0.0
MOAP1,gene_expression,0.0
LPP,gene_expression,0.0
ADAM19,gene_expression,9.896554e-07
CAMTA2,gene_expression,0.0
RSRC2,gene_expression,0.0
MTRF1L,gene_expression,7.368954e-08
GPR65,gene_expression,0.0
RAB43,gene_expression,6.065761e-07
ZSWIM4,gene_expression,0.0
CDC23,gene_expression,8.447798e-05
FCGRT,gene_expression,0.0
NFATC4,gene_expression,0.0
CTSH,gene_expression,5.831606e-06
ARHGAP25,gene_expression,8.843193e-05
RUVBL1,gene_expression,2.3551765e-06
PATE3,gene_expression,0.0
ZNF362,gene_expression,0.0
ANKFY1,gene_expression,0.0
RPS12,gene_expression,3.1644806e-06
BUD13,gene_expression,0.0
AXIN2,gene_expression,6.1438106e-05
ZNF281,gene_expression,0.0
BEX1,gene_expression,0.0
CTU2,gene_expression,0.0
PTTG1IP,gene_expression,0.0
TMEM177,gene_expression,0.0
EFR3A,gene_expression,0.0
POLE2,gene_expression,1.4125014e-06
MDN1,gene_expression,0.0
PSIP1,gene_expression,5.441476e-07
PDIA5,gene_expression,1.16922536e-07
OSGEP,gene_expression,0.0
LEPR,gene_expression,4.035407e-09
PPP1R12A,gene_expression,1.2094062e-05
XPOT,gene_expression,3.3237438e-07
PRPF19,gene_expression,7.136015e-06
ALPI,gene_expression,4.6896042e-07
TECPR1,gene_expression,0.0
TRIM23,gene_expression,0.0
TRAPPC3,gene_expression,4.0895856e-07
MSRA,gene_expression,9.666475e-07
TMCO1,gene_expression,0.0
STRADB,gene_expression,1.4222567e-08
SUPT16H,gene_expression,5.251206e-06
YWHAE,gene_expression,1.0004991e-05
UBQLN1,gene_expression,3.4067135e-08
KIF3B,gene_expression,1.609474e-05
ZFAND6,gene_expression,0.0
ALDH9A1,gene_expression,1.5092537e-07
AKAP11,gene_expression,0.0
COMMD1,gene_expression,1.468484e-09
SFXN3,gene_expression,0.0
DHX30,gene_expression,0.0
PIGH,gene_expression,4.8162658e-11
TPK1,gene_expression,2.8099103e-07
FCRL2,gene_expression,0.0
EIF4E3,gene_expression,2.4373344e-07
MAP3K6,gene_expression,0.0
CFAP58,gene_expression,0.0
POLR3B,gene_expression,4.2162583e-06
ZNF480,gene_expression,0.0
TMEM64,gene_expression,0.0
VDAC3,gene_expression,1.7560229e-06
MPHOSPH8,gene_expression,0.0
GYS1,gene_expression,4.716075e-05
PRDM16,gene_expression,3.958148e-09
ATG4C,gene_expression,2.7052494e-08
PDCD2L,gene_expression,0.0
MRPL44,gene_expression,9.519653e-09
GAS2L1,gene_expression,0.0
RPL5,gene_expression,4.1767442e-05
FTO,gene_expression,0.0
TNNI2,gene_expression,6.817096e-06
SHISA5,gene_expression,3.1529783e-07
MDC1,gene_expression,2.212606e-06
COX7C,gene_expression,5.0418976e-08
IL17RB,gene_expression,0.0
HDAC2,gene_expression,2.1205396e-05
TRAF7,gene_expression,9.952657e-08
MYL12B,gene_expression,0.0001837509
OR4K13,gene_expression,2.4540302e-08
CHRNE,gene_expression,2.22015e-08
RFXAP,gene_expression,0.0
MET,gene_expression,1.8560131e-05
POMP,gene_expression,0.0
PLA2G12A,gene_expression,1.4370364e-07
FTSJ1,gene_expression,0.0
IMP4,gene_expression,2.058332e-11
ZNF484,gene_expression,0.0
ZKSCAN2,gene_expression,0.0
PACS2,gene_expression,0.0
RAB10,gene_expression,1.1313685e-06
IMMT,gene_expression,1.4693389e-06
PLS1,gene_expression,0.0
FAM50B,gene_expression,0.0
PHKG2,gene_expression,1.0111843e-06
GPR156,gene_expression,0.0
WDR53,gene_expression,0.0
CCDC151,gene_expression,0.0
ENDOD1,gene_expression,2.7794222e-05
TAL1,gene_expression,3.1917161e-06
HMGN4,gene_expression,0.0
MAPKAPK5,gene_expression,1.5457556e-06
ORMDL2,gene_expression,0.0
MITF,gene_expression,1.0682846e-09
TRIM11,gene_expression,1.1923496e-06
TOPORS,gene_expression,7.573125e-09
UBE2M,gene_expression,1.447318e-06
SLC25A51,gene_expression,0.0
SLC39A11,gene_expression,0.0
EXO5,gene_expression,0.0
MGME1,gene_expression,0.0
ANKRD39,gene_expression,0.0
UBIAD1,gene_expression,8.1461243e-10
B2M,gene_expression,1.3719771e-06
CALU,gene_expression,5.2108335e-06
METTL18,gene_expression,0.0
CENPC,gene_expression,1.5397041e-05
PDCD2,gene_expression,0.0
OGFOD3,gene_expression,0.0
GPCPD1,gene_expression,1.18505874e-07
PCBD2,gene_expression,0.0
LITAF,gene_expression,0.0
ELF1,gene_expression,9.268329e-07
IL21R,gene_expression,3.2744247e-06
MLH3,gene_expression,1.8328414e-07
PIK3R1,gene_expression,0.00090656616
PPIF,gene_expression,0.0
NCBP1,gene_expression,6.5638487e-06
SAGE1,gene_expression,0.0
ANKRA2,gene_expression,0.0
NETO1,gene_expression,0.0
PTER,gene_expression,0.0
HARBI1,gene_expression,0.0
SPRED1,gene_expression,1.0557097e-06
RGL1,gene_expression,1.956578e-07
USP5,gene_expression,3.2200074e-07
OMG,gene_expression,1.4697494e-07
KLHL2,gene_expression,7.3704626e-07
KRI1,gene_expression,0.0
TMUB2,gene_expression,0.0
SKI,gene_expression,1.4533192e-07
HNRNPH1,gene_expression,8.3572405e-07
SCLY,gene_expression,8.858861e-06
NEURL1B,gene_expression,3.480006e-05
TFCP2,gene_expression,0.0
RDH10,gene_expression,2.9994876e-08
HDHD3,gene_expression,0.0
VPS9D1,gene_expression,0.0
