ind,Developmental Biology,DNA Repair,Organelle biogenesis and maintenance,Cellular responses to external stimuli,Immune System,Digestion and absorption,Gene expression (Transcription),Signal Transduction,Chromatin organization,Extracellular matrix organization,Vesicle-mediated transport,Cell Cycle,Reproduction,Transport of small molecules,Metabolism of proteins,Cell-Cell communication,Muscle contraction,Metabolism,Neuronal System,Programmed Cell Death,Metabolism of RNA,Circadian Clock,Hemostasis,Disease,DNA Replication,Mitophagy
GSM1594220,7.329836e-06,-2.011189e-05,-3.284281e-07,6.847715e-07,0.00017546453,6.79276e-08,5.752127e-06,-7.7895864e-05,4.7205071e-07,1.0657531e-07,-2.4967974e-07,-3.4513698e-06,6.3231476e-10,4.8599602e-05,-5.1291518e-09,1.2405204e-06,-1.5143688e-06,1.9735173e-05,-9.495782e-08,-9.233771e-06,-1.6910311e-05,6.8328345e-06,-2.389779e-05,3.2136504e-05,3.7246625e-06,3.0684657e-09
GSM1594222,3.0341012e-06,-1.9685425e-05,-4.1105883e-07,7.559742e-07,0.0001764639,7.208461e-08,5.731142e-06,-7.875875e-05,4.3333998e-07,8.404812e-08,-3.058024e-07,-4.006811e-06,6.522448e-10,3.8340717e-05,-1.15691165e-07,1.284547e-06,-1.4329601e-06,1.3240737e-05,-1.08824246e-07,-1.1396047e-05,-1.569755e-05,5.9763865e-06,-2.4135903e-05,4.241325e-05,3.875996e-06,3.0676244e-09
GSM1594294,5.3578283e-06,-2.0818654e-05,-2.2906916e-07,8.3584945e-07,0.00017706565,7.559966e-08,6.069922e-06,-8.0121245e-05,5.185958e-07,1.17924706e-07,-2.4018217e-07,-3.1482534e-06,6.0979394e-10,4.3488613e-05,3.3281772e-08,1.3134596e-06,-1.5277727e-06,1.3044081e-05,-8.889803e-08,-1.0770521e-05,-1.4912122e-05,6.330787e-06,-2.4345203e-05,2.4605644e-05,3.984503e-06,3.2720773e-09
GSM1594462,6.397142e-06,-2.0995267e-05,-3.1809944e-07,9.3385654e-07,0.00018228567,6.5259925e-08,7.4421223e-06,-7.5994016e-05,5.096119e-07,1.1156786e-07,-2.5842363e-07,-4.577408e-06,6.979097e-10,4.0008337e-05,-4.3107516e-08,1.1343627e-06,-1.6929403e-06,1.9159075e-05,-7.840507e-08,-1.4286242e-05,-1.7401488e-05,6.157456e-06,-2.5173775e-05,3.2915945e-05,3.9920205e-06,3.2715408e-09
GSM1594501,7.717423e-06,-2.1243079e-05,-3.927085e-07,9.087667e-07,0.00017439312,6.946554e-08,6.9571192e-06,-8.455793e-05,4.3132476e-07,1.1007662e-07,-2.9513768e-07,-4.7701874e-06,5.9432376e-10,5.1811265e-05,4.1897156e-08,9.584768e-07,-1.5185044e-06,1.7986318e-05,-9.2884406e-08,-1.24205735e-05,-1.4216699e-05,6.480967e-06,-2.3780342e-05,2.398439e-05,3.801689e-06,3.0684273e-09
GSM1594576,6.017078e-06,-1.9929845e-05,-1.253665e-07,8.729217e-07,0.0001774105,8.5938794e-08,5.937758e-06,-7.997273e-05,3.747883e-07,1.1468008e-07,-2.5712498e-07,-3.2832916e-06,7.193288e-10,3.466884e-05,-1.5365581e-10,1.143846e-06,-1.5127216e-06,1.6558839e-05,-9.8902326e-08,-8.44274e-06,-1.445946e-05,6.156374e-06,-2.32669e-05,4.430156e-05,3.904409e-06,2.8634046e-09
GSM1594580,6.1659507e-06,-2.02627e-05,-4.0995218e-07,8.017677e-07,0.00018051254,7.211381e-08,6.8237027e-06,-7.928282e-05,4.3105493e-07,1.0505496e-07,-3.4348926e-07,-3.431307e-06,5.296049e-10,4.9607916e-05,1.7867919e-09,9.988178e-07,-1.5194145e-06,1.5319672e-05,-1.23315e-07,-1.0984436e-05,-1.5834752e-05,6.340034e-06,-2.3254346e-05,4.181666e-05,4.0264786e-06,2.8642755e-09
GSM1594583,6.923105e-06,-2.0988777e-05,-4.149319e-07,7.033747e-07,0.00018582316,6.7918e-08,5.042105e-06,-7.900141e-05,4.3298323e-07,1.2461103e-07,-3.319123e-07,-2.5259528e-06,5.2946086e-10,3.7879225e-05,8.105604e-08,8.7507425e-07,-1.4518439e-06,1.5727028e-05,-9.988054e-08,-9.937896e-06,-1.8848821e-05,5.5850574e-06,-2.2873925e-05,3.4997953e-05,3.991522e-06,3.068032e-09
GSM1594585,4.8364404e-06,-2.0149937e-05,-3.8878332e-07,6.4888087e-07,0.00018496426,7.625935e-08,5.2444043e-06,-7.8875724e-05,4.267171e-07,8.46132e-08,-2.541467e-07,-2.6117104e-06,5.7852545e-10,3.5455832e-05,3.2244884e-08,1.1117286e-06,-1.483477e-06,1.011975e-05,-1.0120658e-07,-9.999849e-06,-1.575554e-05,6.939345e-06,-2.4345329e-05,3.3668995e-05,3.912142e-06,3.0675884e-09
GSM1594596,6.08425e-06,-2.0323503e-05,-1.6415889e-07,8.128665e-07,0.00016825742,7.405797e-08,5.7964717e-06,-7.829106e-05,3.2748585e-07,8.947291e-08,-2.6154515e-07,-3.1262412e-06,6.443871e-10,5.3807835e-05,-3.1302285e-08,1.0552536e-06,-1.5214746e-06,1.4961232e-05,-1.1338714e-07,-9.6995245e-06,-1.5515268e-05,5.86662e-06,-2.3190156e-05,4.0540654e-05,3.8506582e-06,2.8629397e-09
