ind,Cellular responses to external stimuli,Immune System,Metabolism,Digestion and absorption,Metabolism of proteins,Metabolism of RNA,Gene expression (Transcription),DNA Repair,Disease,Organelle biogenesis and maintenance,Signal Transduction,Vesicle-mediated transport,Muscle contraction,Hemostasis,Cell Cycle,Developmental Biology,Reproduction,Extracellular matrix organization,Mitophagy,Transport of small molecules,Programmed Cell Death,Cell-Cell communication,Circadian Clock,Chromatin organization,Neuronal System,DNA Replication
GSM1594222,8.7321405e-06,-0.00068256067,-1.4541514e-05,-3.764644e-08,2.1560038e-05,5.0878352e-05,0.0015221421,0.00026659932,-2.3810815e-08,-5.4836654e-08,1.0403029e-05,3.295665e-06,-1.1111899e-06,2.8511873e-05,-7.963487e-08,2.7349352e-05,3.226471e-05,-1.4141101e-05,2.0599602e-07,-6.1413414e-07,-1.228591e-06,4.9719864e-07,-3.742892e-07,-9.481571e-06,-5.9271315e-07,1.3441551e-05
GSM1594304,1.0440503e-05,-0.00060406217,2.6085265e-06,-4.6150877e-08,1.8633515e-05,5.077424e-05,0.0013501225,0.0002754549,-1.3682673e-08,-4.1806842e-07,1.0262737e-05,9.4500933e-07,-7.633428e-07,2.7736784e-05,-4.38512e-07,2.713051e-05,3.5493707e-05,-1.3514451e-05,2.1368969e-07,-1.650239e-06,-1.4769972e-06,4.986247e-07,-3.819689e-07,-8.033755e-06,-2.0052275e-07,1.3479886e-05
GSM1594347,5.3881777e-06,-0.00058724004,6.244701e-06,-3.400257e-08,1.7775856e-05,5.1474683e-05,0.0014818719,0.00027572984,2.766991e-09,6.1258106e-07,1.1580326e-05,-7.3598085e-07,-7.2165045e-07,2.9765866e-05,-5.494012e-07,2.7817885e-05,3.724772e-05,-1.3729054e-05,2.7934732e-07,-2.6115235e-06,-1.6885377e-06,4.7361235e-07,-3.567972e-07,-8.1172275e-06,-9.5329625e-08,1.3882153e-05
GSM1594360,8.486082e-06,-0.0006123273,2.537296e-07,-3.2795946e-08,1.843052e-05,4.956216e-05,0.0012174173,0.00026736895,-1.6277555e-08,-4.3202625e-08,1.0919303e-05,1.4826649e-06,-8.3367297e-07,2.5088082e-05,-2.982512e-07,2.8053926e-05,3.35e-05,-1.41642595e-05,2.2545032e-07,-1.4949942e-06,-1.3164209e-06,4.945321e-07,-3.792891e-07,-8.9795485e-06,-1.642752e-07,1.3732079e-05
GSM1594382,1.0363553e-05,-0.00060655223,-5.319226e-06,-4.129664e-08,1.7486213e-05,5.3235894e-05,0.0012022146,0.0002767996,-1.66045e-08,4.579261e-07,1.0821823e-05,1.7129065e-06,-9.188354e-07,2.6850958e-05,-1.5268505e-07,2.7070262e-05,3.2991604e-05,-1.4495076e-05,1.8406283e-07,-2.1488304e-06,-1.370774e-06,4.9312155e-07,-3.6232962e-07,-8.363055e-06,-1.7204032e-07,1.3789646e-05
GSM1594411,1.1083358e-05,-0.00063857704,-2.1379904e-06,-3.0363758e-08,2.0377536e-05,5.241878e-05,0.0013031795,0.0002762675,-1.32940565e-08,7.249844e-08,1.0280827e-05,2.351018e-06,-8.1556544e-07,3.0107058e-05,-3.8417105e-07,2.7310796e-05,3.515059e-05,-1.4183014e-05,1.9983638e-07,-3.0223232e-06,-1.5022899e-06,4.9725963e-07,-3.7378862e-07,-9.180849e-06,-1.2954236e-08,1.3574505e-05
GSM1594549,1.0812795e-05,-0.00059389,-7.995457e-06,-4.251266e-08,1.9283212e-05,4.9075712e-05,0.0012054695,0.00027021745,-1.32510936e-08,-2.4493661e-07,1.095823e-05,1.0433419e-06,-8.134775e-07,2.6792984e-05,-1.8515719e-07,2.7440827e-05,3.2482567e-05,-1.3475946e-05,1.8438887e-07,-4.0415518e-08,-1.4855902e-06,4.6955606e-07,-3.6835334e-07,-9.144244e-06,-1.6790034e-07,1.3739781e-05
GSM1594557,1.0546141e-05,-0.00062226306,-8.171941e-06,-2.9146888e-08,1.8030973e-05,5.026816e-05,0.0014291673,0.00028004748,-1.6016143e-08,5.0895113e-07,1.1149951e-05,1.8623427e-06,-7.2187737e-07,2.6377445e-05,-1.1608094e-07,2.653986e-05,3.6016034e-05,-1.3554147e-05,2.482295e-07,-1.6355071e-06,-1.4888158e-06,5.0762213e-07,-3.8523393e-07,-8.688393e-06,-2.4611091e-07,1.33877775e-05
GSM1594583,8.266152e-06,-0.00065185444,5.486651e-06,-3.64403e-08,1.8133389e-05,5.1687934e-05,0.0011930198,0.00026170447,-2.210464e-08,3.0054295e-07,1.0874427e-05,4.8292986e-07,-1.0350903e-06,2.7271757e-05,-1.7689065e-07,2.5995645e-05,3.4218494e-05,-1.6042939e-05,2.147878e-07,-1.3986973e-06,-1.5746747e-06,4.889882e-07,-3.6398998e-07,-8.964702e-06,-1.3629275e-07,1.3696033e-05
GSM1594584,9.187932e-06,-0.00065518735,-1.5390771e-06,-4.250212e-08,1.5983409e-05,5.0864615e-05,0.0015479086,0.00027351588,-1.8738215e-08,-5.258071e-07,1.12654525e-05,1.2447982e-06,-5.184605e-07,2.2828053e-05,-3.1487636e-07,2.7290234e-05,3.3620618e-05,-1.5194969e-05,2.607885e-07,-3.1906018e-07,-1.3126138e-06,5.089641e-07,-3.813752e-07,-9.0902495e-06,-1.207132e-07,1.34347e-05
