ind,Chromatin organization,Reproduction,DNA Repair,Vesicle-mediated transport,Hemostasis,Developmental Biology,Metabolism,Metabolism of RNA,Signal Transduction,Circadian Clock,Metabolism of proteins,Muscle contraction,Mitophagy,Cell Cycle,Disease,DNA Replication,Transport of small molecules,Organelle biogenesis and maintenance,Programmed Cell Death,Extracellular matrix organization,Cellular responses to external stimuli,Digestion and absorption,Gene expression (Transcription),Immune System,Cell-Cell communication,Neuronal System
GSM1594220,-0.0008031473,-2.3736708e-07,-7.489672e-05,3.5778005e-05,2.6448654e-06,5.493873e-07,-0.00018673412,-2.0020336e-05,2.1036985e-07,-1.815733e-08,6.7518886e-05,-3.2710275e-08,-3.5484016e-09,-0.00013126711,-4.9131086e-06,2.760905e-06,-7.2780504e-06,9.592328e-06,-5.2561896e-05,1.6103876e-06,3.2810436e-05,3.9652974e-08,7.022878e-05,2.829861e-05,-1.0008089e-06,2.6328205e-06
GSM1594225,-0.00078597944,4.532811e-07,-7.400898e-05,3.778574e-05,2.726421e-06,5.5715606e-07,-0.00018569652,-1.8272644e-05,1.9864349e-07,-1.7588794e-08,6.711622e-05,-6.272491e-07,-3.4378935e-09,-0.0001270177,-4.8217285e-06,2.9075102e-06,-1.0877007e-05,9.111527e-06,-5.3858897e-05,1.6682015e-06,3.2958178e-05,3.5732118e-08,6.811584e-05,3.2809858e-05,-9.600391e-07,2.5823983e-06
GSM1594260,-0.0008017819,-1.3434594e-06,-7.962588e-05,4.0068608e-05,2.657037e-06,4.22804e-07,-0.00018648499,-1.792303e-05,1.8895217e-07,-1.9296158e-08,6.338801e-05,-5.847952e-07,-3.523288e-09,-0.00013023161,-4.9868763e-06,2.8345755e-06,-1.3981692e-05,1.0016602e-05,-5.5201002e-05,1.6150543e-06,3.0433248e-05,4.1833665e-08,6.9794194e-05,2.8173465e-05,-9.650222e-07,2.635481e-06
GSM1594267,-0.0007827664,4.2678226e-07,-7.734512e-05,3.6142246e-05,2.4554718e-06,6.3340065e-07,-0.00018435184,-1.556267e-05,1.8188125e-07,-1.8464606e-08,6.199793e-05,-6.295685e-07,-3.439604e-09,-0.00012695587,-4.9157206e-06,2.7383653e-06,-1.3456253e-05,1.038385e-05,-5.409726e-05,1.6921791e-06,2.8465398e-05,3.7912343e-08,6.776691e-05,2.6702133e-05,-9.815759e-07,2.4747887e-06
GSM1594347,-0.00080064766,2.3041791e-06,-6.825013e-05,3.483917e-05,2.608315e-06,-3.389018e-07,-0.00017362188,-1.33622725e-05,2.4399256e-07,-1.7785888e-08,6.9356254e-05,-7.02969e-07,-3.3239882e-09,-0.00011389899,-4.8483107e-06,3.145829e-06,-1.1373501e-05,8.995223e-06,-5.204304e-05,1.6954813e-06,2.084106e-05,4.3573767e-08,7.129699e-05,2.9033596e-05,-1.0198055e-06,2.6864584e-06
GSM1594411,-0.0008159851,6.6909365e-06,-7.749691e-05,3.8152364e-05,2.7315396e-06,8.960648e-07,-0.00018698612,-2.2993516e-05,2.3171341e-07,-1.7472086e-08,6.837283e-05,-3.5926425e-07,-3.6671484e-09,-0.00012922198,-5.026559e-06,2.8313964e-06,-1.3352265e-05,1.0516317e-05,-5.3163014e-05,1.7643184e-06,2.5533924e-05,3.7912635e-08,7.350458e-05,3.085269e-05,-9.981223e-07,2.4035028e-06
GSM1594472,-0.00079885905,-5.3055264e-06,-7.9430574e-05,3.5623994e-05,2.6762655e-06,1.6839136e-06,-0.00018698485,-1.6314174e-05,1.5230817e-07,-1.7106373e-08,6.897079e-05,-6.0314517e-07,-3.6432763e-09,-0.00012711508,-4.935535e-06,3.013218e-06,-1.7840344e-05,9.295779e-06,-5.576522e-05,1.644094e-06,2.5341913e-05,3.52963e-08,7.037919e-05,3.306134e-05,-1.0041391e-06,2.8900215e-06
GSM1594533,-0.00078858505,-4.686841e-06,-6.6045024e-05,2.9442239e-05,2.8698337e-06,6.3332584e-07,-0.00017994962,-1.5622392e-05,2.3435067e-07,-1.9270944e-08,6.51066e-05,2.5422756e-07,-3.3715297e-09,-0.00012625265,-5.1920656e-06,3.0886483e-06,-6.9347275e-06,1.1241727e-05,-5.2717056e-05,1.7364945e-06,2.7586744e-05,4.2268386e-08,7.175776e-05,2.9720448e-05,-1.0691884e-06,2.5041525e-06
GSM1594554,-0.0008149008,4.010453e-06,-7.4557276e-05,3.4542918e-05,2.771369e-06,1.2498748e-07,-0.000178551,-1.756977e-05,2.5107036e-07,-1.8607851e-08,7.086588e-05,7.633281e-08,-3.525111e-09,-0.00013895523,-4.9420205e-06,2.659558e-06,-1.2764737e-05,9.969281e-06,-5.389569e-05,1.7173332e-06,2.7334148e-05,4.0964956e-08,7.0928305e-05,2.8114257e-05,-1.0202209e-06,2.5676686e-06
GSM1594586,-0.0007774949,3.5402666e-06,-7.839074e-05,3.394923e-05,2.5403283e-06,1.0803382e-06,-0.00018337133,-1.6730333e-05,1.9218048e-07,-1.8209702e-08,6.945468e-05,-4.0399624e-07,-3.676332e-09,-0.00012606173,-4.858626e-06,2.748169e-06,-9.107223e-06,9.160667e-06,-5.508632e-05,1.5964054e-06,3.159102e-05,3.3116414e-08,7.2225244e-05,3.0021032e-05,-9.38231e-07,2.7825363e-06
