,,root
TMEM86B,gene_expression,-0.06447207
DLAT,gene_expression,-0.12373401
MLLT11,gene_expression,0.020926435
EXOC2,gene_expression,0.0393754
PHB,gene_expression,-0.051578995
CBS,gene_expression,-0.08905507
ATP9B,gene_expression,-0.052118964
ERI2,gene_expression,0.09479923
STAU1,gene_expression,0.08600557
SGSM3,gene_expression,-0.09200689
ANKS1B,gene_expression,-0.022993494
RBBP4,gene_expression,-0.023079151
NBEA,gene_expression,0.0793903
FLNA,gene_expression,0.024464142
HEY1,gene_expression,0.1302681
RAB3C,gene_expression,0.07500768
PEX19,gene_expression,0.03233031
PDHB,gene_expression,-0.024513489
CLPP,gene_expression,-0.034279644
NSD1,gene_expression,-0.06979895
ABCB7,gene_expression,-0.077880755
NEU1,gene_expression,0.006896634
STAB1,gene_expression,-0.22223103
MDFIC,gene_expression,0.016579414
ZNF649,gene_expression,0.0025215992
BAK1,gene_expression,-0.079493105
MAVS,gene_expression,-0.058838546
MDH1,gene_expression,-0.10616963
TMEM42,gene_expression,-0.07227427
URB2,gene_expression,0.07988992
FARP1,gene_expression,0.005212088
LRP3,gene_expression,0.00037876717
KLF6,gene_expression,-0.07086259
AKT1S1,gene_expression,-0.04705532
ARID5B,gene_expression,-0.031105991
FCRL2,gene_expression,-0.03366923
PPP2R2D,gene_expression,0.07353901
OAT,gene_expression,-0.08599294
TRIM26,gene_expression,0.060709067
TRAF4,gene_expression,-0.019037869
SLC39A9,gene_expression,-0.023281015
PPM1L,gene_expression,0.07657819
LRFN4,gene_expression,-0.048321325
CNIH1,gene_expression,0.055054404
VAMP4,gene_expression,-0.07715943
APH1B,gene_expression,0.00913015
HIC1,gene_expression,0.0054387166
ACAD10,gene_expression,0.080936454
OBSCN,gene_expression,-0.036039785
XKR6,gene_expression,-0.029734107
MAP4K2,gene_expression,-0.049387213
NOMO2,gene_expression,0.08331307
ZSCAN16,gene_expression,0.010274892
SGTB,gene_expression,-0.090933666
CHCHD4,gene_expression,-0.09025695
BLOC1S6,gene_expression,0.051342934
FOXP1,gene_expression,-0.06122834
LEPROTL1,gene_expression,-0.0561259
WDR89,gene_expression,-0.011070127
MRPL2,gene_expression,-0.06471151
STXBP1,gene_expression,0.072076306
MXD4,gene_expression,0.021328453
CDCP1,gene_expression,0.0052990937
NLE1,gene_expression,0.08304003
PMS2,gene_expression,0.0738781
KIF5A,gene_expression,-0.07589
OGFRL1,gene_expression,0.058067396
STX17,gene_expression,-0.046091165
IFT27,gene_expression,0.053700242
TMEM97,gene_expression,0.06894786
LLGL1,gene_expression,0.019062497
STT3B,gene_expression,0.10893058
WDR19,gene_expression,0.050047215
TMCO1,gene_expression,-0.08991838
KCTD20,gene_expression,-0.0042040716
DNAJC18,gene_expression,0.026651267
TMEFF1,gene_expression,0.0949159
VEGFC,gene_expression,0.046975333
HSPD1,gene_expression,0.08219893
CHM,gene_expression,0.031643517
OSTC,gene_expression,-0.053076297
PES1,gene_expression,-0.06830329
PLS3,gene_expression,0.0969279
GPRC5B,gene_expression,0.13397123
RNASEK,gene_expression,0.07721465
TTC33,gene_expression,0.026435716
COPS4,gene_expression,-0.016081333
LDLRAP1,gene_expression,0.04254549
HADHA,gene_expression,0.071073495
PKNOX1,gene_expression,0.071733996
DYRK1A,gene_expression,0.07576899
IPP,gene_expression,-0.0794612
PUS3,gene_expression,0.08694958
SWAP70,gene_expression,0.07124917
SLC25A51,gene_expression,-0.028777288
PCBD2,gene_expression,-0.06763494
YPEL2,gene_expression,0.007914474
RNPS1,gene_expression,0.058624983
DEF8,gene_expression,-0.0530549
MOB1B,gene_expression,0.1071407
COMMD6,gene_expression,0.10594861
MED14,gene_expression,0.077023685
UQCRH,gene_expression,-0.081784844
SNN,gene_expression,-0.05568523
CPT1A,gene_expression,0.05324186
CRTC1,gene_expression,-0.0002343191
PILRB,gene_expression,-0.0066778827
DHPS,gene_expression,0.10125532
ZNF232,gene_expression,-0.0047795284
ZNF181,gene_expression,-0.055308938
PRKACA,gene_expression,-0.07318766
SPIB,gene_expression,-0.09072276
LAMA5,gene_expression,-0.0011305168
PPP2R2A,gene_expression,0.042234138
CDKN2AIP,gene_expression,0.06928014
NME6,gene_expression,-0.061479576
SMIM7,gene_expression,0.06565583
NACC2,gene_expression,-0.083090656
ELP3,gene_expression,0.030787872
SPAG7,gene_expression,0.03729434
ZNF35,gene_expression,0.025442958
MORC3,gene_expression,-0.057346463
ALKBH1,gene_expression,-0.10777791
LY6G5C,gene_expression,0.047071666
RAE1,gene_expression,-0.07033436
PRMT7,gene_expression,-0.094789326
VPS25,gene_expression,0.10143814
ELL3,gene_expression,0.08244506
FSTL3,gene_expression,-0.065808885
CELSR2,gene_expression,-0.085645124
CAPZB,gene_expression,-0.015500419
THG1L,gene_expression,-0.047233194
RETNLB,gene_expression,0.16123384
ITGB5,gene_expression,-0.070013344
CLUH,gene_expression,0.06826044
PEX13,gene_expression,0.03363143
DBP,gene_expression,-0.06919657
RXRB,gene_expression,-0.054926857
PDCL3,gene_expression,-0.07887174
ERAL1,gene_expression,0.042311594
ASH1L,gene_expression,-0.04769689
TIMELESS,gene_expression,0.048517764
PAIP1,gene_expression,-0.038180638
MSRB1,gene_expression,0.090981945
FAM180B,gene_expression,-0.03720937
JMJD4,gene_expression,-0.025519004
LAMTOR1,gene_expression,0.07110425
RNF213,gene_expression,0.059016973
TRIM21,gene_expression,-0.075723104
GSTCD,gene_expression,-0.046172302
TAF1D,gene_expression,-0.076883145
AEBP2,gene_expression,0.08690907
PSAT1,gene_expression,-0.096716374
CHAMP1,gene_expression,0.05266749
POFUT2,gene_expression,4.657325e-05
PBXIP1,gene_expression,0.0098671205
FAM126B,gene_expression,0.009553463
NFIC,gene_expression,0.08072644
CCT6A,gene_expression,0.083526075
FBXO21,gene_expression,0.086642206
PLBD1,gene_expression,0.051598463
KEAP1,gene_expression,-0.015244103
ANXA6,gene_expression,-0.017131964
SIPA1L1,gene_expression,0.0030749023
