ind,Cell-Cell communication,Immune System,Hemostasis,Digestion and absorption,DNA Repair,Cell Cycle,Metabolism,Transport of small molecules,Disease,Mitophagy,Neuronal System,Gene expression (Transcription),Extracellular matrix organization,Developmental Biology,Organelle biogenesis and maintenance,Programmed Cell Death,Reproduction,Chromatin organization,DNA Replication,Muscle contraction,Vesicle-mediated transport,Signal Transduction,Cellular responses to external stimuli,Metabolism of RNA,Circadian Clock,Metabolism of proteins
GSM1594225,3.923456e-07,7.983442e-05,-3.8953098e-05,-1.3298296e-08,-0.00018287447,6.709713e-05,1.6794109e-05,4.8211845e-05,1.2841217e-06,-5.61109e-07,1.4924387e-05,-7.4149843e-06,-5.395414e-08,-2.487614e-06,-9.368652e-08,6.798915e-07,-4.3115332e-07,-3.6912268e-06,2.2308127e-06,-8.9988305e-08,2.2518072e-06,3.866123e-05,-4.8539092e-05,7.109727e-06,-6.3922624e-07,-5.5257926e-05
GSM1594258,6.3854156e-07,6.412398e-05,-3.576247e-05,-1.2671718e-08,-0.00020013646,7.0055394e-05,1.3689872e-05,5.0712195e-05,1.1715623e-06,-8.261955e-07,1.7117825e-05,-9.35203e-06,6.639915e-08,-5.294928e-06,-9.15338e-08,8.578853e-07,-7.9767105e-08,-9.368177e-06,2.2476843e-06,-9.946803e-08,2.2403108e-06,4.8084272e-05,-4.75765e-05,6.2707277e-06,-6.1076287e-07,-5.461221e-05
GSM1594263,7.3830364e-07,7.675e-05,-4.1739928e-05,-1.0983324e-08,-0.00019191694,7.291643e-05,1.42709405e-05,4.8646827e-05,1.422827e-06,-8.1097073e-07,1.5556208e-05,-8.451185e-06,-6.208952e-08,-5.218057e-06,-8.280983e-08,8.6091785e-07,-2.0614014e-07,-5.482958e-06,2.3010793e-06,-9.34756e-08,2.2455463e-06,4.6209338e-05,-5.196063e-05,6.69144e-06,-6.416176e-07,-5.751373e-05
GSM1594313,2.3031723e-07,7.8996716e-05,-3.6313937e-05,-1.056162e-08,-0.00019484006,6.429457e-05,1.6545333e-05,4.694601e-05,1.3575578e-06,-6.377716e-07,1.6885548e-05,-6.6299426e-06,-6.4580433e-07,-5.757615e-06,-8.584964e-08,7.1243164e-07,1.2828802e-07,-8.470493e-06,2.2316224e-06,-9.090917e-08,2.2460858e-06,4.9452854e-05,-4.5265308e-05,5.77107e-06,-6.183198e-07,-5.8940892e-05
GSM1594516,5.230826e-07,7.2096256e-05,-3.7008118e-05,-1.22478525e-08,-0.00019312851,6.335225e-05,1.6585625e-05,3.769126e-05,1.2562734e-06,-5.427259e-07,1.5559444e-05,-7.6605365e-06,4.5187778e-07,-5.6074136e-06,-9.390767e-08,9.31886e-07,-1.9077996e-07,-9.593847e-06,2.2482798e-06,-9.688392e-08,2.0571179e-06,4.8342983e-05,-4.9003287e-05,6.428072e-06,-6.226053e-07,-5.527261e-05
GSM1594549,7.3351845e-07,9.451009e-05,-3.3802535e-05,-1.2252457e-08,-0.00020020393,6.601938e-05,1.7030621e-05,4.7381232e-05,1.3273506e-06,-8.234037e-07,1.5896823e-05,-1.2080943e-05,-2.1491998e-07,-6.379255e-06,-7.891251e-08,7.630864e-07,-1.5319198e-08,-7.749888e-06,2.21047e-06,-8.405481e-08,2.0544312e-06,4.0425864e-05,-4.650367e-05,6.7187634e-06,-6.039654e-07,-5.627956e-05
GSM1594584,7.8565927e-07,7.485633e-05,-3.6920046e-05,-1.1620134e-08,-0.0001960852,6.970644e-05,1.5389145e-05,4.276431e-05,1.2819593e-06,-6.186797e-07,1.6967912e-05,-1.0205839e-05,3.1466314e-08,-6.9595685e-06,-9.369741e-08,7.278748e-07,-6.1922684e-08,-6.2891313e-06,2.2038105e-06,-9.092758e-08,2.16503e-06,7.6739714e-05,-4.986338e-05,6.848655e-06,-6.2937335e-07,-5.934654e-05
GSM1594590,8.685116e-07,7.668296e-05,-3.8816255e-05,-1.1615084e-08,-0.00018476443,7.111731e-05,1.43204525e-05,5.0563754e-05,1.271963e-06,-5.0103284e-07,1.5903888e-05,-9.260142e-06,-3.671544e-07,-4.136414e-06,-8.3767155e-08,8.643066e-07,-3.6563173e-07,-5.773534e-06,2.258598e-06,-9.17455e-08,2.1902229e-06,5.5438988e-05,-5.212304e-05,6.524521e-06,-6.454853e-07,-5.7754543e-05
GSM1594597,7.1172553e-07,8.13994e-05,-3.779507e-05,-1.1620456e-08,-0.00018619478,7.074755e-05,1.4853669e-05,4.9767215e-05,1.2320107e-06,-6.8867564e-07,1.6305978e-05,-1.1315497e-05,-9.836743e-08,-5.7415355e-06,-8.884033e-08,8.7529816e-07,-3.0579164e-07,-6.7265432e-06,2.3351229e-06,-9.693492e-08,2.1739336e-06,4.2970732e-05,-5.1226238e-05,6.8428376e-06,-6.224362e-07,-5.6536508e-05
GSM1594679,5.9144514e-07,9.6050804e-05,-3.7220983e-05,-1.2250172e-08,-0.00020022527,6.453064e-05,1.5954673e-05,4.6768444e-05,1.3561598e-06,-9.4364526e-07,1.6173462e-05,-1.0003535e-05,-2.6381053e-07,-7.56984e-06,-9.333584e-08,6.452966e-07,-1.001944e-07,-8.094458e-06,2.26332e-06,-9.34721e-08,2.0309863e-06,5.140352e-05,-4.876938e-05,5.7111224e-06,-6.207368e-07,-5.663823e-05
GSM1594731,4.0417746e-07,7.014578e-05,-3.8928734e-05,-1.2875789e-08,-0.0001820268,6.549365e-05,1.6590406e-05,4.1409578e-05,1.248814e-06,-5.1008567e-07,1.8441664e-05,-1.0761268e-05,3.4569925e-09,-4.142767e-06,-8.167411e-08,8.1479027e-07,8.865197e-08,-9.074041e-06,2.2143095e-06,-9.084295e-08,2.1449612e-06,6.106269e-05,-4.6581667e-05,5.318017e-06,-6.2332845e-07,-5.6861358e-05
GSM1594755,5.4715036e-07,9.571919e-05,-3.8857845e-05,-1.1605871e-08,-0.00020514049,6.807802e-05,1.41165165e-05,3.9614028e-05,1.2699741e-06,-5.927235e-07,1.3663249e-05,-6.708647e-06,1.4721732e-07,-5.2961846e-06,-8.7983665e-08,8.377623e-07,-2.0147989e-07,-6.238115e-06,2.2081356e-06,-9.0815966e-08,2.0882583e-06,6.5601074e-05,-5.2551113e-05,6.8759045e-06,-6.33066e-07,-5.3190786e-05
GSM1594810,8.201991e-07,8.5758315e-05,-4.775138e-05,-1.1194216e-08,-0.00018333603,6.380491e-05,1.204653e-05,4.6019282e-05,1.3580375e-06,-4.8188457e-07,1.6316406e-05,-9.567671e-06,1.3895822e-08,-8.097985e-06,-8.837439e-08,8.714813e-07,4.7161961e-07,-1.0945621e-05,2.398336e-06,-8.7470035e-08,2.2493246e-06,6.4839565e-05,-4.8985094e-05,6.3019947e-06,-6.356398e-07,-5.7124373e-05
GSM1594865,7.2699004e-07,7.0871145e-05,-3.508636e-05,-1.0983642e-08,-0.00018807915,6.279615e-05,1.6253525e-05,3.7318016e-05,1.2563769e-06,-4.5368844e-07,1.7383982e-05,-1.7132588e-05,-8.319045e-07,-4.398672e-06,-9.617777e-08,6.694588e-07,-1.1488019e-08,-6.539855e-06,2.1513092e-06,-9.776631e-08,2.0960833e-06,6.5602326e-05,-4.522941e-05,5.458953e-06,-6.088591e-07,-5.7688147e-05
