ind,Metabolism of RNA,Reproduction,Metabolism of proteins,Extracellular matrix organization,Digestion and absorption,DNA Repair,Cell Cycle,Gene expression (Transcription),Immune System,Vesicle-mediated transport,Mitophagy,Organelle biogenesis and maintenance,Signal Transduction,Muscle contraction,Neuronal System,Chromatin organization,Cellular responses to external stimuli,Circadian Clock,Hemostasis,Programmed Cell Death,Transport of small molecules,Disease,DNA Replication,Metabolism,Developmental Biology,Cell-Cell communication
GSM1594226,-0.00011308257,-1.7633478e-06,-6.1449355e-06,-1.563735e-06,-2.048718e-06,3.6423866e-05,-4.01476e-06,8.4313666e-05,-4.255966e-07,5.1210144e-08,-4.540933e-08,5.1433634e-08,1.9333405e-05,-2.2755181e-07,1.483332e-06,9.877016e-07,0.00011140142,4.6677197e-08,-8.807299e-06,1.4705662e-06,-7.418047e-06,1.33555e-05,-1.9051267e-06,-2.0992527e-05,8.87157e-06,1.2749165e-06
GSM1594260,-0.000115899486,-1.7056532e-06,-7.758926e-06,-1.414015e-06,-2.07921e-06,3.8610084e-05,-3.3365998e-06,8.670867e-05,-1.3642467e-06,5.5239635e-08,-4.2672518e-08,1.1277115e-07,3.3306165e-05,-2.0451836e-07,1.4978356e-06,1.0283533e-06,0.0001044962,4.7745562e-08,-8.590315e-06,1.7483213e-06,-7.1351337e-06,1.4638274e-05,-2.0725347e-06,-2.0680904e-05,7.838544e-06,1.1601778e-06
GSM1594264,-0.0001191527,-1.7347636e-06,-1.0397178e-05,-1.4124727e-06,-1.9495074e-06,3.6397327e-05,-3.1175464e-06,8.599357e-05,-2.0167972e-06,5.7390885e-08,-4.2196405e-08,9.66108e-08,2.3825849e-05,-1.9021795e-07,1.4887485e-06,1.0160054e-06,0.00010366227,4.8256958e-08,-8.788234e-06,1.4696589e-06,-7.2348444e-06,1.5647984e-05,-2.1036522e-06,-2.1286796e-05,8.007274e-06,1.184884e-06
GSM1594266,-0.00011697794,-1.7426744e-06,-9.666195e-06,-1.2422677e-06,-2.0060763e-06,3.747357e-05,-3.7932482e-06,8.664633e-05,-1.437533e-06,5.624633e-08,-3.9590105e-08,1.0654479e-07,1.5124246e-05,-1.9975327e-07,1.4739658e-06,1.0426779e-06,0.00010354616,4.6659423e-08,-8.075097e-06,1.4516885e-06,-7.086446e-06,1.4876105e-05,-2.0357218e-06,-1.7701634e-05,1.194269e-05,1.022809e-06
GSM1594346,-0.00011186351,-1.6679393e-06,-5.377334e-06,-1.5140841e-06,-1.943053e-06,4.044821e-05,-4.323351e-06,8.749713e-05,-2.077991e-06,5.7207618e-08,-4.2696247e-08,1.6913648e-07,3.48113e-05,-2.386648e-07,1.3233791e-06,1.0344507e-06,0.00010581338,5.0958267e-08,-8.815043e-06,1.5862784e-06,-7.5045627e-06,1.5207158e-05,-2.2338224e-06,-1.3866558e-05,2.5364038e-06,1.2228597e-06
GSM1594395,-0.000115187526,-1.735453e-06,-7.669702e-06,-1.5197392e-06,-2.0662424e-06,3.9063518e-05,-3.497453e-06,8.405711e-05,-1.9886836e-06,5.4840815e-08,-4.3294452e-08,8.735601e-08,2.9989875e-05,-2.0024103e-07,1.4525681e-06,9.370994e-07,9.364096e-05,4.6666933e-08,-8.628661e-06,1.612229e-06,-7.26071e-06,1.52478815e-05,-1.8196627e-06,-1.4961366e-05,6.101125e-06,1.1663184e-06
GSM1594584,-0.00011643248,-1.5954738e-06,-9.905302e-06,-1.3467961e-06,-2.2120946e-06,3.6687183e-05,-3.3833219e-06,8.615148e-05,-1.4419863e-06,5.4521887e-08,-4.338252e-08,1.846314e-07,1.761642e-05,-2.3031966e-07,1.4909366e-06,1.1044673e-06,0.000109886234,4.7741455e-08,-8.753974e-06,1.5771709e-06,-7.436539e-06,1.4566958e-05,-2.0431685e-06,-1.9711124e-05,5.987699e-06,1.2229009e-06
GSM1594598,-0.000115014525,-1.7081868e-06,-8.277489e-06,-1.5935259e-06,-2.086704e-06,3.5470515e-05,-3.4692162e-06,8.4201376e-05,-2.115461e-06,5.7763476e-08,-4.2615657e-08,6.320263e-08,2.6330292e-05,-1.4505665e-07,1.5145829e-06,1.0554355e-06,0.00010353214,4.9355908e-08,-8.545777e-06,1.6704805e-06,-7.46972e-06,1.4216888e-05,-2.0609984e-06,-1.6541977e-05,7.0208757e-06,1.1167908e-06
GSM1594639,-0.00011498096,-1.4980968e-06,-8.06467e-06,-1.6040303e-06,-1.9536196e-06,4.1918294e-05,-3.1818988e-06,8.5665866e-05,-1.9149481e-06,5.0155588e-08,-3.867189e-08,9.3564324e-08,3.8603306e-05,-1.9745858e-07,1.4730805e-06,9.381614e-07,9.025216e-05,4.399097e-08,-8.667919e-06,1.652151e-06,-7.094832e-06,1.7183773e-05,-1.4967977e-06,-1.4209728e-05,4.521125e-06,9.574412e-07
GSM1594790,-0.00011634502,-1.4848295e-06,-5.3717263e-06,-1.4925017e-06,-1.972119e-06,3.9599312e-05,-3.678875e-06,8.5849395e-05,-2.7109331e-06,5.1281702e-08,-3.976174e-08,1.7526565e-07,2.1318812e-05,-2.049479e-07,1.4423881e-06,1.0536463e-06,0.000104023835,4.825799e-08,-8.398612e-06,1.5978875e-06,-7.778895e-06,1.5032064e-05,-2.1514857e-06,-1.7571003e-05,1.1176382e-05,1.0324844e-06
