ind,Disease,Metabolism of RNA,Neuronal System,Signal Transduction,Programmed Cell Death,DNA Repair,Mitophagy,Metabolism,Vesicle-mediated transport,Cell Cycle,Digestion and absorption,Circadian Clock,Cellular responses to external stimuli,Reproduction,Chromatin organization,Extracellular matrix organization,Gene expression (Transcription),Developmental Biology,Transport of small molecules,DNA Replication,Hemostasis,Metabolism of proteins,Immune System,Muscle contraction,Organelle biogenesis and maintenance,Cell-Cell communication
GSM1594221,-8.479666e-05,-2.984561e-06,3.5826074e-06,1.710488e-05,-9.80862e-07,-8.789148e-05,8.1751416e-05,-2.5615805e-05,2.8949185e-05,-3.0978943e-06,2.0898275e-07,-3.2839984e-05,-9.9099816e-05,2.424732e-05,4.4249722e-07,1.1682469e-06,-5.0866307e-05,-4.173124e-06,1.99099e-06,-2.9188295e-06,8.133509e-06,-0.00020393974,-0.0013444582,7.0507112e-06,-4.413366e-07,1.1215981e-06
GSM1594254,-8.709366e-05,-7.317731e-06,2.6897108e-06,2.0761296e-05,-1.1538439e-06,-8.993142e-05,8.2205624e-05,-2.1689497e-05,3.0190504e-05,-3.70788e-06,2.1538844e-07,-3.6754067e-05,-9.041334e-05,2.3864863e-05,3.7675184e-07,-9.302533e-07,-6.311154e-05,-3.8999683e-06,2.3330763e-06,-3.7907005e-06,7.651452e-06,-0.00021838552,-0.0012463045,7.815927e-06,-4.2566725e-07,1.2855094e-06
GSM1594258,-8.312948e-05,-3.745991e-06,3.4223742e-06,1.9498651e-05,-9.532414e-07,-8.385337e-05,7.945884e-05,-2.3076753e-05,3.0396513e-05,-3.028613e-06,2.246538e-07,-3.0921223e-05,-9.899425e-05,2.342411e-05,5.621444e-07,-2.760847e-06,-5.8328093e-05,-4.1264407e-06,2.2104794e-06,-5.3227204e-06,1.1139851e-05,-0.00020917752,-0.0012821984,7.971446e-06,-3.9039455e-07,1.2183688e-06
GSM1594267,-8.812115e-05,-8.162982e-06,3.6420938e-06,2.0872283e-05,-9.78618e-07,-8.721191e-05,7.883426e-05,-2.3818015e-05,3.332622e-05,-3.5919863e-06,2.2274425e-07,-3.3851455e-05,-0.00010973087,2.3609184e-05,3.882244e-07,-5.7235293e-06,-6.0249007e-05,-3.9906568e-06,2.8162326e-06,-5.119372e-06,8.113603e-06,-0.0002127088,-0.0012552711,7.737975e-06,-3.8456906e-07,1.3074434e-06
GSM1594382,-8.571852e-05,-3.685987e-06,3.8471535e-06,2.203564e-05,-1.1850809e-06,-9.0373134e-05,8.2617276e-05,-1.9750696e-05,2.3762885e-05,-2.995044e-06,2.0006304e-07,-3.504745e-05,-0.00010488568,2.3539847e-05,4.1311606e-07,1.1107062e-06,-5.85417e-05,-4.3622945e-06,3.081392e-06,-5.050686e-06,8.959633e-06,-0.00021073179,-0.001221915,6.771035e-06,-4.8824194e-07,1.2468552e-06
GSM1594395,-8.113815e-05,-1.9235085e-06,4.0171753e-06,1.5344522e-05,-1.1923171e-06,-8.899165e-05,8.068523e-05,-2.8430639e-05,2.957146e-05,-3.3364922e-06,2.0272249e-07,-3.305023e-05,-9.0466354e-05,2.4940688e-05,4.813773e-07,-7.662844e-06,-5.325771e-05,-3.9213596e-06,1.6614896e-06,-4.1856047e-06,1.1078285e-05,-0.00020813353,-0.0012023632,7.2025628e-06,-4.3918604e-07,1.2684872e-06
GSM1594413,-8.3832674e-05,-3.9406696e-06,3.6965134e-06,1.1193247e-05,-7.925856e-07,-8.6347514e-05,8.309209e-05,-1.9183588e-05,2.9773177e-05,-2.932235e-06,2.195213e-07,-2.9690083e-05,-8.538731e-05,2.5512034e-05,5.0280363e-07,-8.781321e-06,-5.877039e-05,-3.8319185e-06,1.6486598e-06,-4.9840205e-06,9.384399e-06,-0.00020740241,-0.001166996,6.429753e-06,-4.6066214e-07,1.3350354e-06
GSM1594574,-8.216834e-05,-1.0666069e-05,3.9113725e-06,2.050277e-05,-8.675731e-07,-8.4516534e-05,7.974639e-05,-3.3426444e-05,3.681291e-05,-2.8569877e-06,2.2506615e-07,-2.9623481e-05,-0.00012417171,2.533083e-05,4.41466e-07,-5.62404e-06,-5.6265184e-05,-3.934605e-06,2.0641237e-06,-6.4154106e-06,1.0359328e-05,-0.0002029258,-0.001277225,7.3001015e-06,-5.0683167e-07,1.2010984e-06
GSM1594579,-8.107427e-05,-1.2579895e-06,3.4608383e-06,1.786762e-05,-1.303873e-06,-8.7675624e-05,8.496159e-05,-1.8003997e-05,3.6847978e-05,-3.2291973e-06,2.0835668e-07,-3.5663263e-05,-9.804502e-05,2.3821236e-05,4.3167321e-07,-1.1118195e-06,-5.1574614e-05,-4.09885e-06,2.0841287e-06,-2.3509238e-06,1.0972009e-05,-0.00020086931,-0.0012340647,7.783708e-06,-4.670212e-07,1.275659e-06
GSM1594588,-8.566094e-05,-6.3486336e-06,3.5318594e-06,1.5453836e-05,-1.0779963e-06,-8.894988e-05,8.1389095e-05,-2.488579e-05,3.058564e-05,-3.2565943e-06,2.2795172e-07,-3.3003915e-05,-8.6623346e-05,2.3371449e-05,4.3093303e-07,-5.218846e-06,-5.9542293e-05,-3.848811e-06,3.0486285e-06,-3.8267017e-06,7.620398e-06,-0.00021884893,-0.0012659945,8.171e-06,-4.2249513e-07,1.2915929e-06
GSM1594659,-8.091936e-05,-1.0990785e-05,3.8104213e-06,1.7876924e-05,-9.0289006e-07,-8.9801295e-05,7.763713e-05,-1.4896687e-05,3.3492248e-05,-3.0599651e-06,1.8733387e-07,-3.0789623e-05,-9.138219e-05,2.400721e-05,5.506047e-07,-8.5683705e-06,-4.949736e-05,-4.06916e-06,1.3760368e-06,-5.1567795e-06,8.780515e-06,-0.00020066576,-0.0012400217,7.5709922e-06,-3.3814177e-07,1.2013467e-06
GSM1594807,-8.887188e-05,7.6853485e-07,3.5879332e-06,2.354259e-05,-1.2368268e-06,-8.7286135e-05,7.933179e-05,-2.4402338e-05,2.738611e-05,-3.103467e-06,2.1278035e-07,-3.4346907e-05,-0.00013039121,2.5253825e-05,5.200103e-07,-1.8680665e-06,-5.502795e-05,-4.2840325e-06,2.1246033e-06,-3.2984726e-06,1.1309391e-05,-0.00019806658,-0.0013569487,7.3211568e-06,-3.8537868e-07,1.1936582e-06
GSM1594917,-8.51976e-05,-3.78805e-06,3.8549892e-06,1.7746857e-05,-8.735443e-07,-8.477996e-05,8.490238e-05,-1.8796502e-05,2.1798873e-05,-2.7176843e-06,1.9633605e-07,-3.190773e-05,-0.00011536133,2.3760234e-05,5.613713e-07,-9.4112465e-06,-5.4783726e-05,-4.121973e-06,1.4749801e-06,-4.743431e-06,7.065808e-06,-0.00020237481,-0.0013913712,7.45603e-06,-3.5992116e-07,1.1256609e-06
GSM1594943,-8.257334e-05,-3.5136275e-06,3.2594746e-06,1.5176646e-05,-1.0980029e-06,-8.114925e-05,8.303024e-05,-1.2421397e-05,3.421845e-05,-3.2818496e-06,2.001831e-07,-3.200766e-05,-0.00012161799,2.442914e-05,4.569193e-07,-5.8673218e-06,-5.1579893e-05,-4.0968102e-06,1.3816062e-06,-6.2479976e-06,1.203857e-05,-0.00020991793,-0.0013596758,8.478981e-06,-3.705187e-07,1.1411869e-06
GSM1595157,-8.933336e-05,-4.962091e-06,3.3550411e-06,1.9058516e-05,-1.0314685e-06,-9.373532e-05,8.247772e-05,-2.5112711e-05,3.0629762e-05,-3.9611846e-06,2.0934151e-07,-3.279818e-05,-6.5688546e-05,2.3713797e-05,3.9074982e-07,-1.7776885e-06,-5.6359386e-05,-4.0702107e-06,2.5470438e-06,-3.0313838e-06,7.430525e-06,-0.00022594487,-0.0011373537,7.3944993e-06,-5.9139614e-07,1.2338663e-06
GSM1595182,-8.238905e-05,-6.74295e-06,2.262215e-06,1.8816421e-05,-9.172928e-07,-8.589891e-05,8.496466e-05,-2.740058e-05,3.4387576e-05,-3.055541e-06,2.1561128e-07,-3.183648e-05,-7.318371e-05,2.3276407e-05,4.87307e-07,-6.0599e-06,-5.2202635e-05,-3.8485246e-06,1.8627089e-06,-4.69155e-06,9.7189295e-06,-0.00021576176,-0.0011317573,7.592261e-06,-2.827033e-07,1.2413583e-06
GSM1595185,-8.612193e-05,-3.491816e-06,3.7218306e-06,1.3759986e-05,-1.0275324e-06,-8.869143e-05,8.350433e-05,-2.4268556e-05,3.263267e-05,-3.120755e-06,2.0323118e-07,-3.3096574e-05,-6.250772e-05,2.5123125e-05,4.5692263e-07,-4.985207e-06,-5.80799e-05,-3.979436e-06,2.7152507e-06,-4.2297115e-06,9.035278e-06,-0.00022350662,-0.0010983845,7.898087e-06,-4.0361485e-07,1.1626362e-06
GSM1594225,-8.163587e-05,2.691897e-06,3.6452163e-06,2.591685e-05,-1.2345571e-06,-8.5810876e-05,7.920309e-05,-2.2003112e-05,2.8626366e-05,-3.3645406e-06,2.0330239e-07,-3.572301e-05,-0.00011047785,2.6113737e-05,3.152857e-07,-1.881898e-06,-5.9312682e-05,-4.0311693e-06,2.658851e-06,-4.662819e-06,5.771819e-06,-0.00020447571,-0.0013191372,7.5210332e-06,-4.63603e-07,1.2013915e-06
GSM1594250,-8.346678e-05,-7.3537794e-06,3.6820984e-06,1.9844998e-05,-1.0397089e-06,-8.6452186e-05,7.750116e-05,-2.5684496e-05,2.6514086e-05,-2.981187e-06,2.0298003e-07,-3.2880493e-05,-0.00011604979,2.5195548e-05,5.506376e-07,1.6873976e-06,-4.7891237e-05,-3.895375e-06,2.2398535e-06,-3.6147494e-06,1.0497226e-05,-0.00021318413,-0.0013067034,7.803517e-06,-3.474449e-07,1.2538673e-06
GSM1594261,-8.47367e-05,-4.599416e-06,3.866131e-06,2.0731484e-05,-1.0037721e-06,-8.785795e-05,8.4406114e-05,-2.7484388e-05,2.8358987e-05,-3.532912e-06,2.0645855e-07,-3.492839e-05,-9.560642e-05,2.4562214e-05,3.985737e-07,-5.2651267e-06,-5.90624e-05,-3.932194e-06,2.2068402e-06,-5.026966e-06,9.101728e-06,-0.0002189342,-0.001263089,7.784116e-06,-3.6626355e-07,1.3007967e-06
GSM1594266,-8.525241e-05,-3.2579626e-06,3.2978687e-06,1.5368254e-05,-1.038712e-06,-8.8308545e-05,8.306486e-05,-2.9013641e-05,2.8270908e-05,-3.9655697e-06,2.067957e-07,-3.4367084e-05,-6.2907704e-05,2.4037812e-05,3.338098e-07,-6.264416e-06,-5.599774e-05,-3.787836e-06,2.380595e-06,-5.9312683e-06,8.911725e-06,-0.00021431601,-0.0012056626,7.516697e-06,-3.8322386e-07,1.2840375e-06
GSM1594304,-8.5481384e-05,-3.7604411e-06,5.151779e-06,1.3512359e-05,-9.719449e-07,-8.608576e-05,8.1060585e-05,-2.460751e-05,2.2839049e-05,-3.0886017e-06,2.131556e-07,-3.544024e-05,-0.00010209787,2.3494502e-05,3.5545963e-07,-2.847406e-06,-6.138649e-05,-3.6485262e-06,2.5032903e-06,-3.0110605e-06,9.466262e-06,-0.00021191196,-0.0012750503,7.859903e-06,-5.2831246e-07,1.2918679e-06
GSM1594335,-9.16441e-05,2.4188782e-06,3.831953e-06,2.38071e-05,-1.050727e-06,-8.858727e-05,8.566247e-05,-2.559253e-05,3.1159165e-05,-2.811335e-06,2.1498933e-07,-3.3728065e-05,-6.746335e-05,2.3956862e-05,4.5489335e-07,1.945833e-06,-6.3348416e-05,-3.6554889e-06,2.9386524e-06,-1.805517e-06,9.592598e-06,-0.00020879497,-0.0012044573,7.859497e-06,-4.5084576e-07,1.367586e-06
GSM1594372,-8.36508e-05,-6.6379685e-06,3.8228245e-06,2.0387368e-05,-8.3905155e-07,-8.401076e-05,8.086165e-05,-2.6734668e-05,3.1721564e-05,-2.8947557e-06,2.1360033e-07,-3.224928e-05,-0.00010448883,2.4844205e-05,5.2481226e-07,-6.1815075e-07,-5.982275e-05,-4.1240173e-06,1.9634283e-06,-3.3837332e-06,1.1041554e-05,-0.00020810154,-0.0012462952,7.221761e-06,-3.049928e-07,1.2408337e-06
GSM1594439,-8.577143e-05,-1.0580541e-06,3.073925e-06,1.959799e-05,-1.168858e-06,-8.906542e-05,8.090792e-05,-2.522761e-05,3.2926768e-05,-3.1997427e-06,2.0327876e-07,-3.361225e-05,-8.670773e-05,2.4416786e-05,4.556432e-07,-1.3909845e-06,-5.859775e-05,-4.366101e-06,1.9945933e-06,-2.6844943e-06,8.218452e-06,-0.00020148787,-0.0012589673,7.6095434e-06,-4.821677e-07,1.2307835e-06
GSM1594582,-8.474447e-05,-4.72893e-07,3.4371574e-06,1.7606453e-05,-1.2639919e-06,-8.8081884e-05,8.49802e-05,-1.5628855e-05,2.6452004e-05,-2.8936927e-06,1.9053581e-07,-3.4583452e-05,-7.102209e-05,2.3990979e-05,4.4669403e-07,-5.225896e-06,-5.3176635e-05,-4.04908e-06,2.2068818e-06,-4.368755e-06,5.2920527e-06,-0.00020576488,-0.001373789,7.2220346e-06,-4.707676e-07,1.191891e-06
