,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Selenoamino acid metabolism,9.682689e-06,8.0,9.682689e-06,-0.13746707,-0.8702105
Formation of xylulose-5-phosphate,9.076158e-06,2.0,9.076158e-06,-0.13772435,0.13538042
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,1.8189626e-08,2.0,1.8189626e-08,-0.14156649,0.13264568
Diseases associated with the TLR signaling cascade,1.4918289e-05,12.0,1.4918289e-05,-0.13524628,-1.5391457
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,0.0,2.0,0.0,-0.1415742,0.1326402
Scavenging of heme from plasma,3.5688024e-07,2.0,3.5688024e-07,-0.14142284,0.13274793
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0.00024005688,2.0,0.00024005688,-0.039748628,0.2051167
ABC transporter disorders,0.00012211078,16.0,0.00012211078,-0.08977814,-2.177299
mTORC1-mediated signalling,3.121343e-05,2.0,3.121343e-05,-0.12833433,0.14206396
Signaling by NOTCH1,0.0005797071,3.0,0.0005797071,0.10432173,0.14003286
Abacavir transmembrane transport,0.0,2.0,0.0,-0.1415742,0.1326402
Platelet calcium homeostasis,3.549309e-06,3.0,3.549309e-06,-0.1400687,-0.033917237
Signaling by NTRKs,0.00011264717,5.0,0.00011264717,-0.09379235,-0.33623707
Common Pathway of Fibrin Clot Formation,7.3755227e-06,2.0,7.3755227e-06,-0.1384457,0.13486697
Beta-catenin independent WNT signaling,0.00021194918,3.0,0.00021194918,-0.051671144,0.029001605
Signaling by VEGF,8.556764e-05,4.0,8.556764e-05,-0.105278745,-0.17678376
Reversal of alkylation damage by DNA dioxygenases,2.4442135e-09,3.0,2.4442135e-09,-0.14157318,-0.034988083
"Transport of bile salts and organic acids, metal ions and amine compounds",9.586591e-06,8.0,9.586591e-06,-0.13750783,-0.87023956
rRNA processing in the mitochondrion,5.2162577e-05,2.0,5.2162577e-05,-0.11944827,0.1483888
Signaling by Retinoic Acid,7.408101e-07,2.0,7.408101e-07,-0.14125997,0.13286385
RNA Polymerase I Chain Elongation,8.6260854e-08,2.0,8.6260854e-08,-0.14153762,0.13266623
Mitotic G1-G1/S phases,7.1723764e-07,4.0,7.1723764e-07,-0.14126998,-0.20240128
Signaling by BMP,9.25769e-06,2.0,9.25769e-06,-0.13764735,0.13543522
Oncogenic MAPK signaling,5.0336996e-05,7.0,5.0336996e-05,-0.12022263,-0.6903074
Digestion of dietary carbohydrate,8.827293e-06,2.0,8.827293e-06,-0.13782991,0.13530527
Assembly of collagen fibrils and other multimeric structures,1.2253142e-05,3.0,1.2253142e-05,-0.13637675,-0.03128942
Deubiquitination,0.0018134357,6.0,0.0018134357,0.6276357,0.009625775
Mitotic Spindle Checkpoint,2.784073e-07,3.0,2.784073e-07,-0.14145611,-0.034904763
Synthesis of IPs in the nucleus,3.5878568e-07,2.0,3.5878568e-07,-0.14142202,0.13274851
Diseases associated with surfactant metabolism,9.176133e-05,8.0,9.176133e-05,-0.10265156,-0.84542984
Transcriptional activation of mitochondrial biogenesis,1.595532e-05,2.0,1.595532e-05,-0.1348064,0.13745733
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",1.9612264e-07,6.0,1.9612264e-07,-0.14149101,-0.53781664
DNA strand elongation,0.00022902309,4.0,0.00022902309,-0.04442886,-0.13347255
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",6.137582e-06,2.0,6.137582e-06,-0.1389708,0.13449322
mRNA decay by 3' to 5' exoribonuclease,1.3129204e-07,2.0,1.3129204e-07,-0.14151852,0.13267982
Diseases associated with glycosylation precursor biosynthesis,0.0,16.0,0.0,-0.1415742,-2.2141657
Signaling by Interleukins,0.007080346,12.0,0.007080346,2.8617153,0.5940056
"TET1,2,3 and TDG demethylate DNA",9.804739e-06,2.0,9.804739e-06,-0.1374153,0.13560037
Degradation of beta-catenin by the destruction complex,1.8894902e-05,3.0,1.8894902e-05,-0.13355951,-0.029284181
Cellular response to hypoxia,0.0048865695,2.0,0.0048865695,1.9311752,1.6079639
Gap junction trafficking and regulation,0.00038983204,3.0,0.00038983204,0.023781914,0.08270692
Recognition of DNA damage by PCNA-containing replication complex,0.00022727452,2.0,0.00022727452,-0.045170553,0.20125754
Receptor Mediated Mitophagy,0.0034543986,2.0,0.0034543986,1.3236874,1.1755714
M Phase,2.8440763e-06,5.0,2.8440763e-06,-0.14036782,-0.36938816
Endosomal Sorting Complex Required For Transport (ESCRT),0.0017868058,2.0,0.0017868058,0.6163401,0.6721018
Signaling by NOTCH3,1.6060825e-06,3.0,1.6060825e-06,-0.14089294,-0.034503914
Defective Mismatch Repair Associated With MLH1,1.8464961e-07,2.0,1.8464961e-07,-0.14149588,0.13269594
"Synthesis of IP2, IP, and Ins in the cytosol",9.3574845e-06,2.0,9.3574845e-06,-0.13760501,0.13546534
Regulation of signaling by NODAL,2.7293261e-05,2.0,2.7293261e-05,-0.12999715,0.1408804
Neddylation,9.5152285e-07,2.0,9.5152285e-07,-0.14117059,0.13292746
Phenylketonuria,0.0,2.0,0.0,-0.1415742,0.1326402
Eukaryotic Translation Initiation,0.0012461419,3.0,0.0012461419,0.38700518,0.34123883
Caspase activation via extrinsic apoptotic signalling pathway,5.892108e-05,3.0,5.892108e-05,-0.11658149,-0.017199717
Fibronectin matrix formation,0.0,2.0,0.0,-0.1415742,0.1326402
Signaling by WNT in cancer,4.128389e-06,11.0,4.128389e-06,-0.13982306,-1.3747743
Transcription-Coupled Nucleotide Excision Repair (TC-NER),4.305141e-05,4.0,4.305141e-05,-0.12331297,-0.18962
Platelet Adhesion to exposed collagen,7.4566024e-06,2.0,7.4566024e-06,-0.13841131,0.13489145
O-linked glycosylation,3.601981e-05,3.0,3.601981e-05,-0.12629558,-0.024113936
eNOS activation and regulation,6.445671e-05,4.0,6.445671e-05,-0.11423343,-0.18315744
Signaling by Activin,1.0731039e-09,2.0,1.0731039e-09,-0.14157376,0.13264051
Signaling by ROBO receptors,1.5755239e-06,9.0,1.5755239e-06,-0.1409059,-1.0402873
G2/M Checkpoints,9.322348e-10,4.0,9.322348e-10,-0.14157382,-0.20261756
Post-transcriptional silencing by small RNAs,5.5703526e-06,2.0,5.5703526e-06,-0.13921142,0.13432196
Metabolism of water-soluble vitamins and cofactors,0.00033476457,11.0,0.00033476457,0.00042379324,-1.2749506
