,root
R-HSA-1643685,-0.6937527
R-HSA-8953854,0.42525753
R-HSA-112316,-0.37032047
R-HSA-162582,-0.2478736
R-HSA-5357801,0.10382701
R-HSA-73894,-0.12849738
R-HSA-5205647,-0.7043674
R-HSA-1430728,-0.3938981
R-HSA-5653656,-0.52463585
R-HSA-1640170,0.015759172
R-HSA-8963743,-0.0131016625
R-HSA-400253,-0.39328623
R-HSA-8953897,1.1316875
R-HSA-1474165,-0.47376555
R-HSA-4839726,0.025369147
R-HSA-1474244,0.15760726
R-HSA-74160,-0.70733345
R-HSA-1266738,-0.33436248
R-HSA-382551,1.0266408
R-HSA-69306,-0.47964898
R-HSA-109582,0.20867339
R-HSA-392499,0.26626483
R-HSA-168256,0.30707258
R-HSA-397014,0.8948286
R-HSA-1852241,0.29759452
R-HSA-1500931,0.32334992
