,R-HSA-382551,R-HSA-1430728,R-HSA-8953897,R-HSA-69306,R-HSA-112316,R-HSA-1500931,R-HSA-5357801,R-HSA-1640170,R-HSA-400253,R-HSA-1852241,R-HSA-5653656,R-HSA-392499,R-HSA-8963743,R-HSA-168256,R-HSA-1474244,R-HSA-162582,R-HSA-74160,R-HSA-73894,R-HSA-1266738,R-HSA-4839726,R-HSA-5205647,R-HSA-8953854,R-HSA-1474165,R-HSA-1643685,R-HSA-109582,R-HSA-397014
TCGA-4C-A93U-01A,-0.023,-0.021,-0.029,-0.007,0.045,-0.065,-0.058,-0.018,-0.008,0.029,-0.026,0.055,-0.034,-0.011,-0.039,-0.035,-0.088,-0.022,-0.081,-0.027,0.022,-0.029,0.015,0.004,-0.009,-0.052
TCGA-BJ-A0Z2-01A,-0.022,-0.022,-0.03,0.0,0.048,-0.065,-0.057,-0.017,-0.008,0.027,-0.027,0.051,-0.035,-0.013,-0.043,-0.04,-0.086,-0.023,-0.083,-0.027,0.022,-0.029,0.015,0.004,-0.011,-0.051
TCGA-BJ-A0Z3-01A,-0.022,-0.023,-0.03,-0.001,0.046,-0.065,-0.056,-0.017,-0.008,0.028,-0.027,0.053,-0.036,-0.005,-0.038,-0.018,-0.091,-0.021,-0.082,-0.027,0.022,-0.029,0.015,0.005,-0.009,-0.051
TCGA-BJ-A0ZA-01A,-0.022,-0.016,-0.03,-0.003,0.048,-0.065,-0.057,-0.017,-0.008,0.028,-0.028,0.045,-0.035,-0.01,-0.038,-0.027,-0.088,-0.023,-0.081,-0.027,0.022,-0.03,0.015,0.005,-0.01,-0.052
TCGA-BJ-A0ZF-01A,-0.024,-0.018,-0.029,-0.002,0.047,-0.065,-0.057,-0.018,-0.008,0.027,-0.03,0.056,-0.04,-0.012,-0.041,-0.03,-0.088,-0.023,-0.081,-0.027,0.022,-0.03,0.015,0.002,-0.012,-0.052
TCGA-BJ-A0ZG-01A,-0.022,-0.021,-0.03,-0.004,0.048,-0.065,-0.057,-0.018,-0.008,0.027,-0.031,0.053,-0.035,-0.01,-0.04,-0.04,-0.09,-0.023,-0.083,-0.027,0.022,-0.03,0.015,0.003,-0.009,-0.052
TCGA-BJ-A0ZH-01A,-0.022,-0.028,-0.029,-0.006,0.047,-0.065,-0.058,-0.017,-0.008,0.029,-0.027,0.051,-0.034,-0.014,-0.039,-0.044,-0.087,-0.023,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.009,-0.05
TCGA-BJ-A18Y-01A,-0.022,-0.023,-0.03,-0.003,0.048,-0.065,-0.057,-0.017,-0.008,0.027,-0.027,0.05,-0.033,-0.011,-0.039,-0.034,-0.086,-0.023,-0.082,-0.027,0.022,-0.029,0.015,0.003,-0.009,-0.051
TCGA-BJ-A18Z-01A,-0.023,-0.02,-0.03,-0.007,0.047,-0.065,-0.057,-0.018,-0.008,0.028,-0.026,0.05,-0.032,-0.011,-0.039,-0.03,-0.086,-0.023,-0.081,-0.027,0.022,-0.03,0.015,0.004,-0.01,-0.051
TCGA-BJ-A28R-11A,-0.022,-0.02,-0.03,-0.004,0.048,-0.065,-0.056,-0.018,-0.008,0.028,-0.027,0.052,-0.035,-0.006,-0.041,-0.024,-0.09,-0.021,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.01,-0.052
TCGA-BJ-A28X-01A,-0.022,-0.019,-0.03,-0.005,0.046,-0.065,-0.056,-0.017,-0.008,0.029,-0.027,0.051,-0.034,-0.006,-0.038,-0.02,-0.086,-0.022,-0.081,-0.027,0.022,-0.028,0.015,0.003,-0.009,-0.051
TCGA-BJ-A28X-11A,-0.022,-0.019,-0.03,-0.004,0.047,-0.065,-0.056,-0.017,-0.008,0.028,-0.026,0.053,-0.034,-0.002,-0.042,-0.011,-0.09,-0.021,-0.081,-0.027,0.022,-0.028,0.015,0.002,-0.01,-0.052
TCGA-BJ-A290-01A,-0.022,-0.021,-0.03,0.0,0.047,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.053,-0.034,-0.011,-0.037,-0.036,-0.082,-0.022,-0.082,-0.027,0.022,-0.029,0.015,0.005,-0.011,-0.052
