,,coef
CHKB,gene_expression,9.88315e-05
LRRC4B,gene_expression,0.00015743796
HLA-A,gene_expression,0.006015019
CNN2,gene_expression,0.0046650036
HSF2,gene_expression,0.0
PRKAA1,gene_expression,0.0007175407
ANXA7,gene_expression,0.0
ASB13,gene_expression,0.001694559
ZNF551,gene_expression,0.0
DNAJB14,gene_expression,0.0
AP4M1,gene_expression,7.8771996e-07
DLG4,gene_expression,0.0012153488
EMB,gene_expression,0.0030179427
BRCC3,gene_expression,0.0063482067
NUP214,gene_expression,0.0073726783
OR6Q1,gene_expression,2.2593385e-06
SGSM1,gene_expression,0.0
SMG8,gene_expression,6.6690122e-06
KCTD10,gene_expression,0.0
AMER3,gene_expression,0.0
PIWIL4,gene_expression,9.042826e-05
GPR149,gene_expression,0.0
GLI1,gene_expression,2.1766442e-05
EMC9,gene_expression,0.0
FOXRED1,gene_expression,0.0
TCFL5,gene_expression,0.0
RNFT1,gene_expression,0.0
FOXJ3,gene_expression,0.0
TAS1R3,gene_expression,0.0006519451
CD82,gene_expression,0.0
SUFU,gene_expression,0.000506785
SRA1,gene_expression,0.0
KRTAP10-8,gene_expression,0.0
CENPO,gene_expression,0.0029690666
COMMD2,gene_expression,0.001628257
ZNF562,gene_expression,0.0
DACH1,gene_expression,0.0
F9,gene_expression,3.2436233e-06
DPH7,gene_expression,0.0017425222
RASSF8,gene_expression,0.0
MTOR,gene_expression,0.0023555916
SIKE1,gene_expression,3.4773028e-13
FSCN3,gene_expression,0.0
L3MBTL2,gene_expression,2.4035171e-05
METTL22,gene_expression,9.966257e-05
RPL15,gene_expression,0.0083992705
BCAR3,gene_expression,0.0
NFKBIA,gene_expression,0.008681428
SLC31A1,gene_expression,0.0
SNX5,gene_expression,3.977768e-05
GHRHR,gene_expression,1.6369579e-05
NCL,gene_expression,0.0
CAPZA2,gene_expression,0.008087292
ORC1,gene_expression,0.0004800696
SLC3A2,gene_expression,0.041564245
CSE1L,gene_expression,0.0
DSPP,gene_expression,2.6341151e-05
OR5A2,gene_expression,0.00026008856
XIAP,gene_expression,0.009995188
NOMO1,gene_expression,0.0
RNF133,gene_expression,0.0
KPNA5,gene_expression,0.0009106216
TULP4,gene_expression,2.8891205e-05
