,coef
R-HSA-110362,0.0047631413
R-HSA-5651801,0.0029536206
R-HSA-73930,0.00018248733
R-HSA-111461,0.0030932103
R-HSA-264870,0.0044456646
R-HSA-351906,0.0062393844
R-HSA-352238,0.0022931355
R-HSA-111469,0.0039204485
R-HSA-111885,0.13531923
R-HSA-111933,0.007203811
R-HSA-112399,0.033939492
R-HSA-110056,0.0010837638
R-HSA-112411,0.015974348
R-HSA-113510,0.008579147
R-HSA-111446,0.004061652
R-HSA-111447,0.0004170273
R-HSA-111448,0.0011962077
R-HSA-139910,0.0011275272
R-HSA-139915,0.009770945
R-HSA-1169091,0.00044797856
R-HSA-1169092,0.00084939325
R-HSA-2025928,1.9665285e-05
R-HSA-1169408,0.0009316978
R-HSA-1222387,0.0
R-HSA-1222449,0.0
R-HSA-1222538,0.0
R-HSA-1222541,0.0
R-HSA-1234158,0.0017079129
R-HSA-1234162,9.300496e-06
R-HSA-1234176,0.001600132
R-HSA-1236973,3.6924597e-05
R-HSA-1236974,1.3447702e-05
R-HSA-1236977,4.2487532e-05
R-HSA-1236978,4.548154e-05
R-HSA-1296041,0.0062443903
R-HSA-141333,0.0
R-HSA-141334,0.0
R-HSA-211227,0.010565123
R-HSA-3371378,0.006504029
R-HSA-69416,0.007420322
R-HSA-141430,0.06385949
R-HSA-141444,0.011260107
R-HSA-1461957,5.638789e-06
R-HSA-1462054,0.000118624965
R-HSA-1482788,0.0012510611
R-HSA-1482798,0.0008046459
R-HSA-1482801,0.0048975344
R-HSA-1482839,0.008593039
R-HSA-1482883,0.001286064
R-HSA-1482922,0.0020929005
R-HSA-1482925,0.005202643
R-HSA-1483076,8.0272024e-05
R-HSA-1483101,0.0
R-HSA-1483115,0.00014886048
R-HSA-1483148,0.0035855558
R-HSA-1483152,0.00026270753
R-HSA-1483166,0.00040743235
R-HSA-1483171,0.0
R-HSA-1483191,0.0051850486
R-HSA-1483196,0.012519255
R-HSA-1483213,0.010209887
R-HSA-1483226,0.0030666015
R-HSA-1483248,0.05225149
R-HSA-1660499,0.15364535
R-HSA-1660502,0.0
R-HSA-1660508,0.0
R-HSA-1660510,0.0
R-HSA-1660514,0.13809434
R-HSA-1660516,0.37698343
R-HSA-1660517,0.004110022
R-HSA-1660524,0.0
R-HSA-1660537,0.0
R-HSA-6814848,0.16916023
R-HSA-8847453,0.077172115
R-HSA-1362277,0.0060382495
R-HSA-1362300,0.003897052
R-HSA-159424,6.7257497e-07
R-HSA-173599,1.0769314e-05
R-HSA-174403,1.0437776e-05
R-HSA-159227,0.00061851955
R-HSA-159230,0.0062006335
R-HSA-159231,0.0031035282
R-HSA-159740,0.00055604195
R-HSA-159763,0.00017087547
R-HSA-159782,0.0013173403
R-HSA-1606341,0.0018585816
R-HSA-1810476,0.00080705
R-HSA-1614517,0.0001107884
R-HSA-162594,0.00017678962
R-HSA-162599,0.00053939363
R-HSA-164952,0.011852456
R-HSA-176033,0.0015929415
R-HSA-176034,0.0002059944
R-HSA-177243,0.0066273296
R-HSA-180534,0.002255172
R-HSA-180585,0.0010743113
R-HSA-180689,0.0023181518
R-HSA-2022854,0.049339607
R-HSA-2022857,0.011684035
R-HSA-1971475,0.01317251
R-HSA-2022928,0.0043379297
R-HSA-2024096,0.0033210847
R-HSA-2426168,0.12944347
R-HSA-166020,2.240279e-05
R-HSA-166166,0.11329079
R-HSA-445989,0.0043760254
R-HSA-450294,0.0043558613
R-HSA-167826,0.00023995548
R-HSA-167827,0.0021590665
R-HSA-166786,0.00012316095
R-HSA-173736,6.859485e-05
R-HSA-975155,0.013531968
R-HSA-168927,0.023946041
R-HSA-9013957,0.0043464666
R-HSA-9013973,3.9256593e-06
R-HSA-9014325,0.012514706
R-HSA-168276,0.0037395286
R-HSA-168277,0.0
R-HSA-168268,0.0
R-HSA-168270,0.0
R-HSA-168271,0.0025555796
R-HSA-168273,0.07060668
R-HSA-168274,0.00090902206
R-HSA-168275,0.0
R-HSA-5250955,0.008512769
R-HSA-5250958,5.4084476e-10
R-HSA-5250968,0.009276701
R-HSA-5250971,0.00056415464
R-HSA-5250981,4.120481e-06
R-HSA-5250982,2.3847685e-10
R-HSA-5250989,0.007079593
R-HSA-5250992,0.029818257
R-HSA-174084,0.0062769153
R-HSA-174178,0.021289635
R-HSA-176407,0.012380031
R-HSA-176814,0.002186373
R-HSA-174417,0.006055286
R-HSA-2022870,0.0028863556
R-HSA-2022923,1.8373234e-05
R-HSA-2024101,0.014038377
R-HSA-171319,0.035436254
R-HSA-629602,7.614977e-06
R-HSA-3249367,6.901552e-06
R-HSA-3270619,8.827116e-06
R-HSA-1839124,0.0068349005
R-HSA-1839126,0.00019219825
R-HSA-187015,0.5246409
R-HSA-167021,0.003429847
R-HSA-177504,0.12987342
R-HSA-187687,0.026919888
R-HSA-198203,0.049414683
R-HSA-198725,0.15895724
R-HSA-198745,0.034947634
R-HSA-198765,0.007730279
R-HSA-190239,0.02902314
R-HSA-190241,0.062329087
R-HSA-190242,0.058899965
R-HSA-190322,0.036326896
R-HSA-190861,0.00012881655
R-HSA-190873,8.692218e-06
R-HSA-6807047,0.0047345627
R-HSA-6807062,0.03008637
R-HSA-191647,7.0256436e-05
R-HSA-192105,0.030641897
R-HSA-209543,0.00019941712
R-HSA-209560,0.00032752828
R-HSA-193634,0.00011913215
