ind,Transport of small molecules,Metabolism,Cellular responses to external stimuli,DNA Replication,Neuronal System,Cell-Cell communication,Programmed Cell Death,Cell Cycle,Circadian Clock,Organelle biogenesis and maintenance,Vesicle-mediated transport,Metabolism of proteins,Digestion and absorption,Immune System,Extracellular matrix organization,Signal Transduction,Gene expression (Transcription),DNA Repair,Developmental Biology,Chromatin organization,Mitophagy,Metabolism of RNA,Reproduction,Disease,Hemostasis,Muscle contraction
TCGA-4C-A93U-01A,-0.00042577612,0.0007325462,-0.00011308756,-0.00053343753,-4.2796913e-05,-6.094626e-05,2.9338205e-05,-0.00018734178,4.8986644e-06,-2.3193346e-05,-0.00017650057,-0.0015350746,-4.7670113e-05,-0.0005750799,-0.0013393662,0.0010654319,-0.00052768236,0.00034056738,1.8960457e-06,0.00016584207,4.7976308e-05,-0.0029212271,7.5788106e-05,0.00013904602,0.0013119971,0.00026469902
TCGA-BJ-A0Z2-01A,-0.00051172805,0.0005922723,-5.4481032e-05,-0.0010981956,4.832594e-05,-5.2294778e-05,-0.0001113776,-0.0003168738,4.437919e-06,-5.8718502e-05,-0.00015597291,-0.0010791491,-4.483142e-05,-0.0004876356,-0.00096813065,0.0005033513,-0.0007967441,0.00041990046,8.874925e-05,0.00018318654,5.4897886e-05,-0.002974309,7.2790186e-05,9.8452685e-05,0.0009590742,0.00021382596
TCGA-BJ-A0Z3-01A,-0.0004571381,0.00038982992,-9.9732875e-05,-0.0009693302,-1.0099243e-06,-5.479757e-05,-0.00024041493,-0.00023674751,4.3332334e-06,-4.1416286e-05,-0.00015482552,-0.0013323494,-2.1481412e-05,-0.000751774,-0.0014467805,0.0034212407,-0.00013726293,0.00023626986,5.8799385e-05,0.00018154214,5.4497996e-05,-0.0029928095,8.266266e-05,0.00018488667,0.001294157,0.00018769433
TCGA-BJ-A0ZA-01A,-0.0004898528,0.001381443,-6.9291884e-05,-0.00086417416,5.4918633e-05,-4.85971e-05,-2.1457927e-05,-0.00025266834,3.3488602e-06,-3.9005434e-05,-0.00012597015,-0.0003467421,-4.3961372e-05,-0.00058751705,-0.0014171216,0.002161368,-0.0004903831,0.0004285411,1.5437414e-05,0.00017826102,5.4549295e-05,-0.0031706283,7.6516495e-05,0.00017791691,0.0010254757,0.00023783451
TCGA-BJ-A0ZF-01A,-0.00028094172,0.0010556995,-0.00014255023,-0.00093701296,4.2656935e-05,-4.0756167e-05,-0.00016186429,-0.00014704147,2.844217e-06,-5.2945594e-05,-5.8632417e-05,-0.001670297,4.7322155e-05,-0.0005306552,-0.0011488447,0.0017525876,-0.00044437908,0.0004163549,2.5961865e-05,0.0001859097,5.3635602e-05,-0.0031494214,6.8754205e-05,-8.156704e-05,0.00077918544,0.00024301176
TCGA-BJ-A0ZG-01A,-0.00048529488,0.0007199136,-6.026806e-05,-0.00073999894,5.3571235e-05,-5.0942002e-05,-0.00016937108,-0.0001824519,3.07021e-06,-5.783714e-05,-4.6570316e-05,-0.0013515141,-2.9108069e-05,-0.00060686795,-0.0011879267,0.0004144023,-0.00029989303,0.0003790209,9.3565766e-05,0.00018041208,5.3414547e-05,-0.0030580019,7.4040836e-05,5.9837366e-05,0.0011879788,0.00023287836
TCGA-BJ-A0ZH-01A,-0.00045923388,-0.00021658323,-0.0001353362,-0.00060293806,1.4217289e-05,-6.432683e-05,-3.5929502e-06,-0.00026751426,3.7081998e-06,-2.3145873e-05,-0.00016074155,-0.0010412838,-4.637402e-05,-0.00045613534,-0.0013210712,-4.7819627e-05,-0.00066517486,0.00043366497,1.542403e-05,0.00018218355,5.0277147e-05,-0.003043613,6.908272e-05,1.6083084e-05,0.0012233247,0.00011807897
TCGA-BJ-A18Y-01A,-0.00047631777,0.00035695042,-8.306032e-05,-0.0008253632,5.5829543e-05,-5.6529214e-05,-0.00010471461,-0.00024067205,3.1460625e-06,-5.160694e-05,-0.00015611174,-0.000995209,-7.7767014e-05,-0.00056748453,-0.0013437367,0.0012474627,-0.0007147489,0.00044222985,8.0765596e-05,0.00017887415,5.2522373e-05,-0.0029940305,6.7927744e-05,3.6297748e-05,0.0011907556,0.00018141298
TCGA-BJ-A18Z-01A,-0.00042600365,0.0008094979,-0.00010069544,-0.00052038435,9.483493e-06,-6.6371e-05,-0.00014226539,-0.00022975555,5.000457e-06,-3.5542984e-05,-0.00018084356,-0.00094017404,-8.200477e-05,-0.00055329467,-0.0013417138,0.0018199873,-0.0008170129,0.00036297657,2.8715467e-05,0.00017614615,5.2408977e-05,-0.0030564182,7.653039e-05,0.00017159744,0.0010406711,0.00018239996
TCGA-BJ-A28R-11A,-0.00048130995,0.00082765333,-4.6803525e-05,-0.0007490597,5.4938548e-05,-4.7298643e-05,-0.0002415598,-0.00021943018,2.4704664e-06,-3.2032163e-05,-0.00014732145,-0.0011891417,-3.109998e-05,-0.0007345108,-0.0010846978,0.0026313842,-0.00028289907,0.00023312878,2.900391e-05,0.00018130906,5.782884e-05,-0.003024018,7.747096e-05,-1.2150002e-05,0.0011066829,0.0002430264
