,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
5-Phosphoribose 1-diphosphate biosynthesis,1.4138071e-06,2.0,1.4138071e-06,-0.26811224,-0.024276694
ABC transporters in lipid homeostasis,0.0011686452,2.0,0.0011686452,-0.24859188,-0.010163005
ADP signalling through P2Y purinoceptor 1,0.020575121,2.0,0.020575121,0.075954884,0.224492
ADP signalling through P2Y purinoceptor 12,0.021094235,2.0,0.021094235,0.08463635,0.2307689
AKT phosphorylates targets in the cytosol,0.10863009,2.0,0.10863009,1.5485538,1.289216
AKT phosphorylates targets in the nucleus,0.0022835436,2.0,0.0022835436,-0.22994673,0.0033178774
AKT-mediated inactivation of FOXO1A,0.00014724213,2.0,0.00014724213,-0.26567346,-0.022513388
ALKBH2 mediated reversal of alkylation damage,0.001574022,2.0,0.001574022,-0.24181251,-0.0052613523
ALKBH3 mediated reversal of alkylation damage,0.00019500336,2.0,0.00019500336,-0.2648747,-0.021935876
AMER1 mutants destabilize the destruction complex,0.0010203482,3.0,0.0010203482,-0.25107196,-0.6164706
AMPK inhibits chREBP transcriptional activation activity,0.015175275,2.0,0.015175275,-0.014350162,0.15919931
APC/C-mediated degradation of cell cycle proteins,0.0048190644,5.0,0.0048190644,-0.18754362,-1.7795668
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,0.0004107616,2.0,0.0004107616,-0.26126644,-0.019327013
ARL13B-mediated ciliary trafficking of INPP5E,0.0115703875,2.0,0.0115703875,-0.074636966,0.115610525
ATF4 activates genes,0.016706707,2.0,0.016706707,0.01126095,0.17771676
ATF6 (ATF6-alpha) activates chaperone genes,0.023401484,2.0,0.023401484,0.12322194,0.2586672
ATP sensitive Potassium channels,2.4552073e-05,2.0,2.4552073e-05,-0.2677253,-0.023996923
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.039877683,2.0,0.039877683,0.39876384,0.45789057
"AXIN mutants destabilize the destruction complex, activating WNT signaling",0.00014513706,3.0,0.00014513706,-0.26570866,-0.62705326
Abacavir metabolism,0.028973754,2.0,0.028973754,0.21641055,0.3260448
Abacavir transmembrane transport,1.2160657e-05,2.0,1.2160657e-05,-0.2679325,-0.02414673
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,0.0011550904,2.0,0.0011550904,-0.24881856,-0.010326922
Acetylation,0.0,2.0,0.0,-0.26813588,-0.024293775
Acetylcholine Neurotransmitter Release Cycle,8.266946e-08,2.0,8.266946e-08,-0.2681345,-0.024292793
Acetylcholine binding and downstream events,7.6149777e-06,2.0,7.6149777e-06,-0.26800853,-0.024201721
Acetylcholine regulates insulin secretion,0.023897685,2.0,0.023897685,0.13152023,0.26466706
Acrosome Reaction,0.0,2.0,0.0,-0.26813588,-0.024293775
Activated NOTCH1 Transmits Signal to the Nucleus,0.0044236663,2.0,0.0044236663,-0.1941561,0.029195359
Activation and oligomerization of BAK protein,0.000295579,2.0,0.000295579,-0.2631927,-0.020719755
Activation of ATR in response to replication stress,0.002887072,2.0,0.002887072,-0.21985355,0.01061549
Activation of BH3-only proteins,0.006057647,6.0,0.006057647,-0.16683002,-2.3691046
Activation of C3 and C5,0.0,2.0,0.0,-0.26813588,-0.024293775
Activation of Matrix Metalloproteinases,0.0009033231,2.0,0.0009033231,-0.25302902,-0.013371178
Activation of NMDA receptor and postsynaptic events,0.00084979663,3.0,0.00084979663,-0.2539242,-0.6185328
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,0.00028805123,2.0,0.00028805123,-0.26331863,-0.020810781
Activation of RAC1,4.1664716e-06,2.0,4.1664716e-06,-0.2680662,-0.024243396
Activation of SMO,2.3137349e-05,2.0,2.3137349e-05,-0.26774892,-0.024014005
Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.013968847,2.0,0.013968847,-0.034526017,0.14461169
Activation of kainate receptors upon glutamate binding,0.0006117578,3.0,0.0006117578,-0.25790507,-0.621411
Activation of the pre-replicative complex,0.00082272483,2.0,0.00082272483,-0.25437692,-0.01434574
"Activation, myristolyation of BID and translocation to mitochondria",0.01977889,2.0,0.01977889,0.06263902,0.21486431
"Activation, translocation and oligomerization of BAX",0.008171339,2.0,0.008171339,-0.13148141,0.07451064
Adherens junctions interactions,0.0024381017,2.0,0.0024381017,-0.22736196,0.005186729
Adrenaline signalling through Alpha-2 adrenergic receptor,0.00055059354,2.0,0.00055059354,-0.25892797,-0.017636223
"Adrenaline,noradrenaline inhibits insulin secretion",0.0587031,2.0,0.0587031,0.7135932,0.68551964
Advanced glycosylation endproduct receptor signaling,0.00010704539,2.0,0.00010704539,-0.26634568,-0.022999428
Aflatoxin activation and detoxification,0.010326357,2.0,0.010326357,-0.095441684,0.10056822
Agmatine biosynthesis,0.005807775,2.0,0.005807775,-0.17100878,0.045931414
Amine Oxidase reactions,0.0,3.0,0.0,-0.26813588,-0.62880814
Amino Acid conjugation,6.7257474e-07,2.0,6.7257474e-07,-0.26812464,-0.024285655
Amino acid transport across the plasma membrane,3.8072805e-05,2.0,3.8072805e-05,-0.26749918,-0.023833428
Amplification of signal from the kinetochores,0.011260108,2.0,0.011260108,-0.07982597,0.111858755
Amyloid fiber formation,0.021993622,2.0,0.021993622,0.09967738,0.24164394
