,,root
CHKB,gene_expression,0.14003459
LRRC4B,gene_expression,-0.07753694
HLA-A,gene_expression,-0.008575405
CNN2,gene_expression,0.062889315
HSF2,gene_expression,-0.012107272
PRKAA1,gene_expression,0.08233308
ANXA7,gene_expression,0.061273776
ASB13,gene_expression,-0.14953186
ZNF551,gene_expression,-0.17922276
DNAJB14,gene_expression,0.17188525
AP4M1,gene_expression,-0.014364196
DLG4,gene_expression,0.06884011
EMB,gene_expression,-0.07492549
BRCC3,gene_expression,0.07849075
NUP214,gene_expression,0.08839653
OR6Q1,gene_expression,0.06913048
SGSM1,gene_expression,0.06178393
SMG8,gene_expression,-0.0008013859
KCTD10,gene_expression,-1.49802e-14
AMER3,gene_expression,-0.030966412
PIWIL4,gene_expression,0.055904076
GPR149,gene_expression,0.13495195
GLI1,gene_expression,-0.046401966
EMC9,gene_expression,0.043887682
FOXRED1,gene_expression,-0.0752475
TCFL5,gene_expression,0.092205256
RNFT1,gene_expression,-0.040307548
FOXJ3,gene_expression,0.095933795
TAS1R3,gene_expression,-0.1124215
CD82,gene_expression,-0.0009119584
SUFU,gene_expression,0.04126694
SRA1,gene_expression,0.13739495
KRTAP10-8,gene_expression,0.026389763
CENPO,gene_expression,-0.06509628
COMMD2,gene_expression,-0.07810349
ZNF562,gene_expression,0.12807962
DACH1,gene_expression,-0.112433225
F9,gene_expression,0.07906713
DPH7,gene_expression,0.09871356
RASSF8,gene_expression,0.06961999
MTOR,gene_expression,0.108116664
SIKE1,gene_expression,-7.160399e-11
FSCN3,gene_expression,-0.11230647
L3MBTL2,gene_expression,0.007700947
METTL22,gene_expression,0.16578992
RPL15,gene_expression,0.0008534488
BCAR3,gene_expression,-0.040265385
NFKBIA,gene_expression,-0.090779684
SLC31A1,gene_expression,0.035977375
SNX5,gene_expression,-0.010190807
GHRHR,gene_expression,-0.1338358
NCL,gene_expression,0.060313046
CAPZA2,gene_expression,0.06797508
ORC1,gene_expression,0.08213522
SLC3A2,gene_expression,-0.03604776
CSE1L,gene_expression,0.002458555
DSPP,gene_expression,0.055124976
OR5A2,gene_expression,-0.22218238
XIAP,gene_expression,0.10444562
NOMO1,gene_expression,-0.02852263
RNF133,gene_expression,0.009380569
KPNA5,gene_expression,-0.09609484
