,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,1.4138069e-06,2.0,1.4138069e-06,-0.26811224,-0.024276694,2
A tetrasaccharide linker sequence is required for GAG synthesis,0.01317251,14.0,0.01317251,-0.06420544,-0.09842661,2
A1CF,2.0509085e-06,1.0,2.0509085e-06,-0.17015159,-0.0330802,1
AAAS,0.01869328,18.0,0.01869328,0.5333233,-2.8633573,1
AACS,0.0017219167,1.0,0.0017219167,-0.105421625,0.017888874,1
AADAC,0.0,0.0,0.0,-0.17022876,0.16592968,1
AADACL2,0.0,0.0,0.0,-0.17022876,0.16592968,1
AAGAB,0.0,0.0,0.0,-0.17022876,0.16592968,1
AAMP,0.0,0.0,0.0,-0.17022876,0.16592968,1
AANAT,8.290574e-05,1.0,8.290574e-05,-0.16710848,-0.030684032,1
AARSD1,0.0,0.0,0.0,-0.17022876,0.16592968,1
AASDH,0.0,0.0,0.0,-0.17022876,0.16592968,1
AASDHPPT,0.0,0.0,0.0,-0.17022876,0.16592968,1
AASS,0.0053342828,1.0,0.0053342828,0.030535659,0.12494313,1
AATF,3.76955e-06,1.0,3.76955e-06,-0.17008689,-0.03302927,1
ABC transporter disorders,0.063498326,16.0,0.063498326,0.2942182,-1.9302833,4
ABC transporters in lipid homeostasis,0.0011686442,2.0,0.0011686442,-0.2930056,-0.11734053,2
ABC-family proteins mediated transport,0.001181851,3.0,0.001181851,-0.45997122,-0.059692547,5
ABCA13,0.00017132564,1.0,0.00017132564,-0.16378064,-0.028063659,1
ABCA2,0.0006576158,1.0,0.0006576158,-0.14547832,-0.013652219,1
ABCA3,0.001373743,2.0,0.001373743,-0.118525706,-0.19150005,1
ABCA7,0.0018188831,1.0,0.0018188831,-0.10177214,0.020762524,1
ABCA8,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCB10,0.00012695398,1.0,0.00012695398,-0.16545065,-0.029378632,1
ABCB4,1.3560676e-06,1.0,1.3560676e-06,-0.17017773,-0.033100795,1
ABCB5,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCB6,2.1484233e-05,1.0,2.1484233e-05,-0.16942018,-0.032504287,1
ABCB7,0.00013523322,1.0,0.00013523322,-0.16513905,-0.029133284,1
ABCB8,1.7428345e-14,1.0,1.7428345e-14,-0.17022876,-0.033140983,1
ABCB9,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCC1,0.02249073,2.0,0.02249073,0.6762465,0.4343123,1
ABCC10,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCC12,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCC4,0.006003602,1.0,0.006003602,0.055726577,0.14477873,1
ABCD1,0.0058272514,4.0,0.0058272514,0.049089335,-0.4576594,1
ABCD2,1.3647564e-05,1.0,1.3647564e-05,-0.16971512,-0.032736532,1
ABCD3,8.621848e-05,1.0,8.621848e-05,-0.1669838,-0.030585853,1
ABCD4,0.019442614,1.0,0.019442614,0.5615257,0.54305047,1
ABCE1,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCF1,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCF2,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCF3,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABCG1,3.153608e-13,2.0,3.153608e-13,-0.17022876,-0.23221162,1
ABCG2,1.2160667e-05,1.0,1.2160667e-05,-0.16977108,-0.03278059,1
ABHD10,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD13,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD14A,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD14B,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD15,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD16A,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD16B,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD17A,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD17B,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD17C,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABHD3,0.0021365709,1.0,0.0021365709,-0.089815445,0.030177353,1
ABHD4,0.0030405354,1.0,0.0030405354,-0.055793263,0.05696679,1
ABHD5,0.0007058601,1.0,0.0007058601,-0.14366257,-0.012222474,1
ABHD6,0.004231714,1.0,0.004231714,-0.010961307,0.09226797,1
ABHD8,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABI1,0.00082570605,2.0,0.00082570605,-0.13915198,-0.2077414,1
ABI2,0.012849614,2.0,0.012849614,0.3133874,0.14859305,1
ABL1,0.017704997,8.0,0.017704997,0.49612764,-0.901939,1
ABL2,9.0421577e-07,1.0,9.0421577e-07,-0.17019473,-0.033114187,1
ABLIM1,0.002495394,1.0,0.002495394,-0.076310545,0.040811256,1
ABLIM2,0.00077252404,1.0,0.00077252404,-0.14115356,-0.010246838,1
ABR,0.0018555366,3.0,0.0018555366,-0.100392625,-0.37629253,1
ABRA,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABRACL,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABT1,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABTB1,0.0,0.0,0.0,-0.17022876,0.16592968,1
ABTB2,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACAA1,0.003998399,4.0,0.003998399,-0.019742513,-0.51185834,1
ACACA,0.04780855,4.0,0.04780855,1.629124,0.7864772,1
ACACB,0.013859296,3.0,0.013859296,0.35138842,-0.020555178,1
ACAD10,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACAD11,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACAD9,0.002334826,1.0,0.002334826,-0.082353786,0.036052737,1
ACADM,0.0034087868,3.0,0.0034087868,-0.041933518,-0.33026117,1
ACADS,0.0028282562,1.0,0.0028282562,-0.06378274,0.050675787,1
ACADVL,0.007900692,2.0,0.007900692,0.12712663,0.0019292856,1
ACAP2,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACAP3,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACAT2,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACBD3,1.8511078e-05,1.0,1.8511078e-05,-0.16953208,-0.032592405,1
ACBD4,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACBD5,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACBD6,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACCS,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACD,0.0007113279,2.0,0.0007113279,-0.14345679,-0.21113107,1
ACIN1,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACKR2,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACKR3,0.020080404,1.0,0.020080404,0.58553,0.5619517,1
ACKR4,0.00038719218,1.0,0.00038719218,-0.15565616,-0.021666346,1
ACLY,1.17720465e-05,2.0,1.17720465e-05,-0.16978571,-0.23186277,1
ACOT11,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACOT12,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACOT13,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACOT2,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACOT4,0.00027970114,1.0,0.00027970114,-0.15970175,-0.02485189,1
ACOT7,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACOT8,0.010967391,4.0,0.010967391,0.24254686,-0.30532885,1
ACOT9,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACOX1,0.0034943796,4.0,0.0034943796,-0.038712095,-0.5267952,1
ACOX3,0.0034383517,1.0,0.0034383517,-0.0408208,0.068756275,1
ACOXL,0.0029467884,1.0,0.0029467884,-0.059321582,0.05418855,1
ACP1,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACRBP,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACSBG1,7.974816e-07,1.0,7.974816e-07,-0.17019875,-0.033117346,1
ACSF3,0.01773603,1.0,0.01773603,0.49729565,0.49247506,1
ACSL3,0.05889454,1.0,0.05889454,2.0463634,1.712228,1
ACSL6,3.2141113e-05,1.0,3.2141113e-05,-0.16901907,-0.032188464,1
ACSM2A,9.91965e-07,1.0,9.91965e-07,-0.17019144,-0.03311159,1
ACSM4,1.3598829e-07,1.0,1.3598829e-07,-0.17022365,-0.033136956,1
ACSM5,9.698955e-07,1.0,9.698955e-07,-0.17019226,-0.03311223,1
ACSM6,0.00088850915,1.0,0.00088850915,-0.13678828,-0.006809571,1
ACSS2,0.0029394682,2.0,0.0029394682,-0.05959709,-0.14509901,1
ACTA2,0.003575839,2.0,0.003575839,-0.035646234,-0.12623985,1
ACTC1,0.0,0.0,0.0,-0.17022876,0.16592968,1
ACTL6A,0.0011899733,4.0,0.0011899733,-0.12544219,-0.5950874,1
