,,coef
ABHD13,gene_expression,0.0
HACE1,gene_expression,6.4815616e-08
COL5A3,gene_expression,9.1450465e-07
LONP1,gene_expression,0.0
CDH17,gene_expression,0.0
RUNX2,gene_expression,2.0955798e-12
YTHDC1,gene_expression,0.0
VKORC1L1,gene_expression,6.682055e-08
DYNC1I2,gene_expression,2.8807046e-05
NODAL,gene_expression,6.264721e-10
PIP5K1C,gene_expression,5.627673e-05
TP63,gene_expression,0.00043789236
BST1,gene_expression,4.9710387e-18
DTD2,gene_expression,0.0
TXLNA,gene_expression,0.00028296086
YARS2,gene_expression,0.0002991585
CACFD1,gene_expression,9.152949e-28
ATP12A,gene_expression,0.00043600705
WDR83OS,gene_expression,0.0
ZNF248,gene_expression,0.0
ZBTB7B,gene_expression,0.0
SYNGR2,gene_expression,0.0
CDH13,gene_expression,0.0
C11orf1,gene_expression,0.0
XPO7,gene_expression,0.0
GATA1,gene_expression,2.1556689e-11
MGST2,gene_expression,5.0109115e-06
SMIM19,gene_expression,0.0
OR8H3,gene_expression,0.0
LCE2D,gene_expression,6.215085e-06
MAGEL2,gene_expression,0.0
OR11H12,gene_expression,0.0
SULT6B1,gene_expression,0.0
FAM169B,gene_expression,0.0
DPH6,gene_expression,2.3550892e-06
TMEM30A,gene_expression,6.20147e-11
OSTF1,gene_expression,1.2754648e-23
PAX3,gene_expression,3.9179465e-10
PIGH,gene_expression,4.6265214e-08
KRTAP21-2,gene_expression,0.0
PIGT,gene_expression,3.3332472e-30
CYP11B2,gene_expression,8.914689e-09
SYNCRIP,gene_expression,0.0
CSMD3,gene_expression,0.0
ALG9,gene_expression,0.0
GPN3,gene_expression,0.0
TSEN54,gene_expression,1.9305915e-06
MARK1,gene_expression,0.0
MAP2K1,gene_expression,0.00019611823
KRTAP8-1,gene_expression,0.0
OR10X1,gene_expression,1.28980755e-08
ZNF771,gene_expression,0.0
GSR,gene_expression,0.00011176641
EIF4A1,gene_expression,9.175233e-08
OR6P1,gene_expression,0.0
FAM78A,gene_expression,0.0
SATB1,gene_expression,5.012021e-06
GTSF1,gene_expression,0.0
AGXT2,gene_expression,3.2905558e-13
NPC1L1,gene_expression,5.641437e-10
KCNJ2,gene_expression,1.7273591e-10
PPARG,gene_expression,4.3848706e-07
FMNL2,gene_expression,1.0438543e-18
ADAMTS17,gene_expression,2.4313255e-24
KIAA0586,gene_expression,0.0
HLA-E,gene_expression,3.1320036e-14
SERP1,gene_expression,2.0767453e-05
ZC3H13,gene_expression,0.0
FANCI,gene_expression,2.8121925e-05
CCDC6,gene_expression,0.0
PML,gene_expression,0.00011565807
TEX15,gene_expression,0.0
SHOX2,gene_expression,0.0
RNF149,gene_expression,0.0
RIT1,gene_expression,6.0888986e-23
MUC5B,gene_expression,1.2352051e-05
SMYD2,gene_expression,1.8325501e-06
SERINC4,gene_expression,0.0
OR7A17,gene_expression,3.468702e-24
LIG4,gene_expression,3.9931397e-08
APOL2,gene_expression,0.0
GNG2,gene_expression,4.3520443e-15
RRNAD1,gene_expression,0.0
MROH2B,gene_expression,0.0
ARID4A,gene_expression,2.483904e-07
MRPL19,gene_expression,0.00054316944
ELF1,gene_expression,7.565534e-05
TADA2B,gene_expression,8.722325e-09
OR8D4,gene_expression,6.4451144e-15
RNF24,gene_expression,0.0
TFF2,gene_expression,0.0
LSM4,gene_expression,2.601546e-06
BLOC1S6,gene_expression,4.4295334e-06
MAGEC1,gene_expression,0.0
HAGH,gene_expression,0.0
GUCA1A,gene_expression,0.0
RAB9A,gene_expression,2.9486228e-16
RER1,gene_expression,0.0
CYTH2,gene_expression,5.9736463e-05
ZNF346,gene_expression,0.0
GHITM,gene_expression,0.0
STRN3,gene_expression,0.0
ZNF548,gene_expression,0.0
ZBTB49,gene_expression,0.0
MUTYH,gene_expression,1.9744968e-08
ANG,gene_expression,0.0
PIK3CB,gene_expression,3.940043e-05
SLC25A14,gene_expression,2.3621936e-19
TSN,gene_expression,3.3268204e-13
ZNF276,gene_expression,0.0
PSMC4,gene_expression,0.0053922297
REPS1,gene_expression,7.915786e-23
