,coef
R-HSA-110362,6.570995e-09
R-HSA-5651801,7.695974e-05
R-HSA-73930,0.0
R-HSA-111461,1.8734865e-07
R-HSA-264870,1.8659704e-05
R-HSA-351906,3.5396537e-05
R-HSA-352238,4.371905e-06
R-HSA-111469,2.2286905e-07
R-HSA-111885,3.872852e-05
R-HSA-111933,7.4272116e-08
R-HSA-112399,0.0002815713
R-HSA-110056,1.0502259e-08
R-HSA-112411,1.3127361e-05
R-HSA-113510,3.7596078e-07
R-HSA-111446,7.528078e-08
R-HSA-111447,3.049522e-06
R-HSA-111448,4.8712936e-09
R-HSA-139910,1.2185369e-06
R-HSA-139915,2.1824371e-05
R-HSA-1169091,7.682542e-05
R-HSA-1169092,7.93195e-09
R-HSA-2025928,1.201376e-05
R-HSA-1169408,0.0007827845
R-HSA-1222387,0.0
R-HSA-1222449,0.0
R-HSA-1222538,0.0
R-HSA-1222541,0.0
R-HSA-1234158,3.8792576e-05
R-HSA-1234162,2.2529637e-06
R-HSA-1234176,0.0011604503
R-HSA-1236973,2.466136e-06
R-HSA-1236974,0.00048376183
R-HSA-1236977,9.202351e-06
R-HSA-1236978,2.684281e-05
R-HSA-1296041,4.4583176e-05
R-HSA-141333,0.0
R-HSA-141334,0.0
R-HSA-211227,6.253666e-06
R-HSA-3371378,4.779675e-05
R-HSA-69416,0.0009379734
R-HSA-141430,7.0773467e-06
R-HSA-141444,0.0002194152
R-HSA-1461957,2.3635782e-10
R-HSA-1462054,7.0687334e-10
R-HSA-1482788,2.1247108e-06
R-HSA-1482798,1.23503305e-05
R-HSA-1482801,3.6759322e-06
R-HSA-1482839,2.2829257e-05
R-HSA-1482883,1.7946583e-07
R-HSA-1482922,1.3633168e-05
R-HSA-1482925,1.5490274e-05
R-HSA-1483076,5.5218304e-12
R-HSA-1483101,0.0
R-HSA-1483115,7.2804955e-06
R-HSA-1483148,1.6236409e-05
R-HSA-1483152,1.0955177e-07
R-HSA-1483166,1.1216296e-05
R-HSA-1483171,0.0
R-HSA-1483191,1.568972e-06
R-HSA-1483196,9.8553936e-11
R-HSA-1483213,2.392287e-06
R-HSA-1483226,5.56977e-06
R-HSA-1483248,1.8000443e-05
R-HSA-1660499,0.00015787677
R-HSA-1660502,0.0
R-HSA-1660508,0.0
R-HSA-1660510,0.0
R-HSA-1660514,3.715936e-05
R-HSA-1660516,5.3691492e-05
R-HSA-1660517,1.7031301e-05
R-HSA-1660524,0.0
R-HSA-1660537,0.0
R-HSA-6814848,5.729126e-05
R-HSA-8847453,1.1669067e-07
R-HSA-1362277,1.672486e-05
R-HSA-1362300,2.3946195e-06
R-HSA-159424,2.728507e-09
R-HSA-173599,0.0
R-HSA-174403,3.0318052e-08
R-HSA-159227,1.6757247e-05
R-HSA-159230,0.00010496063
R-HSA-159231,3.791043e-05
R-HSA-159740,2.6061362e-12
R-HSA-159763,1.9987293e-07
R-HSA-159782,1.5498752e-06
R-HSA-1606341,7.523828e-05
R-HSA-1810476,0.00015333071
R-HSA-1614517,7.9035845e-09
R-HSA-162594,3.6506611e-07
R-HSA-162599,0.0002958342
R-HSA-164952,0.00030572966
R-HSA-176033,0.00014921968
R-HSA-176034,8.984604e-09
R-HSA-177243,0.00079935853
R-HSA-180534,0.000112364476
R-HSA-180585,6.0462564e-05
R-HSA-180689,3.0980507e-10
R-HSA-2022854,0.00020770483
R-HSA-2022857,0.00030150847
R-HSA-1971475,0.0008510885
R-HSA-2022928,2.2552384e-05
R-HSA-2024096,1.5373085e-05
R-HSA-2426168,4.036009e-05
R-HSA-166020,4.6398384e-08
R-HSA-166166,2.993104e-07
R-HSA-445989,2.5870963e-06
R-HSA-450294,9.1953574e-05
R-HSA-167826,0.0
R-HSA-167827,0.0
R-HSA-166786,6.508592e-07
R-HSA-173736,2.3129195e-14
R-HSA-975155,0.0013175281
R-HSA-168927,6.2839154e-06
R-HSA-9013957,1.9666265e-06
R-HSA-9013973,1.8635388e-05
R-HSA-9014325,0.0004103092
R-HSA-168276,9.1697996e-07
R-HSA-168277,0.0
R-HSA-168268,0.0
R-HSA-168270,0.0
R-HSA-168271,4.4307617e-06
R-HSA-168273,0.00043076827
R-HSA-168274,1.9050185e-06
R-HSA-168275,0.0
R-HSA-5250955,3.7907625e-06
R-HSA-5250958,2.677611e-08
R-HSA-5250968,2.5732525e-08
R-HSA-5250971,5.2533416e-08
R-HSA-5250981,2.0959575e-08
R-HSA-5250982,4.3236832e-06
R-HSA-5250989,4.3341824e-08
R-HSA-5250992,3.904561e-09
R-HSA-174084,0.00071311946
R-HSA-174178,0.00013725169
R-HSA-176407,0.0007090663
R-HSA-176814,0.0013471846
R-HSA-174417,0.00045970554
R-HSA-2022870,0.0020346558
R-HSA-2022923,1.2655888e-05
R-HSA-2024101,0.0012236531
R-HSA-171319,0.00013508016
R-HSA-629602,1.8258626e-05
R-HSA-3249367,3.3881854e-05
R-HSA-3270619,3.121812e-06
R-HSA-1839124,0.00021510207
R-HSA-1839126,2.5147283e-06
R-HSA-187015,2.2070443e-08
R-HSA-167021,1.983978e-05
R-HSA-177504,1.6042846e-05
R-HSA-187687,0.00064031704
R-HSA-198203,2.417485e-05
R-HSA-198725,1.9219853e-05
R-HSA-198745,3.283717e-10
R-HSA-198765,3.194824e-07
R-HSA-190239,6.2024424e-06
R-HSA-190241,8.425368e-08
R-HSA-190242,9.110673e-09
R-HSA-190322,2.8701626e-08
R-HSA-190861,2.2202282e-06
R-HSA-190873,5.277063e-07
R-HSA-6807047,1.1815397e-08
R-HSA-6807062,2.0418458e-06
R-HSA-191647,5.63054e-07
R-HSA-192105,2.0009672e-06
R-HSA-209543,0.0008949468
R-HSA-209560,0.0011628275
R-HSA-193634,2.0007938e-05
R-HSA-209563,1.4315134e-05
R-HSA-159418,9.461516e-08
R-HSA-195399,4.7012284e-07
R-HSA-193048,2.599536e-07
R-HSA-193144,1.8136964e-06
R-HSA-193993,1.5756098e-09
R-HSA-194002,1.252543e-08
R-HSA-196108,6.91875e-06
R-HSA-197264,9.597931e-06
R-HSA-196783,8.076572e-07
R-HSA-6811558,6.3584173e-07
