ind,Circadian Clock,Chromatin organization,Cell Cycle,DNA Repair,Cellular responses to external stimuli,Hemostasis,DNA Replication,Mitophagy,Signal Transduction,Programmed Cell Death,Extracellular matrix organization,Metabolism of RNA,Neuronal System,Vesicle-mediated transport,Disease,Developmental Biology,Cell-Cell communication,Metabolism of proteins,Reproduction,Gene expression (Transcription),Digestion and absorption,Transport of small molecules,Metabolism,Organelle biogenesis and maintenance,Immune System,Muscle contraction
TCGA-BA-4076-01A,-2.9376267e-07,4.348697e-06,4.48888e-05,-0.00010952932,-6.898322e-05,3.988877e-05,-0.00029334106,-9.813134e-05,0.00026479643,3.3603774e-05,-1.0665223e-05,0.00023884054,-2.1696786e-05,-1.7027449e-05,0.00012377223,2.8495253e-05,0.00018125742,-0.0001275672,-2.0530033e-06,-0.00011167123,0.0,-5.9078084e-05,-9.857891e-06,-8.907275e-05,0.00023184776,6.011038e-07
TCGA-BA-5555-01A,-9.707501e-07,4.6761897e-06,3.0855153e-05,-8.9030626e-05,-7.4815085e-05,5.3511034e-05,-0.00030936772,-0.000117659976,0.0002515983,3.287857e-05,-2.0431798e-05,0.00023585158,-2.707742e-05,-4.45141e-05,0.00013364217,4.0790874e-05,0.00019403233,-0.00011954212,-3.4859263e-06,-7.529928e-05,0.0,-6.072684e-05,3.15875e-05,-8.999996e-05,0.00021702802,7.7841696e-07
TCGA-BA-6868-01B,-4.2722002e-07,2.8523382e-06,3.783625e-05,-0.00010545206,-7.513464e-05,5.9769867e-05,-0.0002951413,-0.000120032775,0.0002584832,3.503055e-05,5.5771843e-06,0.00023388451,-2.6151289e-05,-3.3739736e-05,0.00012486185,8.63793e-06,0.00017625891,-8.313745e-05,-2.8100728e-06,-0.00010064489,-8.973079e-10,-3.6803198e-05,6.864827e-05,-8.3729756e-05,0.00022086635,9.209987e-07
TCGA-CN-5360-01A,-7.9439315e-07,6.918104e-06,4.6292058e-05,-0.000119783945,-7.800173e-05,4.5815326e-05,-0.00031076168,-0.00012281095,0.000258981,3.232641e-05,-1.4996876e-05,0.00022217366,-3.259027e-05,-5.133755e-05,0.0001205353,3.397402e-05,0.00021428864,-9.417221e-05,-2.9738153e-06,-8.468856e-05,-6.2795804e-09,-8.767338e-05,5.9092832e-05,-7.503156e-05,0.00024302179,1.169676e-06
TCGA-CN-6012-01A,-6.390454e-07,4.990894e-06,4.41026e-05,-0.00010007733,-7.305967e-05,5.3666565e-05,-0.00029165673,-7.677204e-05,0.000251551,3.388812e-05,-2.1042757e-05,0.00023602415,-2.7797532e-05,-4.5963396e-05,0.00012105377,1.6597582e-05,0.00020245017,-0.00012724871,-4.4744806e-06,-8.591436e-05,-5.3843263e-09,-9.404004e-05,2.6363345e-05,-6.568909e-05,0.00024840722,6.350283e-07
TCGA-CN-6023-01A,-7.1570776e-07,7.440836e-06,3.7808393e-05,-0.00010042119,-8.501715e-05,6.593947e-05,-0.00033684968,-0.00016202744,0.0002751817,3.200451e-05,-2.5143407e-05,0.0002312001,-3.092596e-05,-5.09913e-05,0.00010701358,3.48071e-05,0.00021672304,-0.00016587865,-3.8812473e-06,-9.3918505e-05,-3.5907284e-09,-4.392425e-05,2.649255e-05,-8.981843e-05,0.0002772091,2.0505208e-06
TCGA-CN-6023-01A,-7.1570776e-07,7.440836e-06,3.7808393e-05,-0.00010042119,-8.501715e-05,6.593947e-05,-0.00033684968,-0.00016202744,0.0002751817,3.200451e-05,-2.5143407e-05,0.0002312001,-3.092596e-05,-5.09913e-05,0.00010701358,3.48071e-05,0.00021672304,-0.00016587865,-3.8812473e-06,-9.3918505e-05,-3.5907284e-09,-4.392425e-05,2.649255e-05,-8.981843e-05,0.0002772091,2.0505208e-06
TCGA-CN-6992-01A,-8.4726247e-07,4.3358914e-06,3.6328693e-05,-8.321047e-05,-8.059089e-05,5.6056964e-05,-0.00023385938,-0.00010150632,0.00025098075,3.302134e-05,-2.1843716e-05,0.00022829666,-2.8759643e-05,-4.5504865e-05,0.000108475986,6.5195413e-06,0.00021472102,-0.00018630293,-4.7107683e-06,-7.709787e-05,-8.9750735e-10,-9.474333e-05,4.5696434e-05,-7.767351e-05,0.00022287825,9.611247e-06
TCGA-CN-A63T-01A,-3.0176207e-07,4.775347e-06,5.977236e-05,-0.00011012157,-7.844561e-05,5.1025472e-05,-0.00027830686,-9.598438e-05,0.00024639236,3.125236e-05,-1.8324183e-05,0.00024902893,-2.9316941e-05,-3.481414e-05,0.00011722761,5.0823106e-05,0.00019405971,-0.00010971093,-4.0386335e-06,-8.974367e-05,-3.5863996e-09,-4.2693806e-05,6.247972e-05,-5.7988666e-05,0.0002279742,3.639047e-06
TCGA-CN-A63W-01A,-4.1797585e-07,3.341892e-06,5.2599018e-05,-0.0001040467,-8.1086655e-05,4.9878334e-05,-0.0002748687,-9.9291436e-05,0.00021262442,3.2044485e-05,-1.6567896e-05,0.00021960262,-1.6987029e-05,-2.6037473e-05,0.00012160107,3.566807e-05,0.00017806127,-9.343285e-05,-3.3261963e-06,-9.1544745e-05,-8.9722885e-10,-1.9978335e-05,3.196332e-05,-6.985028e-05,0.00021175804,1.067971e-06
