,fanin,fanout,degree
R-HSA-110362,5.0,1.0,6.0
R-HSA-5651801,14.0,1.0,15.0
R-HSA-73930,1.0,1.0,2.0
R-HSA-111461,5.0,1.0,6.0
R-HSA-264870,10.0,1.0,11.0
R-HSA-351906,6.0,1.0,7.0
R-HSA-352238,2.0,1.0,3.0
R-HSA-111469,5.0,1.0,6.0
R-HSA-111885,50.0,1.0,51.0
R-HSA-111933,12.0,1.0,13.0
R-HSA-112399,33.0,1.0,34.0
R-HSA-110056,2.0,1.0,3.0
R-HSA-112411,2.0,1.0,3.0
R-HSA-113510,14.0,1.0,15.0
R-HSA-111446,2.0,1.0,3.0
R-HSA-111447,11.0,1.0,12.0
R-HSA-111448,3.0,1.0,4.0
R-HSA-139910,3.0,1.0,4.0
R-HSA-139915,5.0,1.0,6.0
R-HSA-1169091,47.0,1.0,48.0
R-HSA-1169092,4.0,1.0,5.0
R-HSA-2025928,7.0,1.0,8.0
R-HSA-1169408,55.0,1.0,56.0
R-HSA-1222387,0.0,1.0,1.0
R-HSA-1222449,0.0,1.0,1.0
R-HSA-1222538,0.0,1.0,1.0
R-HSA-1222541,0.0,1.0,1.0
R-HSA-1234158,6.0,1.0,7.0
R-HSA-1234162,2.0,1.0,3.0
R-HSA-1234176,39.0,1.0,40.0
R-HSA-1236973,3.0,1.0,4.0
R-HSA-1236974,47.0,1.0,48.0
R-HSA-1236977,7.0,1.0,8.0
R-HSA-1236978,29.0,1.0,30.0
R-HSA-1296041,15.0,1.0,16.0
R-HSA-141333,0.0,1.0,1.0
R-HSA-141334,0.0,1.0,1.0
R-HSA-211227,6.0,1.0,7.0
R-HSA-3371378,8.0,1.0,9.0
R-HSA-69416,7.0,1.0,8.0
R-HSA-141430,14.0,1.0,15.0
R-HSA-141444,53.0,1.0,54.0
R-HSA-1461957,21.0,1.0,22.0
R-HSA-1462054,3.0,1.0,4.0
R-HSA-1482788,14.0,1.0,15.0
R-HSA-1482798,6.0,1.0,7.0
R-HSA-1482801,9.0,1.0,10.0
R-HSA-1482839,13.0,1.0,14.0
R-HSA-1482883,4.0,1.0,5.0
R-HSA-1482922,9.0,1.0,10.0
R-HSA-1482925,9.0,1.0,10.0
R-HSA-1483076,1.0,1.0,2.0
R-HSA-1483101,0.0,1.0,1.0
R-HSA-1483115,6.0,1.0,7.0
R-HSA-1483148,6.0,1.0,7.0
R-HSA-1483152,1.0,1.0,2.0
R-HSA-1483166,21.0,1.0,22.0
R-HSA-1483171,0.0,1.0,1.0
R-HSA-1483191,18.0,1.0,19.0
R-HSA-1483196,1.0,2.0,3.0
R-HSA-1483213,10.0,1.0,11.0
R-HSA-1483226,5.0,1.0,6.0
R-HSA-1483248,5.0,1.0,6.0
R-HSA-1660499,43.0,1.0,44.0
R-HSA-1660502,0.0,1.0,1.0
R-HSA-1660508,0.0,1.0,1.0
R-HSA-1660510,0.0,1.0,1.0
R-HSA-1660514,12.0,1.0,13.0
R-HSA-1660516,13.0,1.0,14.0
R-HSA-1660517,9.0,1.0,10.0
R-HSA-1660524,0.0,1.0,1.0
R-HSA-1660537,0.0,1.0,1.0
R-HSA-6814848,3.0,1.0,4.0
R-HSA-8847453,3.0,1.0,4.0
R-HSA-1362277,11.0,1.0,12.0
R-HSA-1362300,5.0,1.0,6.0
R-HSA-159424,4.0,1.0,5.0
R-HSA-173599,1.0,1.0,2.0
R-HSA-174403,6.0,1.0,7.0
R-HSA-159227,5.0,1.0,6.0
R-HSA-159230,5.0,1.0,6.0
R-HSA-159231,10.0,1.0,11.0
R-HSA-159740,4.0,1.0,5.0
R-HSA-159763,4.0,1.0,5.0
R-HSA-159782,5.0,1.0,6.0
R-HSA-1606341,2.0,1.0,3.0
R-HSA-1810476,9.0,1.0,10.0
R-HSA-1614517,1.0,1.0,2.0
R-HSA-162594,7.0,1.0,8.0
R-HSA-162599,101.0,1.0,102.0
R-HSA-164952,23.0,1.0,24.0
R-HSA-176033,27.0,1.0,28.0
R-HSA-176034,1.0,1.0,2.0
R-HSA-177243,28.0,1.0,29.0
R-HSA-180534,33.0,1.0,34.0
R-HSA-180585,34.0,1.0,35.0
R-HSA-180689,3.0,1.0,4.0
R-HSA-2022854,14.0,1.0,15.0
R-HSA-2022857,5.0,1.0,6.0
R-HSA-1971475,12.0,2.0,14.0
R-HSA-2022928,17.0,1.0,18.0
R-HSA-2024096,10.0,1.0,11.0
R-HSA-2426168,16.0,1.0,17.0
R-HSA-166020,1.0,1.0,2.0
R-HSA-166166,63.0,1.0,64.0
R-HSA-445989,16.0,1.0,17.0
R-HSA-450294,44.0,2.0,46.0
R-HSA-167826,2.0,1.0,3.0
R-HSA-167827,2.0,1.0,3.0
R-HSA-166786,4.0,1.0,5.0
R-HSA-173736,1.0,1.0,2.0
R-HSA-975155,54.0,2.0,56.0
R-HSA-168927,13.0,1.0,14.0
R-HSA-9013957,5.0,1.0,6.0
R-HSA-9013973,9.0,1.0,10.0
R-HSA-9014325,10.0,1.0,11.0
R-HSA-168276,29.0,1.0,30.0
R-HSA-168277,0.0,1.0,1.0
R-HSA-168268,0.0,1.0,1.0
R-HSA-168270,0.0,1.0,1.0
R-HSA-168271,2.0,1.0,3.0
R-HSA-168273,55.0,1.0,56.0
R-HSA-168274,2.0,1.0,3.0
R-HSA-168275,0.0,1.0,1.0
R-HSA-5250955,3.0,1.0,4.0
R-HSA-5250958,1.0,1.0,2.0
R-HSA-5250968,2.0,1.0,3.0
R-HSA-5250971,3.0,1.0,4.0
R-HSA-5250981,3.0,1.0,4.0
R-HSA-5250982,1.0,1.0,2.0
R-HSA-5250989,2.0,1.0,3.0
R-HSA-5250992,2.0,1.0,3.0
R-HSA-174084,42.0,1.0,43.0
R-HSA-174178,44.0,1.0,45.0
R-HSA-176407,13.0,1.0,14.0
R-HSA-176814,46.0,1.0,47.0
R-HSA-174417,16.0,1.0,17.0
R-HSA-2022870,11.0,1.0,12.0
R-HSA-2022923,3.0,1.0,4.0
R-HSA-2024101,7.0,1.0,8.0
R-HSA-171319,2.0,1.0,3.0
R-HSA-629602,9.0,1.0,10.0
R-HSA-3249367,2.0,1.0,3.0
R-HSA-3270619,2.0,1.0,3.0
R-HSA-1839124,22.0,1.0,23.0
R-HSA-1839126,20.0,1.0,21.0
R-HSA-187015,3.0,1.0,4.0
R-HSA-167021,2.0,1.0,3.0
R-HSA-177504,10.0,1.0,11.0
R-HSA-187687,21.0,1.0,22.0
R-HSA-198203,7.0,1.0,8.0
R-HSA-198725,18.0,1.0,19.0
R-HSA-198745,2.0,1.0,3.0
R-HSA-198765,2.0,1.0,3.0
R-HSA-190239,7.0,1.0,8.0
R-HSA-190241,9.0,1.0,10.0
R-HSA-190242,10.0,1.0,11.0
R-HSA-190322,10.0,1.0,11.0
R-HSA-190861,9.0,1.0,10.0
R-HSA-190873,6.0,1.0,7.0
R-HSA-6807047,1.0,1.0,2.0
R-HSA-6807062,1.0,1.0,2.0
R-HSA-191647,2.0,1.0,3.0
R-HSA-192105,14.0,1.0,15.0
R-HSA-209543,9.0,1.0,10.0
R-HSA-209560,10.0,1.0,11.0
R-HSA-193634,4.0,1.0,5.0
R-HSA-209563,3.0,1.0,4.0
R-HSA-159418,7.0,1.0,8.0
R-HSA-195399,5.0,1.0,6.0
R-HSA-193048,4.0,1.0,5.0
R-HSA-193144,2.0,1.0,3.0
R-HSA-193993,2.0,1.0,3.0
R-HSA-194002,4.0,1.0,5.0
R-HSA-196108,7.0,1.0,8.0
R-HSA-197264,10.0,1.0,11.0
R-HSA-196783,3.0,1.0,4.0
R-HSA-6811558,61.0,1.0,62.0
R-HSA-4411364,7.0,1.0,8.0
R-HSA-2046105,3.0,1.0,4.0
R-HSA-2046106,7.0,1.0,8.0
R-HSA-193648,42.0,1.0,43.0
R-HSA-205025,4.0,1.0,5.0
R-HSA-205043,12.0,1.0,13.0
R-HSA-350864,1.0,1.0,2.0
R-HSA-211916,2.0,1.0,3.0
R-HSA-211935,5.0,1.0,6.0
R-HSA-211958,5.0,1.0,6.0
R-HSA-211976,11.0,1.0,12.0
R-HSA-211979,6.0,1.0,7.0
R-HSA-211981,7.0,1.0,8.0
R-HSA-2142670,4.0,1.0,5.0
R-HSA-2142688,4.0,1.0,5.0
R-HSA-2142691,10.0,1.0,11.0
R-HSA-2142696,1.0,1.0,2.0
R-HSA-2142712,3.0,1.0,4.0
R-HSA-2142770,1.0,1.0,2.0
R-HSA-2142816,6.0,1.0,7.0
R-HSA-2162123,8.0,1.0,9.0
R-HSA-2142850,2.0,1.0,3.0
R-HSA-2160916,9.0,1.0,10.0
R-HSA-2173788,20.0,1.0,21.0
R-HSA-2173795,18.0,1.0,19.0
R-HSA-2173796,24.0,1.0,25.0
R-HSA-2206280,0.0,1.0,1.0
R-HSA-2206282,0.0,1.0,1.0
R-HSA-2206285,0.0,1.0,1.0
R-HSA-2206290,0.0,1.0,1.0
R-HSA-2206291,0.0,1.0,1.0
R-HSA-2206292,0.0,1.0,1.0
R-HSA-2206296,0.0,1.0,1.0
R-HSA-2206302,0.0,1.0,1.0
R-HSA-2206305,0.0,1.0,1.0
R-HSA-2206307,0.0,1.0,1.0
R-HSA-2206308,0.0,1.0,1.0
R-HSA-2428933,5.0,1.0,6.0
R-HSA-2466712,1.0,1.0,2.0
R-HSA-68881,1.0,1.0,2.0
R-HSA-68882,109.0,1.0,110.0
R-HSA-2559584,5.0,1.0,6.0
R-HSA-2644606,40.0,1.0,41.0
R-HSA-2644607,5.0,1.0,6.0
R-HSA-2660826,4.0,1.0,5.0
R-HSA-2691232,10.0,1.0,11.0
R-HSA-2894862,40.0,1.0,41.0
R-HSA-2980766,34.0,1.0,35.0
R-HSA-3108214,56.0,1.0,57.0
R-HSA-3232118,18.0,1.0,19.0
R-HSA-3232142,31.0,1.0,32.0
R-HSA-3899300,33.0,1.0,34.0
R-HSA-4085377,28.0,1.0,29.0
R-HSA-4090294,20.0,1.0,21.0
R-HSA-4551638,40.0,1.0,41.0
R-HSA-4570464,34.0,1.0,35.0
R-HSA-4615885,33.0,1.0,34.0
R-HSA-4655427,9.0,1.0,10.0
R-HSA-4755510,10.0,1.0,11.0
R-HSA-3248023,0.0,1.0,1.0
R-HSA-3065676,3.0,1.0,4.0
R-HSA-3065678,4.0,1.0,5.0
R-HSA-3065679,6.0,1.0,7.0
R-HSA-3229133,0.0,1.0,1.0
R-HSA-3274531,0.0,1.0,1.0
R-HSA-3282872,0.0,1.0,1.0
R-HSA-3785653,8.0,1.0,9.0
R-HSA-3814836,2.0,1.0,3.0
R-HSA-3828062,2.0,1.0,3.0
R-HSA-3858516,2.0,1.0,3.0
R-HSA-3878781,2.0,1.0,3.0
R-HSA-5357609,1.0,1.0,2.0
R-HSA-3359454,1.0,1.0,2.0
R-HSA-3359457,0.0,1.0,1.0
R-HSA-3359458,0.0,1.0,1.0
R-HSA-3359462,0.0,1.0,1.0
R-HSA-3359463,0.0,1.0,1.0
R-HSA-3359467,2.0,1.0,3.0
R-HSA-3359469,2.0,1.0,3.0
R-HSA-3359471,0.0,1.0,1.0
R-HSA-3359473,2.0,1.0,3.0
R-HSA-3359474,1.0,1.0,2.0
R-HSA-3359475,1.0,1.0,2.0
R-HSA-3359478,0.0,1.0,1.0
R-HSA-3359485,2.0,1.0,3.0
R-HSA-3311021,3.0,1.0,4.0
R-HSA-3304356,5.0,1.0,6.0
R-HSA-3315487,6.0,1.0,7.0
R-HSA-3371598,0.0,1.0,1.0
R-HSA-3371599,5.0,1.0,6.0
R-HSA-3371568,13.0,1.0,14.0
R-HSA-3642279,1.0,1.0,2.0
R-HSA-3645790,2.0,1.0,3.0
R-HSA-3656532,5.0,1.0,6.0
R-HSA-3656535,2.0,1.0,3.0
R-HSA-5628897,53.0,1.0,54.0
