,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
ABHD13,0.0,0.0,0.0,-0.14887504,0.21565834
HACE1,6.481561e-08,1.0,6.481561e-08,-0.14853135,-0.0024988125
COL5A3,9.1450465e-07,1.0,9.1450465e-07,-0.14402594,0.0006879355
LONP1,0.0,0.0,0.0,-0.14887504,0.21565834
CDH17,0.0,0.0,0.0,-0.14887504,0.21565834
RUNX2,2.3122318e-12,5.0,2.3122318e-12,-0.14887503,-0.8763427
YTHDC1,0.0,0.0,0.0,-0.14887504,0.21565834
VKORC1L1,6.682054e-08,1.0,6.682054e-08,-0.14852072,-0.0024913007
DYNC1I2,2.8807048e-05,12.0,2.8807048e-05,0.0038725769,-2.2971036
NODAL,6.392813e-10,1.0,6.392813e-10,-0.14887165,-0.0027395047
PIP5K1C,5.627673e-05,3.0,5.627673e-05,0.14952889,-0.22847685
TP63,0.00043789236,4.0,0.00043789236,2.1730225,0.9843698
BST1,0.0,1.0,0.0,-0.14887504,-0.0027418935
DTD2,0.0,0.0,0.0,-0.14887504,0.21565834
TXLNA,0.00028296086,1.0,0.00028296086,1.3515077,1.058501
YARS2,0.00029915854,1.0,0.00029915854,1.4373949,1.1192502
CACFD1,0.0,1.0,0.0,-0.14887504,-0.0027418935
ATP12A,0.0004360071,1.0,0.0004360071,2.163026,1.6324998
WDR83OS,0.0,0.0,0.0,-0.14887504,0.21565834
ZNF248,0.0,0.0,0.0,-0.14887504,0.21565834
ZBTB7B,0.0,0.0,0.0,-0.14887504,0.21565834
SYNGR2,0.0,0.0,0.0,-0.14887504,0.21565834
CDH13,0.0,0.0,0.0,-0.14887504,0.21565834
C11orf1,0.0,0.0,0.0,-0.14887504,0.21565834
XPO7,0.0,0.0,0.0,-0.14887504,0.21565834
GATA1,1.6807292e-11,2.0,1.6807292e-11,-0.14887495,-0.22114205
MGST2,5.010911e-06,1.0,5.010911e-06,-0.12230498,0.01605149
SMIM19,0.0,0.0,0.0,-0.14887504,0.21565834
OR8H3,0.0,1.0,0.0,-0.14887504,-0.0027418935
LCE2D,6.215085e-06,1.0,6.215085e-06,-0.115919925,0.020567736
MAGEL2,0.0,0.0,0.0,-0.14887504,0.21565834
OR11H12,0.0,0.0,0.0,-0.14887504,0.21565834
