,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
5-Phosphoribose 1-diphosphate biosynthesis,0.00017460783,2.0,0.00017460783,0.025911825,0.46937537
A tetrasaccharide linker sequence is required for GAG synthesis,0.0008510885,14.0,0.0008510885,1.1342442,0.8466564
ABC transporters in lipid homeostasis,6.842129e-05,11.0,6.842129e-05,-0.1480621,-0.045792226
ADP signalling through P2Y purinoceptor 1,3.6934198e-05,19.0,3.6934198e-05,-0.1996499,-0.4218947
ADP signalling through P2Y purinoceptor 12,0.00013848876,17.0,0.00013848876,-0.033264946,-0.2060025
AKT phosphorylates targets in the cytosol,1.0419778e-08,14.0,1.0419778e-08,-0.2601451,-0.26046255
AKT phosphorylates targets in the nucleus,4.5663686e-09,9.0,4.5663686e-09,-0.26015466,-0.051005933
AKT-mediated inactivation of FOXO1A,0.00021841082,5.0,0.00021841082,0.09767775,0.40067762
ALKBH2 mediated reversal of alkylation damage,1.6824439e-06,2.0,1.6824439e-06,-0.25740567,0.24442661
ALKBH3 mediated reversal of alkylation damage,2.643089e-05,4.0,2.643089e-05,-0.21685831,0.19283476
AMPK inhibits chREBP transcriptional activation activity,0.002042332,7.0,0.002042332,3.0859537,2.689527
APC truncation mutants are not K63 polyubiquitinated,4.044361e-09,2.0,4.044361e-09,-0.26015553,0.24224328
APC truncation mutants have impaired AXIN binding,3.09236e-06,11.0,3.09236e-06,-0.25509572,-0.1307749
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,0.00013725169,45.0,0.00013725169,-0.035291743,-1.3806114
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,0.0011804508,6.0,0.0011804508,1.6738647,1.6102477
APOBEC3G mediated resistance to HIV-1 infection,3.0980507e-10,4.0,3.0980507e-10,-0.26016167,0.15845273
ARL13B-mediated ciliary trafficking of INPP5E,2.7141637e-05,3.0,2.7141637e-05,-0.21569385,0.23565218
ATF4 activates genes,8.856106e-05,4.0,8.856106e-05,-0.11506549,0.27365637
ATF6 (ATF6-alpha) activates chaperone genes,3.057956e-05,6.0,3.057956e-05,-0.21006122,0.114445835
ATP sensitive Potassium channels,0.0,3.0,0.0,-0.26016214,0.20034519
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.005338722,34.0,0.005338722,8.486693,5.8465056
AURKA Activation by TPX2,1.5985935e-06,50.0,1.5985935e-06,-0.25754306,-1.7665391
AXIN missense mutants destabilize the destruction complex,1.6487764e-05,11.0,1.6487764e-05,-0.23314892,-0.11334957
Abacavir metabolism,2.3493392e-05,3.0,2.3493392e-05,-0.22167104,0.2309064
Abacavir transmembrane transport,9.34435e-10,2.0,9.34435e-10,-0.26016062,0.24223922
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,0.0,2.0,0.0,-0.26016214,0.24223801
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,2.8894815e-14,2.0,2.8894815e-14,-0.26016214,0.24223801
Acetylation,0.0,1.0,0.0,-0.26016214,0.28413087
Acetylcholine Neurotransmitter Release Cycle,3.550408e-05,11.0,3.550408e-05,-0.20199297,-0.08861233
Acetylcholine regulates insulin secretion,8.390004e-06,7.0,8.390004e-06,-0.24641614,0.043687884
Acrosome Reaction,0.0,1.0,0.0,-0.26016214,0.28413087
Activated NOTCH1 Transmits Signal to the Nucleus,0.00013137794,22.0,0.00013137794,-0.044915177,-0.42471677
Activated NTRK2 signals through CDK5,5.1028e-09,6.0,5.1028e-09,-0.2601538,0.07467329
Activated NTRK2 signals through FRS2 and FRS3,4.620174e-07,8.0,4.620174e-07,-0.2594052,-0.008518012
Activated NTRK2 signals through FYN,3.1849046e-07,6.0,3.1849046e-07,-0.25964037,0.07508094
Activated NTRK2 signals through PI3K,1.0580465e-07,5.0,1.0580465e-07,-0.2599888,0.11669711
Activated NTRK2 signals through PLCG1,1.0526082e-06,3.0,1.0526082e-06,-0.25843757,0.20171447
Activated NTRK2 signals through RAS,5.7559043e-07,6.0,5.7559043e-07,-0.25921914,0.0754154
Activated NTRK3 signals through PI3K,6.6852226e-05,7.0,6.6852226e-05,-0.15063281,0.119738035
Activated NTRK3 signals through PLCG1,1.8693487e-07,4.0,1.8693487e-07,-0.2598559,0.1586955
Activated NTRK3 signals through RAS,4.2291544e-05,7.0,4.2291544e-05,-0.19087254,0.087788455
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,1.33606e-05,6.0,1.33606e-05,-0.23827243,0.09204668
Activation and oligomerization of BAK protein,0.0,3.0,0.0,-0.26016214,0.20034519
Activation of AMPA receptors,9.818946e-10,3.0,9.818946e-10,-0.26016057,0.20034644
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,0.0013471846,47.0,0.0013471846,1.9470382,0.10953561
Activation of ATR in response to replication stress,8.450108e-05,27.0,8.450108e-05,-0.12171728,-0.6951604
Activation of BAD and translocation to mitochondria ,3.049522e-06,12.0,3.049522e-06,-0.25516587,-0.17272346
Activation of BIM and translocation to mitochondria ,7.528078e-08,3.0,7.528078e-08,-0.26003882,0.20044309
Activation of BMF and translocation to mitochondria,1.2185369e-06,4.0,1.2185369e-06,-0.25816575,0.16003746
Activation of C3 and C5,0.0,1.0,0.0,-0.26016214,0.28413087
Activation of DNA fragmentation factor,6.253666e-06,7.0,6.253666e-06,-0.24991627,0.04090883
Activation of G protein gated Potassium channels,4.4583176e-05,16.0,4.4583176e-05,-0.18711798,-0.28626606
Activation of Matrix Metalloproteinases,1.2542699e-06,15.0,1.2542699e-06,-0.2581072,-0.30073732
Activation of NF-kappaB in B cells,7.682542e-05,48.0,7.682542e-05,-0.13429293,-1.584895
Activation of NOXA and translocation to mitochondria,4.8712936e-09,4.0,4.8712936e-09,-0.26015416,0.15845867
Activation of Nicotinic Acetylcholine Receptors,1.8258626e-05,10.0,1.8258626e-05,-0.2302476,-0.06915312
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,6.57597e-06,8.0,6.57597e-06,-0.24938823,-0.0005647278
Activation of PUMA and translocation to mitochondria,2.1824371e-05,6.0,2.1824371e-05,-0.22440556,0.103056714
Activation of RAC1,2.5857034e-05,7.0,2.5857034e-05,-0.2177985,0.066409744
Activation of RAS in B cells,7.93195e-09,5.0,7.93195e-09,-0.26014915,0.116569795
Activation of SMO,6.094969e-06,7.0,6.094969e-06,-0.25017628,0.040702395
Activation of TRKA receptors,2.2070443e-08,4.0,2.2070443e-08,-0.260126,0.15848106
Activation of anterior HOX genes in hindbrain development during early embryogenesis,3.3312466e-05,45.0,3.3312466e-05,-0.20558369,-1.51582
Activation of gene expression by SREBF (SREBP),4.036009e-05,17.0,4.036009e-05,-0.194037,-0.3336525
Activation of the TFAP2 (AP-2) family of transcription factors,3.2125692e-05,7.0,3.2125692e-05,-0.20752805,0.074564286
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",3.8349763e-06,31.0,3.8349763e-06,-0.253879,-0.96766573
Activation of the pre-replicative complex,5.9525715e-05,23.0,5.9525715e-05,-0.16263641,-0.56007814
"Activation, myristolyation of BID and translocation to mitochondria",3.2025627e-09,4.0,3.2025627e-09,-0.2601569,0.1584565
"Activation, translocation and oligomerization of BAX",2.935968e-06,3.0,2.935968e-06,-0.25535193,0.2041644
Acyl chain remodeling of CL,1.23503305e-05,7.0,1.23503305e-05,-0.23992763,0.048839625
Acyl chain remodeling of DAG and TAG,1.7946583e-07,5.0,1.7946583e-07,-0.25986812,0.11679294
Acyl chain remodelling of PC,2.1247108e-06,15.0,2.1247108e-06,-0.25668108,-0.29960504
Acyl chain remodelling of PE,2.2829257e-05,14.0,2.2829257e-05,-0.22275916,-0.23077883
Acyl chain remodelling of PG,1.5490274e-05,10.0,1.5490274e-05,-0.23478322,-0.072754316
Acyl chain remodelling of PI,1.3633168e-05,10.0,1.3633168e-05,-0.23782586,-0.075170115
