,,root
ABHD13,gene_expression,0.0034610997
HACE1,gene_expression,-0.004678407
COL5A3,gene_expression,-0.026137972
LONP1,gene_expression,9.402875e-05
CDH17,gene_expression,1.5905562e-21
RUNX2,gene_expression,5.209969e-09
YTHDC1,gene_expression,2.6561926e-09
VKORC1L1,gene_expression,-7.899063e-05
DYNC1I2,gene_expression,-0.015491205
NODAL,gene_expression,-3.1858913e-06
PIP5K1C,gene_expression,-0.07010628
TP63,gene_expression,0.041684464
BST1,gene_expression,-4.991849e-15
DTD2,gene_expression,2.8201726e-05
TXLNA,gene_expression,0.040498845
YARS2,gene_expression,0.017158251
CACFD1,gene_expression,6.793503e-23
ATP12A,gene_expression,0.061631165
WDR83OS,gene_expression,0.0471285
ZNF248,gene_expression,0.00012761353
ZBTB7B,gene_expression,0.052674357
SYNGR2,gene_expression,-2.1119697e-15
CDH13,gene_expression,4.0652766e-19
C11orf1,gene_expression,1.640171e-06
XPO7,gene_expression,-2.2148528e-20
GATA1,gene_expression,6.2043476e-08
MGST2,gene_expression,-0.036878075
SMIM19,gene_expression,4.1127978e-12
OR8H3,gene_expression,-0.113686755
LCE2D,gene_expression,-0.07146611
MAGEL2,gene_expression,0.021530127
OR11H12,gene_expression,-0.038544968
SULT6B1,gene_expression,0.04926557
FAM169B,gene_expression,-0.01187884
DPH6,gene_expression,-0.07720127
TMEM30A,gene_expression,1.0813174e-08
OSTF1,gene_expression,-1.156299e-21
PAX3,gene_expression,0.0015605213
PIGH,gene_expression,-0.07635643
KRTAP21-2,gene_expression,-5.9266473e-08
PIGT,gene_expression,-4.7041085e-26
CYP11B2,gene_expression,0.06524414
SYNCRIP,gene_expression,-0.015045706
CSMD3,gene_expression,0.00084726466
ALG9,gene_expression,-1.1830831e-18
GPN3,gene_expression,0.060873143
TSEN54,gene_expression,0.06850297
MARK1,gene_expression,-2.3194613e-16
MAP2K1,gene_expression,0.038546808
KRTAP8-1,gene_expression,-0.0033056939
OR10X1,gene_expression,0.0427119
ZNF771,gene_expression,0.0035573915
GSR,gene_expression,-0.0064400556
EIF4A1,gene_expression,0.00028520962
OR6P1,gene_expression,-3.1204036e-05
FAM78A,gene_expression,3.0143902e-22
SATB1,gene_expression,0.014155493
GTSF1,gene_expression,-0.022113053
AGXT2,gene_expression,0.0040220595
NPC1L1,gene_expression,-0.0095637515
KCNJ2,gene_expression,-5.493299e-07
PPARG,gene_expression,0.008600764
FMNL2,gene_expression,-2.105319e-16
ADAMTS17,gene_expression,1.2713725e-19
KIAA0586,gene_expression,-0.0058815256
HLA-E,gene_expression,2.4598237e-14
SERP1,gene_expression,-0.00023434794
ZC3H13,gene_expression,8.509028e-08
FANCI,gene_expression,0.032151558
CCDC6,gene_expression,-2.558519e-25
PML,gene_expression,-0.03320776
TEX15,gene_expression,0.0111172395
SHOX2,gene_expression,-0.10922936
RNF149,gene_expression,0.0020387424
RIT1,gene_expression,-2.2686204e-19
MUC5B,gene_expression,0.0005756867
SMYD2,gene_expression,-0.0005347829
SERINC4,gene_expression,2.117131e-05
OR7A17,gene_expression,-2.0052064e-18
LIG4,gene_expression,-1.9623358e-05
APOL2,gene_expression,0.0037879217
GNG2,gene_expression,1.0358702e-10
RRNAD1,gene_expression,-4.462694e-14
MROH2B,gene_expression,0.0016887907
ARID4A,gene_expression,-0.00038819248
MRPL19,gene_expression,0.027681144
ELF1,gene_expression,-0.049478173
TADA2B,gene_expression,-0.0014676703
OR8D4,gene_expression,4.3283006e-08
RNF24,gene_expression,-1.3076755e-05
TFF2,gene_expression,4.577695e-09
LSM4,gene_expression,-0.027115164
BLOC1S6,gene_expression,-0.08694565
MAGEC1,gene_expression,-0.027866328
HAGH,gene_expression,0.031334653
GUCA1A,gene_expression,-6.513452e-06
RAB9A,gene_expression,-1.6174738e-14
RER1,gene_expression,0.027891802
CYTH2,gene_expression,0.0065878285
ZNF346,gene_expression,1.1128019e-06
GHITM,gene_expression,-0.006269009
STRN3,gene_expression,-1.1918684e-16
ZNF548,gene_expression,4.9473186e-08
ZBTB49,gene_expression,0.011134865
MUTYH,gene_expression,0.0008626022
ANG,gene_expression,-0.034986597
PIK3CB,gene_expression,-0.008011091
SLC25A14,gene_expression,-1.8896731e-15
TSN,gene_expression,2.2453446e-09
ZNF276,gene_expression,-9.402875e-11
PSMC4,gene_expression,0.018830052
REPS1,gene_expression,7.1871604e-20
DNAH6,gene_expression,2.7069767e-20
HOXB8,gene_expression,-0.019736288
CFL1,gene_expression,1.2743535e-14
RNASEK,gene_expression,5.711342e-07
LHPP,gene_expression,2.4609635e-20
NOP58,gene_expression,0.010254119
MAGEB3,gene_expression,-0.036410563
VPS37C,gene_expression,1.4237123e-05
NT5E,gene_expression,-0.008379491
SEZ6L,gene_expression,-0.03473469
ZC3H18,gene_expression,9.816491e-17
SYT5,gene_expression,-8.899211e-10
NOD1,gene_expression,4.3532822e-05
VGF,gene_expression,-1.1064483e-19
PXK,gene_expression,-2.3607937e-20
SLC39A3,gene_expression,6.6865745e-05
PVALB,gene_expression,-0.057736285
FAM161B,gene_expression,-1.5155082e-09
AP1G1,gene_expression,1.398541e-09
MDP1,gene_expression,-9.630724e-23
PAIP2B,gene_expression,0.01282474
SERPINA9,gene_expression,-2.2656662e-15
ZNF268,gene_expression,0.009339609
TMTC2,gene_expression,0.00046435083
SNX18,gene_expression,0.02093195
ARPP19,gene_expression,1.0654127e-06
AKAP11,gene_expression,-8.7715205e-17
DDX10,gene_expression,9.011712e-26
TANK,gene_expression,-4.842464e-09
PXMP2,gene_expression,-9.397368e-09
ZYG11B,gene_expression,-0.090035975
CGREF1,gene_expression,0.028827913
TRIM56,gene_expression,0.0007656954
MECOM,gene_expression,0.008380954
SMYD1,gene_expression,-0.012819096
BANF2,gene_expression,0.13347745
SNCB,gene_expression,1.848639e-05
SSX7,gene_expression,-0.026817253
HERC1,gene_expression,-2.6092307e-08
TOMM20,gene_expression,-0.0003209136
ZNF557,gene_expression,1.2459284e-20
IQCF2,gene_expression,0.04295869
G6PC3,gene_expression,-6.7389962e-15
MB,gene_expression,-1.1668978e-05
SCRN2,gene_expression,0.01070096
FAM122C,gene_expression,-0.025054296
KRTAP19-3,gene_expression,1.2428549e-06
MCTS1,gene_expression,-7.8599877e-10
CADPS2,gene_expression,-0.05355902
PERM1,gene_expression,0.0051039006
IGF2BP1,gene_expression,-3.6069925e-06
AGAP1,gene_expression,0.019583091
OR10J1,gene_expression,-0.05860106
MTCP1,gene_expression,-0.019177983
IDH2,gene_expression,-0.11031376
JAM2,gene_expression,0.012035712
NOTCH4,gene_expression,-1.7122991e-08
RBM5,gene_expression,0.009008318
OR4D11,gene_expression,-0.04839657
CDKN2C,gene_expression,1.4515882e-08
PSMD7,gene_expression,1.12279855e-13
DISP2,gene_expression,2.7083058e-09
SLC12A4,gene_expression,0.013060825
DKC1,gene_expression,-0.07919755
AP5M1,gene_expression,-1.0782419e-05
GLTP,gene_expression,0.07440057
IDI2,gene_expression,0.041299343
SCN3B,gene_expression,0.00015513906
NXT2,gene_expression,0.039069377
ABHD15,gene_expression,2.2650008e-16
NCLN,gene_expression,-0.00011867555
TMEM86A,gene_expression,-0.008127417
SREBF2,gene_expression,-0.0007956638
EEF1G,gene_expression,3.28018e-27
PCBP1,gene_expression,-1.3415286e-17
TMCC1,gene_expression,-0.0030784803
ZNF202,gene_expression,-0.048869703
OR4C45,gene_expression,3.7305803e-10
CUZD1,gene_expression,5.6135016e-15
TNFRSF13C,gene_expression,-0.008156928
SCARF1,gene_expression,4.7903104e-06
CALM2,gene_expression,-1.8703577e-19
STK33,gene_expression,0.00085032335
FGF1,gene_expression,0.0151605485
CHRNA1,gene_expression,-0.014010861
ITGA2,gene_expression,-7.497549e-05
CLASP2,gene_expression,-4.1868147e-17
TCP11L2,gene_expression,-0.00012395658
CLEC4G,gene_expression,5.562201e-07
HPRT1,gene_expression,-0.0002925178
TMEM151A,gene_expression,2.1710954e-05
GORASP1,gene_expression,4.1375013e-21
USPL1,gene_expression,3.2186863e-22
ADPRH,gene_expression,3.4492712e-07
MAPK1IP1L,gene_expression,1.9827883e-12
DPYD,gene_expression,0.0059766043
ABT1,gene_expression,2.9636466e-14
CALY,gene_expression,0.032932837
MTA2,gene_expression,-0.036939394
SLC4A3,gene_expression,-0.011009236
MTHFSD,gene_expression,0.0016603692
GRM3,gene_expression,-7.8188116e-20
SAYSD1,gene_expression,0.0227574
FAM50B,gene_expression,0.029644726
SNAP29,gene_expression,0.014950307
KRTAP22-1,gene_expression,0.013309349
CNKSR1,gene_expression,0.011868941
MRPL33,gene_expression,-0.03900108
COG3,gene_expression,1.7574655e-26
ERN1,gene_expression,2.6902367e-07
