,root
R-HSA-400253,-0.4865791
R-HSA-4839726,0.68940014
R-HSA-1640170,-0.6402593
R-HSA-73894,-0.50524193
R-HSA-8953897,0.35298458
R-HSA-109582,-0.39974365
R-HSA-69306,-0.6923063
R-HSA-5205647,-0.66702396
R-HSA-162582,0.26342162
R-HSA-5357801,0.29892856
R-HSA-1474244,-0.3271585
R-HSA-8953854,-0.6361665
R-HSA-112316,-0.32817617
R-HSA-5653656,-0.33447292
R-HSA-1643685,-0.35488564
R-HSA-1266738,0.45300004
R-HSA-1500931,-0.652514
R-HSA-392499,-0.5726616
R-HSA-1474165,-0.40431184
R-HSA-74160,-0.5387846
R-HSA-8963743,0.47419974
R-HSA-382551,0.52398735
R-HSA-1430728,0.5842491
R-HSA-1852241,0.59231126
R-HSA-168256,0.55487937
R-HSA-397014,-0.40797955
