,R-HSA-74158,R-HSA-68874,R-HSA-196854,R-HSA-73942,R-HSA-1362409,R-HSA-452723,R-HSA-428359,R-HSA-72312,R-HSA-186712,R-HSA-5617833,R-HSA-1280215,R-HSA-5358508,R-HSA-73864,R-HSA-1280218,R-HSA-73857,R-HSA-391160,R-HSA-1368108,R-HSA-2564830,R-HSA-422475,R-HSA-112307,R-HSA-174824,R-HSA-9033241,R-HSA-8963676,R-HSA-381340,R-HSA-9006921,R-HSA-211859,R-HSA-1632852,R-HSA-1500620,R-HSA-977225,R-HSA-445355,R-HSA-3781865,R-HSA-597592,R-HSA-168249,R-HSA-2173782,R-HSA-525793,R-HSA-2161522,R-HSA-8863678,R-HSA-15869,R-HSA-109581,R-HSA-73887,R-HSA-5682910,R-HSA-71737,R-HSA-1368082,R-HSA-6794362,R-HSA-5358351,R-HSA-5683826,R-HSA-3000171,R-HSA-5205685,R-HSA-927802,R-HSA-917937,R-HSA-450531,R-HSA-445717,R-HSA-382556,R-HSA-8935690,R-HSA-5696398,R-HSA-5576891,R-HSA-1268020,R-HSA-5693532,R-HSA-391251,R-HSA-983712,R-HSA-8941237,R-HSA-212165,R-HSA-69278,R-HSA-189445,R-HSA-211000,R-HSA-5663202,R-HSA-2980736,R-HSA-71387,R-HSA-75072,R-HSA-5423599,R-HSA-69239,R-HSA-372790,R-HSA-1181150,R-HSA-199991,R-HSA-140877,R-HSA-983231,R-HSA-9006936,R-HSA-9006927,R-HSA-202131,R-HSA-8949215,R-HSA-1187000,R-HSA-72766,R-HSA-72203,R-HSA-5683057,R-HSA-1566948,R-HSA-5676934,R-HSA-5660526,R-HSA-373753,R-HSA-163685,R-HSA-73893,R-HSA-5223345,R-HSA-429914,R-HSA-1480926,R-HSA-194441,R-HSA-5619115,R-HSA-2028269,R-HSA-381119,R-HSA-9006925,R-HSA-5663205,R-HSA-1368071,R-HSA-3000178,R-HSA-69620,R-HSA-1428517,R-HSA-2586552,R-HSA-72086,R-HSA-216083,R-HSA-75892,R-HSA-3247509,R-HSA-3000157,R-HSA-6783310,R-HSA-1566977,R-HSA-390522,R-HSA-1296071,R-HSA-425407,R-HSA-5260271,R-HSA-5619507,R-HSA-112315,R-HSA-165159,R-HSA-202733,R-HSA-157118,R-HSA-418346,R-HSA-556833,R-HSA-76002,R-HSA-1475029,R-HSA-446728,R-HSA-5218859,R-HSA-381426,R-HSA-71291,R-HSA-72306,R-HSA-1483249,R-HSA-9006931,R-HSA-6805567,R-HSA-1592230,R-HSA-5668914,R-HSA-75205,R-HSA-1474290,R-HSA-8981607,R-HSA-73884,R-HSA-75944,R-HSA-8934903,R-HSA-2262752,R-HSA-9006934,R-HSA-1474228,R-HSA-75067,R-HSA-194315,R-HSA-195721,R-HSA-73886
C3L-00017-02,0.012,-0.036,-0.06,-0.029,0.01,-0.012,-0.016,-0.035,0.047,0.038,0.024,0.025,0.06,-0.017,0.012,0.02,-0.046,-0.046,-0.152,0.051,-0.046,0.013,-0.024,0.04,0.045,-0.019,-0.029,-0.027,-0.018,-0.037,0.043,-0.108,0.038,0.065,-0.066,0.04,-0.039,0.032,-0.021,0.046,0.024,0.039,0.036,0.041,-0.003,-0.024,0.047,0.029,0.051,-0.022,0.033,-0.015,-0.018,-0.018,-0.036,-0.035,0.033,-0.009,-0.004,0.06,0.038,0.05,-0.041,0.004,-0.028,-0.156,-0.038,0.05,-0.009,0.001,-0.018,-0.023,0.035,-0.028,0.043,0.026,0.03,0.047,0.029,-0.022,-0.047,-0.042,0.021,-0.001,0.041,0.022,-0.009,-0.041,-0.036,0.043,-0.038,0.031,0.034,0.027,-0.06,-0.043,-0.052,0.04,0.057,0.042,0.006,-0.02,0.016,0.031,0.015,0.053,-0.031,0.04,-0.003,0.03,0.027,0.002,-0.008,0.048,0.039,0.039,0.007,0.047,0.015,-0.0,0.031,0.035,0.051,0.027,-0.02,-0.032,0.019,0.055,-0.041,-0.047,-0.026,-0.028,0.052,-0.04,0.046,0.015,0.046,0.06,-0.02,-0.01,-0.064,-0.054,-0.007,0.017,-0.089,0.023,0.051
C3L-00102-06,0.015,-0.036,-0.056,-0.029,0.01,-0.011,-0.016,-0.034,0.043,0.037,0.018,0.025,0.059,-0.013,-0.002,0.02,-0.047,-0.047,-0.162,0.051,-0.036,0.014,-0.024,0.04,0.05,-0.021,-0.031,-0.027,-0.018,-0.037,0.041,-0.1,0.039,0.065,-0.066,0.04,-0.039,0.032,-0.021,0.045,0.024,0.039,0.036,0.04,-0.003,-0.024,0.047,0.029,0.051,-0.021,0.033,-0.014,-0.025,-0.039,-0.035,-0.036,0.033,-0.008,-0.008,0.061,0.038,0.052,-0.044,0.005,-0.028,-0.162,-0.037,0.068,-0.011,0.001,-0.019,-0.028,0.035,-0.028,0.032,0.026,0.03,0.047,0.029,-0.022,-0.047,-0.038,0.021,-0.001,0.041,0.022,-0.009,-0.041,-0.037,0.042,-0.038,0.03,0.034,0.027,-0.056,-0.043,-0.048,0.017,0.057,0.042,-0.007,-0.021,0.016,0.031,0.015,0.044,-0.031,0.04,-0.003,0.029,0.027,0.005,-0.01,0.043,0.039,0.04,0.007,0.047,0.015,-0.002,0.031,0.031,0.037,0.026,-0.02,-0.033,0.016,0.06,-0.041,-0.047,-0.026,-0.029,0.052,-0.039,0.045,0.012,0.046,0.058,-0.02,-0.01,-0.057,-0.038,0.003,0.017,-0.083,0.027,0.05
C3L-00277-03,0.016,-0.035,-0.057,-0.029,0.01,-0.011,-0.016,-0.035,0.047,0.038,0.02,0.025,0.06,-0.002,0.024,0.02,-0.046,-0.046,-0.145,0.052,-0.041,0.013,-0.024,0.04,0.046,-0.013,-0.032,-0.027,-0.018,-0.037,0.042,-0.125,0.031,0.064,-0.066,0.04,-0.039,0.031,-0.021,0.048,0.024,0.039,0.036,0.041,-0.005,-0.023,0.047,0.029,0.051,-0.022,0.033,-0.015,-0.018,-0.016,-0.036,-0.033,0.033,-0.01,-0.004,0.064,0.038,0.054,-0.046,0.005,-0.028,-0.166,-0.037,0.066,-0.01,0.0,-0.018,-0.043,0.035,-0.029,0.032,0.028,0.03,0.047,0.029,-0.022,-0.047,-0.04,0.021,-0.003,0.041,0.022,-0.009,-0.041,-0.037,0.043,-0.038,0.029,0.034,0.027,-0.06,-0.043,-0.049,0.034,0.062,0.042,0.008,-0.019,0.016,0.031,0.015,0.042,-0.031,0.039,-0.004,0.031,0.027,-0.0,-0.008,0.046,0.039,0.04,-0.002,0.047,0.016,-0.0,0.032,0.036,0.048,0.027,-0.021,-0.033,0.019,0.055,-0.039,-0.047,-0.027,-0.027,0.052,-0.04,0.046,0.016,0.046,0.061,-0.02,-0.011,-0.065,-0.051,0.001,0.017,-0.091,0.023,0.052
C3L-00622-04,0.014,-0.037,-0.054,-0.029,0.01,-0.011,-0.016,-0.034,0.044,0.037,0.024,0.025,0.058,-0.014,-0.012,0.02,-0.048,-0.047,-0.16,0.05,-0.038,0.016,-0.024,0.04,0.048,-0.025,-0.03,-0.027,-0.018,-0.037,0.042,-0.088,0.029,0.065,-0.066,0.04,-0.04,0.032,-0.021,0.044,0.024,0.039,0.035,0.04,0.002,-0.024,0.046,0.029,0.051,-0.022,0.033,-0.014,-0.015,-0.031,-0.035,-0.034,0.033,-0.008,-0.006,0.053,0.038,0.05,-0.038,0.005,-0.028,-0.15,-0.037,0.065,-0.012,0.001,-0.018,-0.022,0.035,-0.03,0.028,0.025,0.03,0.047,0.029,-0.022,-0.047,-0.037,0.02,-0.001,0.041,0.022,-0.009,-0.041,-0.036,0.042,-0.038,0.031,0.034,0.026,-0.056,-0.043,-0.047,0.007,0.054,0.042,0.01,-0.021,0.017,0.032,0.015,0.058,-0.031,0.04,-0.002,0.028,0.027,0.006,-0.011,0.043,0.039,0.039,-0.001,0.047,0.015,-0.001,0.032,0.037,0.045,0.026,-0.021,-0.032,0.017,0.066,-0.04,-0.047,-0.026,-0.027,0.052,-0.039,0.045,0.013,0.046,0.057,-0.02,-0.01,-0.053,-0.035,0.011,0.017,-0.088,0.026,0.05
C3L-00819-06,0.014,-0.036,-0.055,-0.029,0.01,-0.012,-0.016,-0.034,0.043,0.038,0.019,0.025,0.059,-0.014,-0.006,0.02,-0.047,-0.047,-0.166,0.047,-0.039,0.014,-0.024,0.04,0.051,-0.023,-0.031,-0.027,-0.018,-0.037,0.042,-0.096,0.036,0.065,-0.066,0.04,-0.039,0.032,-0.021,0.045,0.024,0.039,0.036,0.04,-0.007,-0.024,0.047,0.029,0.051,-0.021,0.033,-0.014,-0.02,-0.031,-0.035,-0.033,0.033,-0.008,-0.013,0.061,0.038,0.051,-0.044,0.005,-0.028,-0.175,-0.037,0.058,-0.012,0.001,-0.019,-0.009,0.035,-0.029,0.029,0.026,0.03,0.047,0.029,-0.022,-0.047,-0.038,0.021,-0.005,0.041,0.022,-0.009,-0.041,-0.037,0.042,-0.038,0.029,0.034,0.027,-0.056,-0.043,-0.048,0.017,0.056,0.042,0.001,-0.021,0.016,0.031,0.015,0.038,-0.031,0.04,-0.003,0.027,0.027,0.005,-0.01,0.041,0.039,0.039,0.008,0.047,0.015,-0.003,0.032,0.031,0.046,0.026,-0.02,-0.032,0.017,0.057,-0.04,-0.047,-0.026,-0.027,0.052,-0.039,0.045,0.015,0.046,0.06,-0.02,-0.01,-0.062,-0.038,0.013,0.017,-0.08,0.025,0.051
C3L-00928-03,0.01,-0.036,-0.059,-0.029,0.01,-0.011,-0.016,-0.035,0.046,0.039,0.022,0.025,0.059,-0.013,0.015,0.02,-0.046,-0.047,-0.153,0.052,-0.042,0.014,-0.024,0.04,0.053,-0.018,-0.029,-0.027,-0.018,-0.037,0.042,-0.119,0.041,0.065,-0.066,0.04,-0.039,0.032,-0.021,0.046,0.024,0.039,0.036,0.041,-0.008,-0.023,0.048,0.029,0.051,-0.021,0.033,-0.015,-0.016,-0.017,-0.035,-0.036,0.033,-0.009,-0.004,0.062,0.038,0.049,-0.044,0.005,-0.028,-0.196,-0.038,0.058,-0.008,0.001,-0.018,-0.029,0.035,-0.028,0.031,0.027,0.03,0.047,0.029,-0.022,-0.047,-0.042,0.022,-0.005,0.041,0.022,-0.009,-0.041,-0.036,0.042,-0.038,0.031,0.034,0.027,-0.058,-0.043,-0.051,0.025,0.058,0.042,-0.005,-0.021,0.016,0.031,0.015,0.046,-0.031,0.04,-0.003,0.03,0.027,0.001,-0.009,0.044,0.039,0.04,0.005,0.047,0.015,-0.002,0.032,0.037,0.052,0.026,-0.02,-0.032,0.017,0.052,-0.041,-0.047,-0.026,-0.028,0.052,-0.04,0.045,0.016,0.046,0.059,-0.02,-0.01,-0.068,-0.049,0.004,0.017,-0.08,0.025,0.051
C3L-01031-01,0.013,-0.036,-0.059,-0.029,0.01,-0.011,-0.016,-0.034,0.046,0.037,0.028,0.025,0.058,-0.01,0.005,0.02,-0.047,-0.047,-0.15,0.051,-0.042,0.013,-0.024,0.04,0.047,-0.014,-0.031,-0.027,-0.018,-0.036,0.042,-0.112,0.034,0.065,-0.066,0.04,-0.039,0.031,-0.02,0.047,0.024,0.039,0.035,0.041,-0.003,-0.023,0.048,0.029,0.051,-0.021,0.033,-0.015,-0.018,-0.019,-0.035,-0.037,0.033,-0.01,-0.006,0.06,0.038,0.047,-0.042,0.005,-0.028,-0.185,-0.037,0.063,-0.01,0.0,-0.018,-0.02,0.035,-0.028,0.025,0.025,0.03,0.047,0.029,-0.022,-0.047,-0.04,0.02,-0.001,0.041,0.022,-0.009,-0.041,-0.036,0.044,-0.038,0.03,0.034,0.027,-0.06,-0.043,-0.051,0.033,0.058,0.042,-0.002,-0.021,0.016,0.032,0.015,0.059,-0.031,0.04,-0.003,0.03,0.027,0.004,-0.008,0.046,0.039,0.038,0.011,0.047,0.015,-0.001,0.031,0.034,0.048,0.026,-0.02,-0.033,0.019,0.054,-0.041,-0.047,-0.026,-0.029,0.052,-0.04,0.044,0.015,0.046,0.061,-0.02,-0.011,-0.07,-0.042,0.001,0.017,-0.092,0.027,0.051
C3L-01032-01,0.014,-0.037,-0.063,-0.029,0.01,-0.011,-0.016,-0.034,0.046,0.039,0.02,0.025,0.057,-0.014,0.013,0.02,-0.047,-0.047,-0.161,0.051,-0.04,0.016,-0.024,0.04,0.054,-0.016,-0.03,-0.027,-0.018,-0.037,0.043,-0.124,0.043,0.065,-0.066,0.04,-0.039,0.031,-0.02,0.043,0.024,0.039,0.036,0.041,-0.016,-0.024,0.047,0.029,0.05,-0.022,0.033,-0.015,-0.016,-0.017,-0.033,-0.039,0.033,-0.009,-0.01,0.059,0.038,0.055,-0.045,0.005,-0.028,-0.172,-0.036,0.063,-0.014,0.0,-0.017,-0.029,0.035,-0.027,0.039,0.027,0.029,0.047,0.029,-0.022,-0.047,-0.041,0.02,-0.001,0.041,0.022,-0.009,-0.041,-0.038,0.044,-0.038,0.032,0.034,0.026,-0.059,-0.043,-0.05,0.017,0.059,0.042,-0.006,-0.021,0.017,0.031,0.015,0.051,-0.031,0.04,-0.003,0.03,0.027,-0.0,-0.009,0.045,0.039,0.04,0.003,0.047,0.014,-0.004,0.032,0.036,0.051,0.026,-0.02,-0.033,0.017,0.054,-0.039,-0.048,-0.024,-0.026,0.052,-0.039,0.045,0.017,0.046,0.057,-0.02,-0.01,-0.065,-0.048,0.005,0.017,-0.094,0.02,0.053
C3L-01036-01,0.015,-0.036,-0.059,-0.029,0.01,-0.011,-0.016,-0.035,0.046,0.038,0.02,0.025,0.06,-0.014,0.016,0.02,-0.047,-0.047,-0.161,0.051,-0.043,0.013,-0.024,0.04,0.053,-0.016,-0.031,-0.027,-0.018,-0.037,0.042,-0.129,0.041,0.065,-0.066,0.04,-0.039,0.031,-0.021,0.045,0.024,0.039,0.036,0.04,-0.012,-0.023,0.047,0.029,0.05,-0.021,0.033,-0.015,-0.02,-0.028,-0.032,-0.034,0.033,-0.009,-0.008,0.059,0.038,0.052,-0.045,0.005,-0.029,-0.161,-0.036,0.067,-0.009,0.001,-0.018,-0.024,0.035,-0.029,0.039,0.027,0.03,0.047,0.029,-0.022,-0.047,-0.037,0.02,0.003,0.042,0.022,-0.009,-0.041,-0.037,0.045,-0.038,0.03,0.034,0.027,-0.058,-0.043,-0.048,0.02,0.06,0.042,-0.006,-0.021,0.016,0.032,0.015,0.047,-0.031,0.04,-0.003,0.031,0.027,0.003,-0.008,0.047,0.039,0.04,0.007,0.047,0.015,-0.004,0.031,0.035,0.053,0.028,-0.02,-0.032,0.016,0.053,-0.043,-0.047,-0.026,-0.03,0.052,-0.04,0.046,0.013,0.046,0.059,-0.019,-0.011,-0.056,-0.043,0.0,0.017,-0.095,0.026,0.053
C3L-01039-03,0.016,-0.036,-0.059,-0.029,0.01,-0.011,-0.016,-0.035,0.045,0.038,0.023,0.025,0.06,-0.017,0.003,0.02,-0.047,-0.047,-0.16,0.049,-0.041,0.016,-0.024,0.04,0.045,-0.014,-0.031,-0.027,-0.018,-0.037,0.043,-0.1,0.048,0.065,-0.066,0.04,-0.039,0.032,-0.021,0.045,0.024,0.039,0.036,0.04,-0.006,-0.024,0.047,0.029,0.051,-0.021,0.033,-0.014,-0.017,-0.023,-0.033,-0.034,0.033,-0.009,-0.005,0.06,0.038,0.047,-0.042,0.005,-0.028,-0.127,-0.037,0.066,-0.01,0.001,-0.018,-0.022,0.035,-0.029,0.028,0.025,0.03,0.047,0.029,-0.022,-0.047,-0.037,0.021,0.001,0.041,0.022,-0.009,-0.041,-0.038,0.044,-0.038,0.031,0.034,0.027,-0.059,-0.043,-0.049,0.021,0.059,0.042,0.004,-0.02,0.017,0.031,0.015,0.048,-0.031,0.04,-0.003,0.03,0.027,0.003,-0.007,0.043,0.039,0.041,0.015,0.047,0.015,-0.003,0.032,0.037,0.049,0.027,-0.02,-0.032,0.02,0.052,-0.041,-0.047,-0.025,-0.027,0.052,-0.04,0.046,0.016,0.046,0.058,-0.02,-0.01,-0.059,-0.045,0.008,0.017,-0.095,0.027,0.052
