,,coef
RNH1,gene_expression,0.0
RNF167,gene_expression,0.0
SEC61B,gene_expression,0.0046758396
ZSCAN5A,gene_expression,0.0
FAM83F,gene_expression,0.0
CPLX1,gene_expression,0.0044956193
CLSTN1,gene_expression,0.0
MTR,gene_expression,0.022496594
RMND5A,gene_expression,0.0
HGH1,gene_expression,0.0
HNRNPH2,gene_expression,0.004718444
GDAP2,gene_expression,0.0
PPP2R3C,gene_expression,0.0
SLC52A3,gene_expression,0.009119924
LZTS1,gene_expression,0.0
SH2D5,gene_expression,0.0
TMEM214,gene_expression,0.0
SPANXN3,gene_expression,0.0
DLG5,gene_expression,0.0
RANBP1,gene_expression,0.00031956396
SYVN1,gene_expression,0.0042563975
CNTROB,gene_expression,0.0
PIN1,gene_expression,0.009175934
OPRM1,gene_expression,9.57369e-05
CEBPA,gene_expression,0.00026584248
OAF,gene_expression,0.0
WRNIP1,gene_expression,0.0
MAN2B2,gene_expression,0.0018052295
WFDC5,gene_expression,0.0
RNF125,gene_expression,5.5168184e-05
ZNF408,gene_expression,0.0
FDCSP,gene_expression,0.0
OCIAD1,gene_expression,0.0
RNASEH1,gene_expression,0.0
DENND1C,gene_expression,0.0011959667
TRIM33,gene_expression,0.0003170678
OR5T1,gene_expression,8.504767e-06
MFHAS1,gene_expression,0.0
ADO,gene_expression,0.0
HIPK4,gene_expression,0.0
IPO9,gene_expression,0.0
LZIC,gene_expression,0.0
RNF10,gene_expression,0.0
SCAP,gene_expression,0.0
AXDND1,gene_expression,0.0
NAT8,gene_expression,8.589998e-08
NETO1,gene_expression,0.0
FAM189A2,gene_expression,0.0
N4BP2L1,gene_expression,0.0
RGL1,gene_expression,0.00058968127
PSMC5,gene_expression,0.035990775
TOMM20,gene_expression,0.00046661546
APIP,gene_expression,0.0030972487
FAM199X,gene_expression,0.0
SFRP2,gene_expression,0.00070439925
CLEC16A,gene_expression,0.0
STOML1,gene_expression,0.0
COPS6,gene_expression,0.016976828
PLBD1,gene_expression,0.09027113
TP53I3,gene_expression,0.00069809984
OR1L8,gene_expression,7.929222e-06
TMCO3,gene_expression,0.0
SLC3A2,gene_expression,0.003982279
