,coef
R-HSA-110362,0.030232606
R-HSA-5651801,0.24204254
R-HSA-73930,0.0015504451
R-HSA-111461,0.009544172
R-HSA-264870,5.6384943e-05
R-HSA-351906,0.0002033499
R-HSA-352238,1.2140407e-05
R-HSA-111469,0.0006382689
R-HSA-111885,0.03533207
R-HSA-111933,0.003964739
R-HSA-112399,0.017013287
R-HSA-110056,9.950232e-05
R-HSA-112411,0.00019529577
R-HSA-113510,0.062305655
R-HSA-111446,0.0015159461
R-HSA-111447,0.00010873916
R-HSA-111448,0.00022407346
R-HSA-139910,0.00013874644
R-HSA-139915,0.0020373608
R-HSA-1169091,0.001701425
R-HSA-1169092,0.008093855
R-HSA-2025928,0.0008473073
R-HSA-1169408,0.094332896
R-HSA-1222387,0.0
R-HSA-1222449,0.0
R-HSA-1222538,0.0
R-HSA-1222541,0.0
R-HSA-1234158,0.15675999
R-HSA-1234162,0.0012328724
R-HSA-1234176,0.058276128
R-HSA-1236973,0.018156169
R-HSA-1236974,0.0076924353
R-HSA-1236977,0.0075558433
R-HSA-1236978,0.014923778
R-HSA-1296041,0.0165009
R-HSA-141333,0.0
R-HSA-141334,0.0
R-HSA-211227,0.0022340717
R-HSA-3371378,0.00041137423
R-HSA-69416,0.00019250276
R-HSA-141430,0.020250855
R-HSA-141444,0.013193468
R-HSA-1461957,3.7079622e-05
R-HSA-1462054,0.0002554327
R-HSA-1482788,0.042855
R-HSA-1482798,0.08539466
R-HSA-1482801,0.0070296344
R-HSA-1482839,0.117161125
R-HSA-1482883,0.006236337
R-HSA-1482922,0.097991355
R-HSA-1482925,0.004943041
R-HSA-1483076,0.0006417864
R-HSA-1483101,0.0
R-HSA-1483115,0.01584303
R-HSA-1483148,0.24059805
R-HSA-1483152,0.009742579
R-HSA-1483166,0.06729978
R-HSA-1483171,0.0
R-HSA-1483191,0.07648494
R-HSA-1483196,0.0061810114
R-HSA-1483213,0.023727855
R-HSA-1483226,0.00278843
R-HSA-1483248,0.015885254
R-HSA-1660499,0.03248544
R-HSA-1660502,0.0
R-HSA-1660508,0.0
R-HSA-1660510,0.0
R-HSA-1660514,0.012405632
R-HSA-1660516,0.04119619
R-HSA-1660517,0.0024498322
R-HSA-1660524,0.0
R-HSA-1660537,0.0
R-HSA-6814848,0.0030803466
R-HSA-8847453,0.0025295955
R-HSA-1362277,0.13379464
R-HSA-1362300,0.011135307
R-HSA-159424,8.150101e-05
R-HSA-173599,1.7317768e-10
R-HSA-174403,0.00010700105
R-HSA-159227,0.00037649844
R-HSA-159230,0.013053227
R-HSA-159231,0.0005238305
R-HSA-159740,0.004772336
R-HSA-159763,0.0021952542
R-HSA-159782,0.005824845
R-HSA-1606341,0.002790985
R-HSA-1810476,1.6061309e-05
R-HSA-1614517,3.2619187e-06
R-HSA-162594,9.6275726e-05
R-HSA-162599,0.0007073642
R-HSA-164952,0.0031664185
R-HSA-176033,0.0027266634
R-HSA-176034,0.0005402042
R-HSA-177243,0.00045145824
R-HSA-180534,0.000926735
R-HSA-180585,0.00047728306
R-HSA-180689,0.00021985808
R-HSA-2022854,0.11000166
R-HSA-2022857,0.14428195
R-HSA-1971475,0.026867364
R-HSA-2022928,0.109499
R-HSA-2024096,0.038430672
R-HSA-2426168,0.032817945
R-HSA-166020,1.4216034e-05
R-HSA-166166,0.017908933
R-HSA-445989,0.0015828703
R-HSA-450294,0.0019791804
R-HSA-167826,0.00088225974
R-HSA-167827,0.0012677903
R-HSA-166786,0.010025163
R-HSA-173736,0.0031998558
R-HSA-975155,0.0017081536
R-HSA-168927,0.004783405
R-HSA-9013957,0.0007512108
R-HSA-9013973,0.00024496985
R-HSA-9014325,0.00038539336
R-HSA-168276,0.051359236
R-HSA-168277,0.0
R-HSA-168268,0.0
R-HSA-168270,0.0
R-HSA-168271,0.00073606044
R-HSA-168273,0.05970544
R-HSA-168274,0.0038910708
R-HSA-168275,0.0
R-HSA-5250955,0.0095836315
R-HSA-5250958,0.002902469
R-HSA-5250968,0.0023324627
R-HSA-5250971,0.0012136112
R-HSA-5250981,1.4629763e-05
R-HSA-5250982,0.0019640645
R-HSA-5250989,0.0010534736
R-HSA-5250992,0.021041334
R-HSA-174084,0.0587383
R-HSA-174178,0.038062178
R-HSA-176407,0.016501546
R-HSA-176814,0.07735455
R-HSA-174417,2.5792478e-05
R-HSA-2022870,0.048063427
R-HSA-2022923,0.08483257
R-HSA-2024101,0.005178222
R-HSA-171319,0.00047613287
R-HSA-629602,0.033104453
R-HSA-3249367,8.558248e-05
R-HSA-3270619,0.00091871514
R-HSA-1839124,0.009344422
R-HSA-1839126,0.018504832
R-HSA-187015,0.00061168004
R-HSA-167021,0.0018070805
R-HSA-177504,0.0050132577
R-HSA-187687,0.0039347424
R-HSA-198203,0.0043230844
R-HSA-198725,0.006844252
R-HSA-198745,0.00078101654
R-HSA-198765,5.839891e-05
R-HSA-190239,0.0009098838
R-HSA-190241,0.008044171
R-HSA-190242,0.00040059598
R-HSA-190322,0.0006573699
R-HSA-190861,0.0012785353
R-HSA-190873,7.0556314e-05
R-HSA-6807047,0.0020780803
R-HSA-6807062,0.0055645257
R-HSA-191647,0.001667588
R-HSA-192105,0.007423758
R-HSA-209543,0.01423848
R-HSA-209560,0.020543633
R-HSA-193634,0.0006659857
R-HSA-209563,0.0006904
R-HSA-159418,0.05795221
R-HSA-195399,0.00078970124
R-HSA-193048,0.006035606
R-HSA-193144,0.0017442644
R-HSA-193993,0.004196664
R-HSA-194002,0.010551335
R-HSA-196108,0.009002122
R-HSA-197264,0.001980133
R-HSA-196783,0.00011958125
R-HSA-6811558,0.057498634
R-HSA-4411364,0.0001292787
R-HSA-2046105,0.0020574648
R-HSA-2046106,0.01136203
R-HSA-193648,0.013667243
R-HSA-205025,0.0016963403
R-HSA-205043,0.000618326
R-HSA-350864,0.0003504092
R-HSA-211916,0.0018171616
R-HSA-211935,0.0023095938
R-HSA-211958,0.0006855771
R-HSA-211976,0.025198054
R-HSA-211979,0.000540095
R-HSA-211981,0.0027920872
R-HSA-2142670,0.000112318274
R-HSA-2142688,0.00156629
R-HSA-2142691,0.0007220601
R-HSA-2142696,7.5040036e-05
R-HSA-2142712,0.00028747116
R-HSA-2142770,1.5755892e-05
R-HSA-2142816,0.0014300137
R-HSA-2162123,0.0039660353
R-HSA-2142850,0.0019836458
R-HSA-2160916,0.119510606
R-HSA-2173788,0.00016176148
R-HSA-2173795,0.0006231278
R-HSA-2173796,0.0011634133
R-HSA-2206280,0.0
R-HSA-2206282,0.0
R-HSA-2206285,0.0
R-HSA-2206290,0.0
R-HSA-2206291,0.0
R-HSA-2206292,0.0
R-HSA-2206296,0.0
R-HSA-2206302,0.0
