ind,Extracellular matrix organization,Reproduction,Immune System,Muscle contraction,Chromatin organization,Developmental Biology,Circadian Clock,Vesicle-mediated transport,Mitophagy,Digestion and absorption,DNA Replication,Organelle biogenesis and maintenance,Gene expression (Transcription),Programmed Cell Death,DNA Repair,Cellular responses to external stimuli,Metabolism of RNA,Cell Cycle,Cell-Cell communication,Neuronal System,Signal Transduction,Metabolism of proteins,Metabolism,Transport of small molecules,Disease,Hemostasis
C3L-00017-02,-0.00016857343,0.00012880332,-7.077595e-05,0.00029901182,-3.665404e-07,0.00047803353,0.00038901943,0.0016688526,2.3448636e-06,-6.6148773e-06,-3.4913874e-06,-0.0003681636,0.00040237862,3.4577617e-05,0.0002947788,0.00045731253,-0.00047264458,0.00073272485,-4.259098e-05,-0.0010998602,0.004045707,0.005230348,-0.002774014,-0.00098493,0.007912967,5.639342e-05
C3L-00102-06,-0.00045248002,0.0001339222,0.000227682,0.00018522228,-3.120446e-07,0.00056544074,0.0003473019,0.001659797,1.7944203e-06,-3.371139e-05,-2.1436172e-06,-0.00038184455,0.00032175155,3.7245813e-05,0.0002586513,2.1159498e-05,-0.00051491277,0.00080217794,-3.7528218e-05,-0.0011640897,0.00304601,0.0041664387,-0.003866979,-0.00058463606,0.008241106,-0.00036764488
C3L-00277-03,-0.00053906196,0.00014665922,0.0002681481,0.00036979176,1.7253444e-07,0.00032744338,0.00041459195,0.0016842907,2.891212e-06,-4.9087107e-06,-4.711589e-06,-0.0003731294,0.0005424344,4.12623e-05,0.00030426835,0.0005498342,-0.00030808628,0.0010659496,-3.0173189e-05,-0.00051903457,0.004255519,0.006359051,-0.004218483,-0.0010825595,0.008187315,-0.00017897873
C3L-00622-04,-6.786911e-06,0.000113899914,-0.00018558835,0.00015963764,-6.419537e-07,0.0005475035,0.00032803128,0.0015678443,1.971386e-06,-2.2993481e-05,-5.981755e-07,-0.0003847043,0.00023051363,3.070771e-05,0.00022107495,-0.00028172674,-0.00054348534,0.0004749913,-2.900459e-05,-0.0007301326,0.0028021578,0.0031519723,-0.0046699746,-0.00079714024,0.0076850886,-0.000267436
C3L-00819-06,-0.000659767,0.00011990441,0.00012950503,0.00020575966,-6.1120926e-07,0.00063156884,0.0003374893,0.0016557497,1.2839915e-06,-2.302984e-05,-1.5547363e-06,-0.0003755288,0.0002835253,3.4876764e-05,0.00043601732,0.00035020467,-0.0004514793,0.0008424791,-3.8829246e-05,-0.001328851,0.0028123758,0.0034935442,-0.0026654296,-0.00065772946,0.009027758,-0.00025365216
C3L-00928-03,-0.00049880863,0.0001552349,0.0001315983,0.00034884972,-2.9972531e-07,0.0004335832,0.0003838578,0.0017021562,2.079432e-06,-6.1060546e-06,-3.1258123e-06,-0.00034857364,0.00040104287,3.872212e-05,0.00029093653,0.00076023774,-0.00036373193,0.0008741307,-4.1156323e-05,-0.0009805652,0.003615679,0.005846621,-0.0037498903,-0.00090463314,0.0102142,-7.9889076e-05
C3L-01031-01,-6.424827e-05,0.00013684283,-0.00013742085,0.00023259089,-2.573808e-07,0.00044496247,0.00034526203,0.0016921993,2.8355516e-06,-9.049974e-06,-3.465358e-06,-0.00038944723,0.0003415029,4.501023e-05,0.00024756516,0.000898026,-0.00050100783,0.0007769905,-3.9166986e-05,-0.0013360104,0.0036298444,0.0053429077,-0.0037431947,-0.00094690325,0.009578157,-0.00023407883
C3L-01032-01,-0.00037747645,0.0001403943,0.00022379182,0.00038529822,-5.2148795e-07,0.0005566279,0.00037993694,0.0017336907,1.7413262e-06,-6.1581027e-06,-2.0683565e-06,-0.00035002994,0.00043361913,4.8965463e-05,5.6934555e-06,0.00054047554,-0.0005872498,0.00097143237,-4.4115564e-05,-0.0008742117,0.003929831,0.0056727384,-0.0043697855,-0.00091594394,0.008775054,6.875958e-05
C3L-01036-01,-0.00038541315,0.00015104737,0.00016775484,0.00025990812,-1.8625806e-07,0.00058697356,0.00038139944,0.0016334081,2.290394e-06,-2.0048086e-05,-4.379989e-06,-0.00037930577,0.00046514597,4.097583e-05,-3.052452e-05,-5.7914178e-05,-0.00064070284,0.0009545444,-4.221796e-05,-0.0010526957,0.0037417705,0.0065105404,-0.004205281,-0.00083262485,0.007989421,8.1938444e-05
C3L-01039-03,-0.00036861195,0.00013942886,0.00015995163,0.0002673398,-1.1150651e-07,0.0005113043,0.0003713512,0.0016391794,1.7336904e-06,-1.3306235e-05,-4.056932e-06,-0.00035551473,0.00036116815,4.131263e-05,4.9567938e-05,0.00017434898,-0.00048006073,0.00083210104,-4.1251355e-05,-0.0015567519,0.0037174062,0.004281281,-0.004355818,-0.000825546,0.00597246,-0.00021302633
