,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
Glucagon signaling in metabolic regulation,0.006605476,2.0,0.006605476,-0.27264604,0.0411534
Synthesis of pyrophosphates in the cytosol,0.009035705,2.0,0.009035705,-0.24947278,0.05832919
"Synthesis, secretion, and deacylation of Ghrelin",0.0002908978,2.0,0.0002908978,-0.33285826,-0.003475326
Scavenging by Class B Receptors,0.0007910063,2.0,0.0007910063,-0.3280895,5.9238686e-05
Cellular hexose transport,0.006836955,2.0,0.006836955,-0.2704388,0.042789377
Signaling by TGF-beta Receptor Complex,0.00077638036,4.0,0.00077638036,-0.32822898,-0.34916106
Phase I - Functionalization of compounds,0.0030331952,7.0,0.0030331952,-0.3067093,-0.85688627
PERK regulates gene expression,0.014079004,2.0,0.014079004,-0.20138276,0.093973055
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),0.0067887115,2.0,0.0067887115,-0.27089882,0.042448416
Dissolution of Fibrin Clot,0.025101868,2.0,0.025101868,-0.096275024,0.17187789
DNA strand elongation,0.0003296337,4.0,0.0003296337,-0.33248892,-0.3523185
Neurotransmitter receptors and postsynaptic signal transmission,0.049230482,6.0,0.049230482,0.13380165,-0.35582536
Diseases associated with glycosaminoglycan metabolism,0.002613434,16.0,0.002613434,-0.3107119,-2.430879
Plasmalogen biosynthesis,0.0935468,2.0,0.0935468,0.55637676,0.655617
RNA Polymerase III Transcription Termination,0.022547236,2.0,0.022547236,-0.12063454,0.15382285
RNA Polymerase III Abortive And Retractive Initiation,0.0024586513,2.0,0.0024586513,-0.31218782,0.0118454285
SRP-dependent cotranslational protein targeting to membrane,0.1758727,2.0,0.1758727,1.3413894,1.2374607
Signaling by NOTCH4,0.0015892307,4.0,0.0015892307,-0.32047808,-0.34341618
Receptor-type tyrosine-protein phosphatases,0.008485492,2.0,0.008485492,-0.2547193,0.054440536
Erythrocytes take up carbon dioxide and release oxygen,0.0004888461,2.0,0.0004888461,-0.33097073,-0.0020762952
Signaling by TGF-beta Receptor Complex in Cancer,0.006775984,5.0,0.006775984,-0.27102017,-0.4813169
Nucleobase catabolism,0.006184069,4.0,0.006184069,-0.27666435,-0.31094185
Choline catabolism,0.015878549,2.0,0.015878549,-0.18422332,0.106691465
TNF signaling,0.007874798,5.0,0.007874798,-0.2605425,-0.47355098
