,,root
RNH1,gene_expression,0.14003459
RNF167,gene_expression,-0.07753694
SEC61B,gene_expression,-0.008575405
ZSCAN5A,gene_expression,0.062889315
FAM83F,gene_expression,-0.012107272
CPLX1,gene_expression,0.08233308
CLSTN1,gene_expression,0.061273776
MTR,gene_expression,-0.14953186
RMND5A,gene_expression,-0.17922276
HGH1,gene_expression,0.17188525
HNRNPH2,gene_expression,-0.014364196
GDAP2,gene_expression,0.06884011
PPP2R3C,gene_expression,-0.07492549
SLC52A3,gene_expression,0.07849075
LZTS1,gene_expression,0.08839653
SH2D5,gene_expression,0.06913048
TMEM214,gene_expression,0.06178393
SPANXN3,gene_expression,-0.0008013859
DLG5,gene_expression,-1.49802e-14
RANBP1,gene_expression,-0.030966412
SYVN1,gene_expression,0.055904076
CNTROB,gene_expression,0.13495195
PIN1,gene_expression,-0.046401966
OPRM1,gene_expression,0.043887682
CEBPA,gene_expression,-0.0752475
OAF,gene_expression,0.092205256
WRNIP1,gene_expression,-0.040307548
MAN2B2,gene_expression,0.095933795
WFDC5,gene_expression,-0.1124215
RNF125,gene_expression,-0.0009119584
ZNF408,gene_expression,0.04126694
FDCSP,gene_expression,0.13739495
OCIAD1,gene_expression,0.026389763
RNASEH1,gene_expression,-0.06509628
DENND1C,gene_expression,-0.07810349
TRIM33,gene_expression,0.12807962
OR5T1,gene_expression,-0.112433225
MFHAS1,gene_expression,0.07906713
ADO,gene_expression,0.09871356
HIPK4,gene_expression,0.06961999
IPO9,gene_expression,0.108116664
LZIC,gene_expression,-7.160399e-11
RNF10,gene_expression,-0.11230647
SCAP,gene_expression,0.007700947
AXDND1,gene_expression,0.16578992
NAT8,gene_expression,0.0008534488
NETO1,gene_expression,-0.040265385
FAM189A2,gene_expression,-0.090779684
N4BP2L1,gene_expression,0.035977375
RGL1,gene_expression,-0.010190807
PSMC5,gene_expression,-0.1338358
TOMM20,gene_expression,0.060313046
APIP,gene_expression,0.06797508
FAM199X,gene_expression,0.08213522
SFRP2,gene_expression,-0.03604776
CLEC16A,gene_expression,0.002458555
STOML1,gene_expression,0.055124976
COPS6,gene_expression,-0.22218238
PLBD1,gene_expression,0.10444562
TP53I3,gene_expression,-0.02852263
OR1L8,gene_expression,0.009380569
TMCO3,gene_expression,-0.09609484
SLC3A2,gene_expression,0.00357144
TTLL12,gene_expression,-0.13711023
LSR,gene_expression,-0.042661708
SCML2,gene_expression,-0.0010535007
FANCA,gene_expression,-0.10702661
RAB3IL1,gene_expression,0.009793726
SCAMP1,gene_expression,0.08612834
MCC,gene_expression,-0.041856445
RNF115,gene_expression,-0.07417889
ZFAND1,gene_expression,0.029340278
DPP9,gene_expression,0.073833555
FAM118B,gene_expression,0.105304725
PEMT,gene_expression,-0.03190459
CCDC102A,gene_expression,0.0434994
CCNI,gene_expression,0.25327483
COX10,gene_expression,-0.11295604
ZC2HC1C,gene_expression,-0.100482725
SYTL4,gene_expression,-0.05619481
CCDC47,gene_expression,0.0288272
PAEP,gene_expression,0.00791229
TBC1D1,gene_expression,-0.2508665
ST18,gene_expression,0.061381355
TMCC3,gene_expression,-0.08134547
RBCK1,gene_expression,-0.13942748
CREBBP,gene_expression,-0.04323007
SERINC1,gene_expression,-0.022288071
CALML3,gene_expression,-0.05976931
TTC12,gene_expression,-0.14935203
KRAS,gene_expression,-0.10251936
HTR3D,gene_expression,-0.073449336
CBY1,gene_expression,-0.08864016
SET,gene_expression,-0.20542915
STIM2,gene_expression,0.00060539297
RNF41,gene_expression,-0.08798622
ESRRA,gene_expression,0.08300783
DSN1,gene_expression,0.04744743
ABL2,gene_expression,0.23030397
HSF5,gene_expression,-0.05590398
BROX,gene_expression,-0.0069706985
