,root
R-HSA-1474244,-0.3669135
R-HSA-1474165,0.5674836
R-HSA-168256,-0.5042013
R-HSA-397014,-0.2970712
R-HSA-4839726,0.15771024
R-HSA-1266738,-0.20463003
R-HSA-400253,-0.7629587
R-HSA-5653656,-0.5132008
R-HSA-5205647,-0.037663788
R-HSA-8963743,0.07004416
R-HSA-69306,-0.12534492
R-HSA-1852241,-0.45689806
R-HSA-74160,-0.0703244
R-HSA-5357801,-0.13359463
R-HSA-73894,-0.39128706
R-HSA-8953897,0.54728585
R-HSA-8953854,-0.5202149
R-HSA-1640170,-0.40750298
R-HSA-1500931,-0.18709256
R-HSA-112316,-0.33313677
R-HSA-162582,0.31218323
R-HSA-392499,0.63522863
R-HSA-1430728,0.5796654
R-HSA-382551,0.38938367
R-HSA-1643685,0.6372192
R-HSA-109582,-0.21632487
