,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,0.0008979499,2.0,0.0008979499,-0.27017978,-0.014544752,2
A tetrasaccharide linker sequence is required for GAG synthesis,0.026867364,14.0,0.026867364,0.15593149,0.070456065,2
A1CF,0.0096462,1.0,0.0096462,0.15210249,0.22486582,1
AAAS,0.05269033,18.0,0.05269033,1.8159606,-1.7191957,1
AACS,0.0036712342,1.0,0.0036712342,-0.07885805,0.039606467,1
AADAC,0.0,0.0,0.0,-0.22076853,0.118640244,1
AADACL2,0.0,0.0,0.0,-0.22076853,0.118640244,1
AAGAB,0.0,0.0,0.0,-0.22076853,0.118640244,1
AAMP,0.0,0.0,0.0,-0.22076853,0.118640244,1
AANAT,0.0005829654,1.0,0.0005829654,-0.19823416,-0.05614818,1
AARSD1,0.0,0.0,0.0,-0.22076853,0.118640244,1
AASDH,0.0,0.0,0.0,-0.22076853,0.118640244,1
AASDHPPT,0.0,0.0,0.0,-0.22076853,0.118640244,1
AASS,0.005765577,1.0,0.005765577,0.002098152,0.1045435,1
AATF,0.0023708432,1.0,0.0023708432,-0.12912428,-0.00071336824,1
ABC transporter disorders,0.00024340226,16.0,0.00024340226,-0.33331114,-2.4476295,4
ABC transporters in lipid homeostasis,0.09726809,2.0,0.09726809,0.59186083,0.6819175,2
ABC-family proteins mediated transport,0.09505621,3.0,0.09505621,0.1454737,0.48246673,5
ABCA13,3.0311925e-05,1.0,3.0311925e-05,-0.21959683,-0.07328372,1
ABCA2,0.008861871,1.0,0.008861871,0.12178451,0.200547,1
ABCA3,0.015594912,2.0,0.015594912,0.3820482,0.21644737,1
ABCA7,0.01672064,1.0,0.01672064,0.42556286,0.44421545,1
ABCA8,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCB10,0.0019633567,1.0,0.0019633567,-0.14487554,-0.013347857,1
ABCB4,4.2154765e-12,1.0,4.2154765e-12,-0.22076853,-0.07422357,1
ABCB5,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCB6,3.786862e-05,1.0,3.786862e-05,-0.21930473,-0.07304941,1
ABCB7,0.0026666664,1.0,0.0026666664,-0.11768932,0.008458908,1
ABCB8,0.0015464739,1.0,0.0015464739,-0.16099001,-0.026273709,1
ABCB9,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCC1,1.47521005e-05,2.0,1.47521005e-05,-0.22019829,-0.26662996,1
ABCC10,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCC12,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCC4,0.019959295,1.0,0.019959295,0.55075216,0.544633,1
ABCD1,0.067848876,4.0,0.067848876,2.4019098,1.4509025,1
ABCD2,0.017462326,1.0,0.017462326,0.45423254,0.46721214,1
ABCD3,0.011330949,1.0,0.011330949,0.21722598,0.27710307,1
ABCD4,0.01361048,1.0,0.01361048,0.3053406,0.34778205,1
ABCE1,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCF1,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCF2,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCF3,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABCG1,0.0015853395,2.0,0.0015853395,-0.15948768,-0.21793242,1
ABCG2,9.717474e-05,1.0,9.717474e-05,-0.21701227,-0.07121058,1
ABHD10,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD13,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD14A,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD14B,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD15,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD16A,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD16B,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD17A,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD17B,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD17C,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABHD3,0.03253875,1.0,0.03253875,1.0370072,0.9346706,1
ABHD4,0.0149596855,1.0,0.0149596855,0.3574937,0.38961542,1
ABHD5,0.018644756,1.0,0.018644756,0.49993902,0.5038744,1
ABHD6,0.0015617046,1.0,0.0015617046,-0.1604013,-0.025801463,1
ABHD8,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABI1,2.8456745e-08,2.0,2.8456745e-08,-0.22076742,-0.26708648,1
ABI2,0.25386053,2.0,0.25386053,9.592135,7.604094,1
ABL1,0.10225271,8.0,0.10225271,3.7317798,1.74617,1
ABL2,0.000700763,1.0,0.000700763,-0.19368073,-0.052495763,1
ABLIM1,0.0049855635,1.0,0.0049855635,-0.028053036,0.08035846,1
ABLIM2,0.004520561,1.0,0.004520561,-0.046027567,0.06594063,1
ABR,0.00049727893,3.0,0.00049727893,-0.20154636,-0.44453257,1
ABRA,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABRACL,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABT1,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABTB1,0.0,0.0,0.0,-0.22076853,0.118640244,1
ABTB2,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACAA1,0.027038276,4.0,0.027038276,0.824388,0.18553193,1
ACACA,0.029609734,4.0,0.029609734,0.92378706,0.2652624,1
ACACB,0.027148891,3.0,0.027148891,0.8286638,0.38182545,1
ACAD10,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACAD11,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACAD9,0.0047776657,1.0,0.0047776657,-0.03608926,0.073912404,1
ACADM,0.16474724,3.0,0.16474724,6.147487,4.64819,1
ACADS,0.17407678,1.0,0.17407678,6.508118,5.3231893,1
ACADVL,0.16968308,2.0,0.16968308,6.3382807,4.9940944,1
ACAP2,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACAP3,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACAT2,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACBD3,0.00072364067,1.0,0.00072364067,-0.19279641,-0.051786404,1
ACBD4,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACBD5,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACBD6,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACCS,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACD,0.0052402527,2.0,0.0052402527,-0.018208098,-0.104608454,1
ACIN1,0.0,0.0,0.0,-0.22076853,0.118640244,1
ACKR2,0.0,0.0,0.0,-0.22076853,0.118640244,1
