,value,layer,x,layer_weight,y
CD81,121.41056333993771,1,0.08,3282.657871533791,0.3170636297999387
CLN3,272.0738397571637,1,0.08,3282.657871533791,0.10705699637432763
DHX9,243.02564749662469,1,0.08,3282.657871533791,0.159362121003222
EPDR1,78.60226088518456,1,0.08,3282.657871533791,0.3540539017095582
GO:0000768,147.80934316732808,4,0.4266666666666667,2458.4739180759893,0.3483722631490002
GO:0001505,93.39266131994307,4,0.4266666666666667,2458.4739180759893,0.4380462333912116
GO:0001736,73.7701138140243,3,0.2833333333333333,2461.426239234768,0.3913475590741281
GO:0002220,161.5835426625908,2,0.14,2417.022725756534,0.27223618709777053
GO:0002253,203.88339468374141,5,0.5700000000000001,2248.62294235466,0.23798936628199496
GO:0002376,227.61098483568932,6,0.7133333333333334,1181.9538717243054,0.47426142501338187
GO:0002429,208.55432040062155,3,0.2833333333333333,2461.426239234768,0.21996172917431456
GO:0002757,195.82231982053207,4,0.4266666666666667,2458.4739180759893,0.2108292296304447
GO:0003179,170.8592732560832,4,0.4266666666666667,2458.4739180759893,0.2605459245254065
GO:0003185,138.55361821146624,2,0.14,2417.022725756534,0.3570757780411882
GO:0006949,154.44313513710586,5,0.5700000000000001,2248.62294235466,0.3411074308760405
GO:0007154,92.12450017176516,5,0.5700000000000001,2248.62294235466,0.43921465414398153
GO:0007267,86.75074562994385,4,0.4266666666666667,2458.4739180759893,0.46247106127940923
GO:0008152,0.028841017234406133,6,0.7133333333333334,1181.9538717243054,0.6666585329546484
GO:0009653,168.64720381564703,5,0.5700000000000001,2248.62294235466,0.29321288278513546
GO:0009987,420.29348302968083,6,0.7133333333333334,1181.9538717243054,0.11853070667823706
GO:0021541,157.52024859416426,2,0.14,2417.022725756534,0.31624401924822126
GO:0021546,107.38276197757821,4,0.4266666666666667,2458.4739180759893,0.3829726038005185
GO:0021569,82.13319876887051,2,0.14,2417.022725756534,0.4576452474935387
GO:0022406,407.0909032562779,5,0.5700000000000001,2248.62294235466,0.06034669717013412
GO:0022412,82.32349189599198,5,0.5700000000000001,2248.62294235466,0.46507462808357003
GO:0030029,109.29635339260426,5,0.5700000000000001,2248.62294235466,0.3802038757211589
GO:0030048,102.70791123498499,4,0.4266666666666667,2458.4739180759893,0.4114578457586653
GO:0032411,65.30937338624712,3,0.2833333333333333,2461.426239234768,0.41018209830499697
GO:0032502,159.3658863136746,6,0.7133333333333334,1181.9538717243054,0.5833962173847115
GO:0034238,117.62999736530122,2,0.14,2417.022725756534,0.43009576219696094
GO:0035295,164.54383602761698,4,0.4266666666666667,2458.4739180759893,0.30602171160042085
GO:0044093,281.6454864427301,4,0.4266666666666667,2458.4739180759893,0.1460915343265045
GO:0048211,391.11031789784477,2,0.14,2417.022725756534,0.0539383037555603
GO:0048278,412.345730833853,3,0.2833333333333333,2461.426239234768,0.05584103019367706
GO:0048565,180.9468756762128,3,0.2833333333333333,2461.426239234768,0.2727090875781867
GO:0051099,295.5064666915006,3,0.2833333333333333,2461.426239234768,0.15170038553304563
GO:0051580,102.5424858450152,3,0.2833333333333333,2461.426239234768,0.34164293587712563
GO:0060684,95.3600957930486,3,0.2833333333333333,2461.426239234768,0.36844346565176417
GO:0060872,23.30105201387408,3,0.2833333333333333,2461.426239234768,0.422181973822652
GO:0061525,136.64463391994357,2,0.14,2417.022725756534,0.39502856587927404
GO:0061687,60.03479972942986,5,0.5700000000000001,2248.62294235466,0.4861776609581925
GO:0065007,306.73371580855405,6,0.7133333333333334,1181.9538717243054,0.32356611915097705
GO:0065008,98.32905852946485,5,0.5700000000000001,2248.62294235466,0.41098203302672187
GO:0065009,293.6899229890621,5,0.5700000000000001,2248.62294235466,0.1642296578695556
GO:0070252,112.76869370104201,3,0.2833333333333333,2461.426239234768,0.3124848843222955
GO:0090384,272.0738397571637,2,0.14,2417.022725756534,0.14539850540335827
GO:0098754,67.92096071947236,6,0.7133333333333334,1181.9538717243054,0.6474954044653847
GO:0140056,397.92059696875657,4,0.4266666666666667,2458.4739180759893,0.053952249814140894
GO:1905698,243.02564749662469,2,0.14,2417.022725756534,0.21643624421107
GO:1990764,78.60226088518456,2,0.14,2417.022725756534,0.4798123897303091
HOXB2,82.13319876887051,1,0.08,3282.657871533791,0.33773222316487406
IFT172,136.64463391994357,1,0.08,3282.657871533791,0.2908597418369096
LILRA2,161.5835426625908,1,0.08,3282.657871533791,0.20044764844201515
LRP8,157.52024859416426,1,0.08,3282.657871533791,0.23285063851335605
MEF2C,138.55361821146624,1,0.08,3282.657871533791,0.2629150840929673
USO1,391.11031789784477,1,0.08,3282.657871533791,0.039714801562623414
gene_expression,1500.010907337317,0,0.01,1500.010907337317,0.3333333333333333
others1,1500.0,1,0.08,3282.657871533791,0.5143510676711552
others2,638.1454201973795,2,0.14,2417.022725756534,0.578659575215256
others3,891.0210310793287,3,0.2833333333333333,2461.426239234768,0.5460020675714232
others4,709.638982230492,4,0.4266666666666667,2458.4739180759893,0.5704499341355825
others5,578.76017875357,5,0.5700000000000001,2248.62294235466,0.5808719093728958
root,1181.9538717243056,7,0.8566666666666667,1181.9538717243056,0.33
