,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,2.788144e-06,2.0,2.788144e-06,-0.09655126,0.09725615,2
A tetrasaccharide linker sequence is required for GAG synthesis,9.2006585e-06,8.0,9.2006585e-06,-0.0906014,0.06656699,2
AAAS,0.00018133028,18.0,0.00018133028,0.09803883,-2.3155432,1
AACS,3.031249e-08,1.0,3.031249e-08,-0.058921605,0.08124632,1
AAGAB,0.0,0.0,0.0,-0.058947846,0.22903492,1
AAMP,0.0,0.0,0.0,-0.058947846,0.22903492,1
AARS,8.612099e-07,1.0,8.612099e-07,-0.05820225,0.0817777,1
AASDH,0.0,0.0,0.0,-0.058947846,0.22903492,1
AASDHPPT,0.0,0.0,0.0,-0.058947846,0.22903492,1
AASS,8.77113e-10,1.0,8.77113e-10,-0.058947086,0.08122749,1
AATF,2.0571454e-06,1.0,2.0571454e-06,-0.057166874,0.08254254,1
ABC transporter disorders,0.00012211078,16.0,0.00012211078,-0.08977814,-2.177299,4
ABC transporters in lipid homeostasis,1.968802e-05,2.0,1.968802e-05,-0.13322309,0.027100677,2
ABC-family proteins mediated transport,1.9688861e-05,3.0,1.9688861e-05,-0.18984132,0.16660474,5
ABCA13,3.7876891e-06,1.0,3.7876891e-06,-0.055668656,0.08364927,1
ABCA2,3.4218927e-05,1.0,3.4218927e-05,-0.029322812,0.103110924,1
ABCA3,4.308564e-08,2.0,4.308564e-08,-0.058910545,-0.066553526,1
ABCA7,1.4995236e-05,1.0,1.4995236e-05,-0.045965724,0.09081682,1
ABCB10,7.158842e-11,1.0,7.158842e-11,-0.058947783,0.081226975,1
ABCB4,4.659902e-06,1.0,4.659902e-06,-0.054913536,0.08420707,1
ABCB6,1.134788e-10,1.0,1.134788e-10,-0.058947746,0.081227005,1
ABCB7,3.401414e-10,1.0,3.401414e-10,-0.058947552,0.081227146,1
ABCB9,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABCC10,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABCC4,1.9759943e-06,1.0,1.9759943e-06,-0.057237126,0.08249064,1
ABCD1,2.4223507e-06,4.0,2.4223507e-06,-0.056850698,-0.36064795,1
ABCD3,1.1260085e-05,1.0,1.1260085e-05,-0.049199432,0.08842808,1
ABCE1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABCF1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABCF2,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABCF3,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABCG1,1.8129808e-06,2.0,1.8129808e-06,-0.05737826,-0.06542163,1
ABHD10,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD13,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD14A,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD14B,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD15,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD16A,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD17A,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD17B,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD17C,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABHD3,1.2840571e-06,1.0,1.2840571e-06,-0.05783618,0.08204812,1
ABHD4,1.8347785e-06,1.0,1.8347785e-06,-0.057359386,0.08240032,1
ABHD5,4.0842413e-05,1.0,4.0842413e-05,-0.02358853,0.10734683,1
ABHD6,8.522387e-09,1.0,8.522387e-09,-0.05894047,0.081232384,1
ABHD8,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABI1,2.3649342e-05,2.0,2.3649342e-05,-0.03847343,-0.05145664,1
ABI2,3.4084738e-07,2.0,3.4084738e-07,-0.058652755,-0.066363096,1
ABL1,0.000105303625,8.0,0.000105303625,0.03221876,-0.8860844,1
ABLIM1,9.7777786e-08,1.0,9.7777786e-08,-0.0588632,0.08128946,1
ABR,5.1126335e-07,3.0,5.1126335e-07,-0.058505222,-0.21406214,1
ABRACL,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABT1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABTB1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ABTB2,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACAA1,3.7122372e-05,4.0,3.7122372e-05,-0.026809156,-0.33845627,1
ACACA,2.6102393e-06,4.0,2.6102393e-06,-0.05668803,-0.36052778,1
ACACB,0.00016587907,3.0,0.00016587907,0.08466195,-0.10830461,1
ACAD10,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACAD11,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACAD9,4.8398103e-08,1.0,4.8398103e-08,-0.058905944,0.08125788,1
ACADM,0.00010879356,3.0,0.00010879356,0.03524017,-0.14481246,1
ACADS,1.0767101e-06,1.0,1.0767101e-06,-0.058015686,0.08191552,1
ACADVL,1.6561291e-05,2.0,1.6561291e-05,-0.04460991,-0.055989657,1
ACAP2,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACAT2,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACBD3,4.9559404e-08,1.0,4.9559404e-08,-0.058904942,0.081258625,1
ACBD4,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACBD5,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACBD6,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACCS,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACD,2.6054695e-05,2.0,2.6054695e-05,-0.036390997,-0.04991835,1
ACIN1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACKR2,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACKR3,2.8677473e-08,1.0,2.8677473e-08,-0.05892302,0.08124527,1
ACLY,1.0520631e-05,2.0,1.0520631e-05,-0.049839612,-0.059852835,1
ACOT11,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACOT13,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACOT2,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACOT4,6.324882e-11,1.0,6.324882e-11,-0.05894779,0.081226975,1
ACOT7,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACOT8,9.159213e-05,4.0,9.159213e-05,0.020348031,-0.3036213,1
ACOT9,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACOX1,2.4211913e-05,4.0,2.4211913e-05,-0.037986383,-0.3467129,1
ACOX3,1.4908692e-06,1.0,1.4908692e-06,-0.05765713,0.08218039,1
ACP1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACRBP,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACSBG1,3.7357992e-09,1.0,3.7357992e-09,-0.058944616,0.08122932,1
ACSF3,1.6178315e-09,1.0,1.6178315e-09,-0.05894645,0.081227966,1
ACSL3,7.4271234e-10,1.0,7.4271234e-10,-0.058947206,0.08122741,1
ACSL6,2.7277829e-09,1.0,2.7277829e-09,-0.058945484,0.08122868,1
ACSM5,2.8002514e-11,1.0,2.8002514e-11,-0.05894782,0.08122695,1
ACSS2,5.861173e-06,2.0,5.861173e-06,-0.05387354,-0.06283269,1
ACTA2,1.1986228e-06,2.0,1.1986228e-06,-0.05791014,-0.06581453,1
ACTL6A,3.956585e-05,4.0,3.956585e-05,-0.024693714,-0.3368936,1
ACTN1,8.358906e-06,4.0,8.358906e-06,-0.051711127,-0.35685137,1
ACTR10,0.007374413,4.0,0.007374413,6.3254495,4.353954,1
ACTR1A,0.0076290076,8.0,0.0076290076,6.545865,3.9255426,1
ACTR2,0.00015711739,4.0,0.00015711739,0.077076524,-0.26171598,1
ACTR3,8.202743e-05,3.0,8.202743e-05,0.012067395,-0.16193017,1
ACTR3B,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACTR5,2.1559847e-08,1.0,2.1559847e-08,-0.058929183,0.08124072,1
ACTR6,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACTR8,5.2433865e-07,1.0,5.2433865e-07,-0.058493897,0.08156226,1
ACTRT1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACVR1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ACVR1B,7.53975e-07,1.0,7.53975e-07,-0.05829509,0.081709124,1
ACVR2A,9.816202e-06,2.0,9.816202e-06,-0.050449472,-0.060303338,1
ACVRL1,2.6979867e-06,1.0,2.6979867e-06,-0.056612067,0.082952365,1
ACYP1,0.0,0.0,0.0,-0.058947846,0.22903492,1
ADAL,3.2106618e-05,2.0,3.2106618e-05,-0.031151544,-0.04604797,1
ADAM10,1.6455688e-05,12.0,1.6455688e-05,-0.044701338,-1.5341372,1
