,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
5-Phosphoribose 1-diphosphate biosynthesis,0.00017460772,2.0,0.00017460772,-0.019355027,0.15167716,2
A tetrasaccharide linker sequence is required for GAG synthesis,0.0008510885,14.0,0.0008510885,1.1342442,0.8466564,2
A1CF,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
AAAS,0.0003351447,18.0,0.0003351447,1.6282094,-2.458588,1
AACS,4.0337195e-12,1.0,4.0337195e-12,-0.14887501,-0.002741879,1
AADAC,0.0,0.0,0.0,-0.14887504,0.21565834,1
AADACL2,0.0,0.0,0.0,-0.14887504,0.21565834,1
AAGAB,0.0,0.0,0.0,-0.14887504,0.21565834,1
AAMP,0.0,0.0,0.0,-0.14887504,0.21565834,1
AANAT,2.4062996e-09,1.0,2.4062996e-09,-0.14886227,-0.0027328853,1
AARSD1,0.0,0.0,0.0,-0.14887504,0.21565834,1
AASDH,0.0,0.0,0.0,-0.14887504,0.21565834,1
AASDHPPT,0.0,0.0,0.0,-0.14887504,0.21565834,1
AASS,6.9646513e-13,1.0,6.9646513e-13,-0.14887504,-0.0027418935,1
AATF,3.5787612e-05,1.0,3.5787612e-05,0.040886596,0.1314793,1
ABC transporter disorders,6.65473e-05,16.0,6.65473e-05,-0.3204448,-2.3617656,4
ABC transporters in lipid homeostasis,6.842094e-05,2.0,6.842094e-05,-0.31860077,-0.045792226,2
ABC-family proteins mediated transport,7.393486e-05,3.0,7.393486e-05,-0.4389038,-0.034253217,5
ABCA13,0.00012181155,1.0,0.00012181155,0.49702325,0.4541115,1
ABCA2,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ABCA3,2.9033217e-05,2.0,2.9033217e-05,0.0050718267,-0.112253234,1
ABCA7,3.961228e-10,1.0,3.961228e-10,-0.14887293,-0.0027404113,1
ABCA8,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCB10,4.8114516e-06,1.0,4.8114516e-06,-0.1233626,0.015303424,1
ABCB4,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ABCB5,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCB6,6.3140018e-09,1.0,6.3140018e-09,-0.14884156,-0.0027182072,1
ABCB7,7.214512e-07,1.0,7.214512e-07,-0.14504959,-3.6098423e-05,1
ABCB8,9.315755e-09,1.0,9.315755e-09,-0.14882565,-0.0027069538,1
ABCB9,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCC1,0.0,2.0,0.0,-0.14887504,-0.22114211,1
ABCC10,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCC12,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCC4,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ABCD1,7.914244e-05,4.0,7.914244e-05,0.2707729,-0.3611194,1
ABCD2,5.0046096e-06,1.0,5.0046096e-06,-0.1223384,0.016027853,1
ABCD3,2.771435e-05,1.0,2.771435e-05,-0.0019213868,0.10120058,1
ABCD4,2.4992244e-07,1.0,2.4992244e-07,-0.14754984,-0.0018045666,1
ABCE1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCF1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCF2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCF3,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABCG1,3.4116507e-08,2.0,3.4116507e-08,-0.14869413,-0.22101417,1
ABCG2,9.003507e-10,1.0,9.003507e-10,-0.14887026,-0.002738526,1
ABHD10,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD13,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD14A,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD14B,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD15,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD16A,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD16B,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD17A,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD17B,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD17C,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABHD3,3.3527137e-09,1.0,3.3527137e-09,-0.14885727,-0.0027293165,1
ABHD4,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ABHD5,4.481663e-11,1.0,4.481663e-11,-0.14887479,-0.0027417352,1
ABHD6,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ABHD8,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABI1,1.0222918e-05,2.0,1.0222918e-05,-0.09466864,-0.18280114,1
ABI2,1.0520604e-05,2.0,1.0520604e-05,-0.09309018,-0.18168466,1
ABL1,0.00017139697,8.0,0.00017139697,0.75994694,-0.88872015,1
ABL2,4.3496757e-06,1.0,4.3496757e-06,-0.12581114,0.013571535,1
ABLIM1,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ABLIM2,1.646219e-05,1.0,1.646219e-05,-0.061585274,0.058999434,1
ABR,2.052883e-05,3.0,2.052883e-05,-0.040022165,-0.3625491,1
ABRA,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABRACL,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABT1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABTB1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ABTB2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACAA1,9.072969e-07,4.0,9.072969e-07,-0.14406414,-0.6545397,1
ACACA,1.5635063e-12,4.0,1.5635063e-12,-0.14887503,-0.6579425,1
ACACB,1.0614343e-05,3.0,1.0614343e-05,-0.092593126,-0.3997333,1
ACAD10,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACAD11,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACAD9,0.0005162299,1.0,0.0005162299,2.5884025,1.933375,1
ACADM,2.7653268e-12,3.0,2.7653268e-12,-0.14887501,-0.43954232,1
ACADS,4.0779436e-05,1.0,4.0779436e-05,0.06735543,0.15020108,1
ACADVL,0.00023298169,2.0,0.00023298169,1.0864961,0.6526542,1
ACAP2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACAP3,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACAT2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACBD3,3.8065533e-05,1.0,3.8065533e-05,0.05296513,0.14002262,1
ACBD4,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACBD5,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACBD6,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACCS,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACD,5.8546142e-05,2.0,5.8546142e-05,0.16156231,-0.0015652054,1
ACIN1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACKR2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACKR3,0.00010924283,1.0,0.00010924283,0.43037838,0.4069726,1
ACKR4,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ACLY,1.1336824e-08,2.0,1.1336824e-08,-0.14881493,-0.2210996,1
ACOT11,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACOT12,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACOT13,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACOT2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACOT4,1.5361408e-06,1.0,1.5361408e-06,-0.14072974,0.0030193813,1
ACOT7,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACOT8,0.00019467005,4.0,0.00019467005,0.883351,0.07216617,1
ACOT9,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACOX1,1.0507641e-08,4.0,1.0507641e-08,-0.14881931,-0.65790313,1
ACOX3,0.0005714984,1.0,0.0005714984,2.8814604,2.140659,1
ACOXL,6.839386e-08,1.0,6.839386e-08,-0.14851238,-0.0024853863,1
ACP1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACRBP,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACSBG1,2.0317601e-07,1.0,2.0317601e-07,-0.1477977,-0.0019798835,1
ACSF3,1.3887846e-05,1.0,1.3887846e-05,-0.07523558,0.049344372,1
ACSL3,1.7259043e-05,1.0,1.7259043e-05,-0.057360016,0.061988022,1
ACSL6,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ACSM2A,4.1602242e-11,1.0,4.1602242e-11,-0.14887482,-0.0027417496,1
ACSM4,8.1910245e-10,1.0,8.1910245e-10,-0.14887069,-0.0027388283,1
ACSM5,8.6359525e-10,1.0,8.6359525e-10,-0.14887045,-0.0027386702,1
ACSM6,8.93943e-09,1.0,8.93943e-09,-0.14882763,-0.0027083785,1
ACSS2,3.025378e-06,2.0,3.025378e-06,-0.13283315,-0.20979546,1
ACTA2,0.0,2.0,0.0,-0.14887504,-0.22114211,1
ACTC1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACTL6A,5.504645e-05,4.0,5.504645e-05,0.1430054,-0.4514912,1
ACTL6B,3.9473585e-12,2.0,3.9473585e-12,-0.14887501,-0.22114211,1
ACTL9,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACTN1,0.00053178426,4.0,0.00053178426,2.6708786,1.3365107,1
ACTN2,0.0,5.0,0.0,-0.14887504,-0.8763427,1
ACTN3,2.2620721e-05,2.0,2.2620721e-05,-0.028930042,-0.13630326,1
ACTR10,7.4302996e-05,4.0,7.4302996e-05,0.24511206,-0.37926966,1
ACTR1A,0.0,8.0,0.0,-0.14887504,-1.5315434,1
ACTR2,0.00018125557,4.0,0.00018125557,0.8122215,0.021855287,1
ACTR3,0.0,3.0,0.0,-0.14887504,-0.43954235,1
ACTR3B,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACTR5,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ACTR6,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACTR8,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ACTRT1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACTRT2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACTRT3,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACVR1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ACVR1B,1.6239423e-05,1.0,1.6239423e-05,-0.06276649,0.05816395,1
ACVR1C,2.830014e-06,1.0,2.830014e-06,-0.13386905,0.0078720385,1
ACVR2A,1.0293652e-14,2.0,1.0293652e-14,-0.14887504,-0.22114211,1
ACVR2B,2.8743623e-08,2.0,2.8743623e-08,-0.14872262,-0.22103432,1
ACVRL1,9.893126e-06,1.0,9.893126e-06,-0.09641734,0.034362208,1
ACY3,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ACYP1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADAD1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADAL,5.1682015e-05,2.0,5.1682015e-05,0.12516569,-0.02730907,1
ADAM10,0.0,12.0,0.0,-0.14887504,-2.4051442,1
ADAM11,1.192236e-08,1.0,1.192236e-08,-0.14881182,-0.0026971828,1
ADAM15,1.3247059e-05,1.0,1.3247059e-05,-0.078633316,0.046941105,1
ADAM19,9.346242e-07,1.0,9.346242e-07,-0.14391924,0.0007634127,1
ADAM20,3.133084e-08,1.0,3.133084e-08,-0.14870891,-0.0026243967,1
ADAM30,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
ADAM7,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADAMDEC1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADAMTS12,6.686846e-14,2.0,6.686846e-14,-0.14887504,-0.22114211,1
ADAMTS17,0.0,2.0,0.0,-0.14887504,-0.22114211,1
ADAMTS18,3.7592085e-09,2.0,3.7592085e-09,-0.1488551,-0.22112803,1
ADAMTS20,4.1396643e-12,2.0,4.1396643e-12,-0.14887501,-0.22114211,1
ADAMTSL2,7.86285e-09,2.0,7.86285e-09,-0.14883333,-0.22111264,1
ADAMTSL5,0.0,2.0,0.0,-0.14887504,-0.22114211,1
ADAP2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADARB1,0.0,2.0,0.0,-0.14887504,-0.22114211,1
ADAT1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADAT2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADAT3,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADCK1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADCK2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADCY10,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADCY2,0.00012400709,6.0,0.00012400709,0.50866497,-0.6296552,1
ADCY6,1.6886782e-10,8.0,1.6886782e-10,-0.14887413,-1.5315428,1
ADCY7,4.133215e-11,6.0,4.133215e-11,-0.14887482,-1.0947428,1
ADCY9,0.00014638792,6.0,0.00014638792,0.62733793,-0.54571605,1
ADD1,1.6341031e-09,3.0,1.6341031e-09,-0.14886637,-0.4395362,1
ADD3,1.131102e-05,1.0,1.131102e-05,-0.088899046,0.039680008,1
ADGRA2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRA3,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRB1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRB3,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRD2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRE1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRE2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRE5,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRF3,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRG1,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRG2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRG5,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRG7,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRL2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADGRL4,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADH1C,1.31085835e-05,2.0,1.31085835e-05,-0.07936757,-0.17197847,1
ADHFE1,2.7181287e-07,1.0,2.7181287e-07,-0.14743376,-0.0017224698,1
ADI1,6.6278258e-06,1.0,6.6278258e-06,-0.11373139,0.022115717,1
ADIPOR1,0.0020533786,1.0,0.0020533786,10.739039,7.6984406,1
ADIPOR2,0.0002513319,1.0,0.0002513319,1.183797,0.93987674,1
ADK,3.1029674e-06,1.0,3.1029674e-06,-0.13242175,0.008895758,1
ADM2,3.2185905e-13,1.0,3.2185905e-13,-0.14887504,-0.0027418935,1
ADM5,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADNP2,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADO,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADORA2A,0.0,3.0,0.0,-0.14887504,-0.43954235,1
ADP signalling through P2Y purinoceptor 1,3.693418e-05,2.0,3.693418e-05,-0.22465941,-0.4218947,2
ADP signalling through P2Y purinoceptor 12,0.00013848863,2.0,0.00013848863,-0.07321728,-0.2060025,2
ADPGK,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADPRH,0.0,0.0,0.0,-0.14887504,0.21565834,1
ADPRM,1.9452382e-05,1.0,1.9452382e-05,-0.04572997,0.07021412,1
ADRA2B,0.0,3.0,0.0,-0.14887504,-0.43954235,1
ADRB1,3.8450667e-06,1.0,3.8450667e-06,-0.1284868,0.011679001,1
ADRM1,6.780316e-10,2.0,6.780316e-10,-0.14887144,-0.22113958,1
ADSL,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
AEBP2,9.170651e-09,2.0,9.170651e-09,-0.1488264,-0.22110772,1
AEN,0.0,0.0,0.0,-0.14887504,0.21565834,1
AFAP1,0.0,0.0,0.0,-0.14887504,0.21565834,1
AFAP1L1,0.0,0.0,0.0,-0.14887504,0.21565834,1
AFAP1L2,0.0,0.0,0.0,-0.14887504,0.21565834,1
AFF1,0.0,0.0,0.0,-0.14887504,0.21565834,1
AFF3,0.0,0.0,0.0,-0.14887504,0.21565834,1
AFF4,1.7341507e-09,2.0,1.7341507e-09,-0.14886585,-0.2211356,1
AFM,0.0,0.0,0.0,-0.14887504,0.21565834,1
AFMID,1.105557e-06,1.0,1.105557e-06,-0.1430129,0.0014044865,1
AFP,1.3508312e-06,2.0,1.3508312e-06,-0.14171234,-0.21607582,1
AFTPH,0.0,0.0,0.0,-0.14887504,0.21565834,1
AGA,3.674176e-09,1.0,3.674176e-09,-0.14885555,-0.002728122,1
AGAP1,0.0,0.0,0.0,-0.14887504,0.21565834,1
AGAP4,0.0,0.0,0.0,-0.14887504,0.21565834,1
AGAP6,0.0,0.0,0.0,-0.14887504,0.21565834,1
AGBL2,1.8964477e-07,1.0,1.8964477e-07,-0.14786945,-0.0020306383,1
AGBL4,1.3380997e-09,1.0,1.3380997e-09,-0.14886793,-0.0027368714,1
AGBL5,9.4899195e-07,1.0,9.4899195e-07,-0.14384307,0.00081729,1
AGFG1,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
AGK,1.323354e-06,1.0,1.323354e-06,-0.14185803,0.002221338,1
AGL,2.6955972e-06,2.0,2.6955972e-06,-0.1345818,-0.21103232,1
AGO2,3.006631e-09,11.0,3.006631e-09,-0.1488591,-2.1867328,1
AGO3,1.586758e-05,13.0,1.586758e-05,-0.06473816,-2.5640333,1
AGO4,3.6082387e-05,13.0,3.6082387e-05,0.04244962,-2.4882178,1
AGPAT2,9.502957e-06,2.0,9.502957e-06,-0.098486185,-0.18550135,1
AGPAT3,2.6069559e-08,2.0,2.6069559e-08,-0.1487368,-0.22104435,1
AGPAT4,4.1151143e-08,1.0,4.1151143e-08,-0.14865683,-0.0025875575,1
AGPAT5,0.0,1.0,0.0,-0.14887504,-0.0027418935,1
AGPS,0.0,2.0,0.0,-0.14887504,-0.22114211,1
AGR2,0.0,0.0,0.0,-0.14887504,0.21565834,1
AGT,3.4608347e-05,3.0,3.4608347e-05,0.034633614,-0.30974397,1
AGTPBP1,7.9503243e-10,1.0,7.9503243e-10,-0.14887083,-0.0027389147,1
AGTR2,3.926623e-09,1.0,3.926623e-09,-0.14885421,-0.0027271723,1
